
                     X                  Cbar_L_Point_A           Cbar_L_Point_B           Cbar_L_Point_C    

                   8.5E+03                 20.3975964               20.0000038               19.6107407     
                  18.5E+03                 20.5855217               20.0000019               19.4305191     
                  28.5E+03                 20.7074471               20.                      19.3153076     
                  38.5E+03                 20.7986031               20.0000019               19.2301044     
                  48.5E+03                 20.8710327               20.0000019               19.1629372     
                  58.5E+03                 20.930645                20.0000076               19.1079979     
                  68.5E+03                 20.9808731               20.0000114               19.0619297     
                  78.5E+03                 21.0239124               20.0000172               19.0226173     
                  88.5E+03                 21.0612755               20.0000229               18.988615      
                  98.5E+03                 21.0940399               20.0000305               18.9588795     
                 108.5E+03                 21.1230125               20.0000362               18.9326572     
                 118.5E+03                 21.1488228               20.0000401               18.9093628     
                 128.5E+03                 21.1719398               20.0000477               18.8885403     
                 138.5E+03                 21.1927643               20.0000534               18.8698235     
                 148.5E+03                 21.2115974               20.0000591               18.8529263     
                 158.5E+03                 21.2287102               20.0000687               18.8376045     
                 168.5E+03                 21.2443047               20.0000763               18.8236675     
                 178.5E+03                 21.2585697               20.0000801               18.8109379     
                 188.5E+03                 21.271656                20.0000858               18.7992859     
                 198.5E+03                 21.2836933               20.0000935               18.7885838     
                 208.5E+03                 21.2947941               20.000103                18.7787266     
                 218.5E+03                 21.3050499               20.0001106               18.7696342     
                 228.5E+03                 21.3145523               20.0001144               18.7612247     
                 238.5E+03                 21.3233681               20.0001202               18.7534313     
                 248.5E+03                 21.3315659               20.0001297               18.7461987     
                 258.5E+03                 21.3391991               20.0001354               18.7394676     
                 268.5E+03                 21.3463249               20.0001431               18.7332039     
                 278.5E+03                 21.3529816               20.0001488               18.727354      
                 288.5E+03                 21.3592129               20.0001564               18.7218895     
                 298.5E+03                 21.3650513               20.000164                18.7167759     
                 308.5E+03                 21.3705273               20.0001717               18.7119865     
                 318.5E+03                 21.3756771               20.0001793               18.7074871     
                 328.5E+03                 21.3805161               20.0001831               18.7032661     
                 338.5E+03                 21.3850708               20.0001888               18.699295      
                 348.5E+03                 21.38937                 20.0001965               18.6955585     
                 358.5E+03                 21.3934269               20.0002041               18.6920376     
