
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      

                   0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.            
                   1.E+03                  26.9999981               27.0000343               37.1929169E-06            0.                     382.857208E-03           920.562256E+03            47.3932495E+03          123.115349E+06            36.432312E+06           108.872902E+06             0.                    -230.826431E-06           616.101257E-09           563.43988E-06              0.                       0.                       0.                       0.                       0.                    -230.826431E-06           616.101257E-09           563.43988E-06              0.                      55.4356003E+06           99.9999771E+09           29.3327847E-06           45.3027039E-03 
                   2.E+03                  27.0905724               27.0906143               37.3120117E-06            0.                     380.786957E-03             1.83670747E+06          94.7716217E+03          246.158096E+06            72.8430786E+06          217.684402E+06             0.                    -461.541412E-06             1.23203433E-06           1.12654757E-03           0.                       0.                       0.                       0.                       0.                    -461.541412E-06             1.23203433E-06           1.12654757E-03           0.                     108.888206E+06            99.9999771E+09           29.4311886E-06           45.4477806E-03 
                   3.E+03                  27.2194366               27.2194805               37.4814148E-06            0.                     377.841309E-03             2.748456E+06           142.136368E+03           369.128326E+06           109.232323E+06           326.434601E+06             0.                    -692.145264E-06             1.84778035E-06           1.6893239E-03            0.                       0.                       0.                       0.                       0.                    -692.145264E-06             1.84778035E-06           1.6893239E-03            0.                     162.308044E+06            99.9999771E+09           29.5711918E-06           45.6541023E-03 
                   4.E+03                  27.379303                27.3793449               37.6914406E-06            0.                     374.187225E-03             3.655828E+06           189.477371E+03           492.026276E+06           145.600098E+06           435.123657E+06             0.                    -922.637817E-06             2.46326995E-06           2.25176954E-03           0.                       0.                       0.                       0.                       0.                    -922.637817E-06             2.46326995E-06           2.25176954E-03           0.                     215.695099E+06            99.9999771E+09           29.7448673E-06           45.9099388E-03 
                   5.E+03                  27.5649128               27.5661221                1.21429014E-03         155.365646E-06           369.944885E-03            13.2196312E+06         -513.307983E+03           596.59375E+06            187.109573E+06           518.768677E+06           155.365646E-06            -1.09408152E-03          -6.67304087E-06           2.69785023E-03          36.2031631E-06         -113.486298E-06            -5.20806646E-06         149.689468E-06           -36.2031631E-06           -1.20756781E-03         -11.8811722E-06            2.8475399E-03            0.                     265.567444E+06             3.20731306E+12          29.9465103E-06           46.2067795E-03 
                   6.E+03                  27.7646484               27.7721748                7.52570724E-03         980.940063E-06           365.379303E-03            22.103899E+06            -3.21101069E+06         618.074646E+06           228.00737E+06            524.305054E+06           825.57428E-06             -1.15741169E-03         -41.7429237E-06            2.71639872E-03         180.960938E-06          -748.175049E-06            -5.04856157E-06         929.136047E-06          -180.960938E-06            -1.90558684E-03         -46.7914772E-06            3.64553547E-03           0.                     282.303741E+06            19.7187996E+12           30.1635075E-06           46.5260429E-03 
                   7.E+03                  27.1073532               27.1197815               12.4242544E-03            1.65886068E-03         380.403198E-03            12.3165388E+06          251.990494E+03           643.592834E+06           244.097061E+06           553.09552E+06            677.920898E-06            -1.22794259E-03           3.27592707E-06           2.87535286E-03         278.630859E-06            -1.27999949E-03         926.074341E-09             1.55863035E-03        -278.630859E-06            -2.50794268E-03           4.20197487E-06           4.4339838E-03            0.                     320.410858E+06            33.2772179E+12           29.4494305E-06           45.4746552E-03 
                   8.E+03                  26.9252453               26.9438019               18.5608006E-03            2.49629736E-03         384.565765E-03            12.6794701E+06           87.9834976E+03          670.203613E+06           270.530762E+06           573.830933E+06           837.43634E-06             -1.29466701E-03           1.14383149E-06           2.97924089E-03         381.366425E-06            -1.94848526E-03           3.15368581E-06           2.3298521E-03         -381.366425E-06            -3.24315333E-03           4.29747152E-06           5.30909395E-03           0.                     323.318634E+06            50.0259514E+12           29.2515717E-06           45.1829453E-03 
                   9.E+03                  26.8942928               26.9202728               25.985918E-03             3.5010438E-03          385.273285E-03            11.1469564E+06         -601.771973E+03           695.622375E+06           296.737701E+06           595.474548E+06             1.00474608E-03          -1.38112736E-03          -7.82301474E-06           3.06796455E-03         475.212311E-06            -2.76961851E-03         405.205383E-09             3.24483037E-03        -475.212311E-06            -4.15074635E-03          -7.41780949E-06           6.31279421E-03           0.                     333.822784E+06            70.1208649E+12           29.217947E-06            45.1333313E-03 
                  10.E+03                  26.7452087               26.7788181               33.6106911E-03            4.55405474E-03         388.680847E-03             9.76086426E+06          -1.91603899E+06         718.135437E+06           320.748291E+06           614.998413E+06             1.05301082E-03          -1.4738059E-03          -24.9084549E-06            3.13062906E-03         547.612305E-06            -3.64455485E-03          -8.34039402E-06           4.19216633E-03        -547.612305E-06            -5.11836004E-03         -33.2486305E-06            7.32279539E-03           0.                     341.566864E+06            91.1810913E+12           29.0559864E-06           44.8943748E-03 
                  11.E+03                  26.5565643               26.5977459               41.1834564E-03            5.61912775E-03         392.992767E-03             9.68614388E+06          -2.1230619E+06          738.886108E+06           338.494629E+06           632.529846E+06             1.06507289E-03          -1.5303899E-03          -27.5998173E-06            3.20941091E-03         606.866211E-06            -4.53651094E-03         -17.372448E-06             5.14337826E-03        -606.866211E-06            -6.06690264E-03         -44.9722137E-06            8.35279083E-03           0.                     363.123566E+06           112.482536E+12            28.851038E-06            44.5918388E-03 
                  12.E+03                  26.4790955               26.5283031               49.208313E-03             6.73374033E-03         394.763428E-03             9.91592216E+06          -1.03681755E+06         758.602478E+06           352.222717E+06           649.175049E+06             1.11461341E-03          -1.56396735E-03         -13.47861E-06              3.30249643E-03         661.026672E-06            -5.47422075E-03         -20.3646431E-06            6.13524675E-03        -661.026672E-06            -7.03818846E-03         -33.8433762E-06            9.43774319E-03           0.                     381.300385E+06           134.774826E+12            28.7668858E-06           44.4675293E-03 
