
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      

                   0.                      23.6313496               24.5213051              889.958374E-03           135.897339E-03           459.854828E-03             8.08943176E+06          -1.20051694E+06           1.29681623E+09         648.42804E+06              1.11607933E+09           1.40732789E-03          -2.51380539E-03         -15.6067905E-06            5.86291981E-03           1.64839625E-03        -116.945107E-03          -281.264771E-06           118.593468E-03            -1.64839625E-03        -119.4589E-03            -296.875366E-06           124.456421E-03             0.                     652.135925E+06             2.71804667E+15          25.67309E-06             39.8757744E-03 
                 224.273651E-06            24.7970676               25.5656548              768.58905E-03            112.081619E-03           433.209869E-03            89.3798447E+06          387.988007E+03             1.33091092E+09         701.19989E+06              1.07523489E+09           1.19609153E-03          -1.9224211E-03            5.04386854E-06           6.14753008E-03           2.05440903E-03         -96.0852509E-03          114.731491E-06            98.1396637E-03           -2.05440903E-03         -98.0076752E-03          119.773674E-06           104.287193E-03             0.                     710.801025E+06             2.24173212E+15          26.9395237E-06           41.7607117E-03 
                 453.330566E-06            25.9627762               26.62006                657.283142E-03            91.7309341E-03          406.565002E-03           171.875961E+06            -1.0758673E+06            1.3659445E+09          756.946167E+06             1.03420401E+09           1.01554441E-03          -1.25781381E-03         -13.9862747E-06            6.50363159E-03           2.54514241E-03         -78.1576157E-03         -343.113556E-06            80.7027512E-03           -2.54514241E-03         -79.4154205E-03         -357.101807E-06            87.2063828E-03            0.                     769.357178E+06             1.83471894E+15          28.2059479E-06           43.6382751E-03 
                 685.524231E-06            26.7958946               27.3542519              558.356384E-03            75.6032257E-03          387.52243E-03            239.259018E+06             5.53971195E+06           1.38905883E+09         805.292297E+06           995.841553E+06           860.340881E-06            -1.66572225E-03          72.0161514E-06            5.80797672E-03           2.01349378E-03         -64.4234848E-03            1.42802858E-03          66.4369736E-03           -2.01349378E-03         -66.0892029E-03            1.50004494E-03          72.244957E-03             0.                     813.687927E+06             1.51216435E+15          29.1110497E-06           44.9756393E-03 
                 921.372314E-06            27.6290073               28.0935764              464.569794E-03            61.0944176E-03          368.479767E-03           306.602936E+06             1.25595605E+06           1.40985453E+09         843.331421E+06           955.604431E+06           718.927307E-06            -1.01201475E-03          16.3274517E-06            6.15912104E-03           2.47672081E-03         -51.5795326E-03          283.147888E-06            54.0562553E-03           -2.47672081E-03         -52.5915565E-03          299.474243E-06            60.2153816E-03            0.                     857.452148E+06             1.22198856E+15          30.0161438E-06           46.3092537E-03 
                   1.15919483E-03          28.2079792               28.6095791              401.598206E-03            51.7761421E-03          355.246155E-03           352.067078E+06             2.18536592E+06           1.42060351E+09         878.704102E+06           925.418945E+06           624.366089E-06            -1.53056896E-03          28.4097614E-06            5.41491795E-03           1.89257228E-03         -43.7913322E-03          426.402527E-06            45.6839104E-03           -1.89257228E-03         -45.3218994E-03          454.812775E-06            51.0988235E-03            0.                     884.892944E+06             1.03562295E+15          30.6451397E-06           47.2338715E-03 
                   1.39922273E-03          28.7869492               29.126194               339.24115E-03             42.8991623E-03          342.012573E-03           406.296112E+06            -2.74743652E+06           1.43723273E+09         908.602051E+06           892.938599E+06           532.940735E-06            -1.03587091E-03         -35.7166405E-06            5.66521835E-03           2.22911835E-03         -35.9042435E-03         -408.881165E-06            38.1333542E-03           -2.22911835E-03         -36.9401016E-03         -444.598267E-06            43.7985764E-03            0.                     919.718079E+06           858.083008E+12            31.274128E-06            48.1566925E-03 
                   1.64066255E-03          29.1710587               29.4637127              292.652954E-03            36.5420952E-03          333.232941E-03           444.413177E+06          -181.167999E+03             1.44485283E+09         937.981689E+06           866.431702E+06           464.434326E-06            -1.36540639E-03          -2.35515451E-06           5.13745022E-03           1.84278858E-03         -30.5993557E-03          -29.2824116E-06           32.4421501E-03           -1.84278858E-03         -31.9647636E-03          -31.6372585E-06           37.5795898E-03            0.                     942.524353E+06           730.941956E+12            31.691433E-06            48.7679405E-03 
                   1.88349557E-03          29.5551643               29.8017502              246.587189E-03            30.4091434E-03          324.453308E-03           485.995758E+06           814.036316E+03             1.45273972E+09         958.887939E+06           837.291626E+06           397.270569E-06            -1.07565868E-03          10.5824318E-06            5.20817757E-03           1.99814045E-03         -25.187027E-03           126.855316E-06            27.1851635E-03           -1.99814045E-03         -26.2626858E-03          137.437836E-06            32.3933487E-03            0.                     966.556824E+06           608.282837E+12            32.1087189E-06           49.3784027E-03 
