
                     X                  PSI_Cbar_L_0s          PSI_Cbar_L_10000s        PSI_Cbar_L_20000s        PSI_Cbar_L_30000s        PSI_Cbar_L_40000s        PSI_Cbar_L_50000s        PSI_Cbar_L_60000s        PSI_Cbar_L_70000s        PSI_Cbar_L_80000s        PSI_Cbar_L_90000s        PSI_Cbar_L_100000s  

                   0.                       0.                     396.819519E-03           405.641846E-03           410.224976E-03           413.330933E-03           415.528076E-03           417.095795E-03           418.210938E-03           418.990326E-03           419.517761E-03           419.852875E-03  
                 222.519043E-06             0.                     390.054901E-03           397.072479E-03           400.893707E-03           403.447754E-03           405.253693E-03           406.536713E-03           407.441467E-03           408.065094E-03           408.476898E-03           408.728088E-03  
                 225.212418E-06             0.                     389.973053E-03           396.968781E-03           400.780762E-03           403.328125E-03           405.129303E-03           406.408905E-03           407.311127E-03           407.932861E-03           408.343262E-03           408.596252E-03  
                 227.943069E-06             0.                     389.890015E-03           396.863617E-03           400.66626E-03            403.206818E-03           405.003235E-03           406.279327E-03           407.178955E-03           407.798767E-03           408.210327E-03           408.462585E-03  
                 230.703506E-06             0.                     389.806091E-03           396.757294E-03           400.550476E-03           403.084229E-03           404.875793E-03           406.148346E-03           407.045349E-03           407.665558E-03           408.075989E-03           408.327423E-03  
                 233.493744E-06             0.                     389.721283E-03           396.649872E-03           400.433472E-03           402.960297E-03           404.746948E-03           406.01593E-03            406.912354E-03           407.530914E-03           407.940155E-03           408.190857E-03  
                 236.306335E-06             0.                     389.635773E-03           396.541534E-03           400.315552E-03           402.835358E-03           404.617065E-03           405.884247E-03           406.77832E-03            407.395172E-03           407.803253E-03           408.053162E-03  
                 239.130112E-06             0.                     389.549927E-03           396.4328E-03             400.197113E-03           402.709961E-03           404.488129E-03           405.751984E-03           406.643707E-03           407.258911E-03           407.665833E-03           407.914948E-03  
                 241.953873E-06             0.                     389.464081E-03           396.324036E-03           400.078705E-03           402.585663E-03           404.359192E-03           405.619751E-03           406.509125E-03           407.12265E-03            407.528381E-03           407.776703E-03  
                 244.747849E-06             0.                     389.37915E-03            396.216461E-03           399.962341E-03           402.462677E-03           404.231598E-03           405.488922E-03           406.375946E-03           406.987823E-03           407.392395E-03           407.639923E-03  
                 247.72435E-06              0.                     389.288666E-03           396.102325E-03           399.838348E-03           402.331665E-03           404.095703E-03           405.349518E-03           406.2341E-03             406.844177E-03           407.247498E-03           407.494232E-03  
                 250.000504E-06             0.                     389.219604E-03           396.015106E-03           399.743561E-03           402.231476E-03           403.99176E-03            405.24295E-03            406.12561E-03            406.734314E-03           407.136719E-03           407.382782E-03  
                 449.776642E-06             0.                     383.158936E-03           388.35675E-03            391.422729E-03           393.437775E-03           394.869476E-03           395.887604E-03           396.603516E-03           397.093536E-03           397.412628E-03           397.60321E-03   
                 454.790894E-06             0.                     383.006775E-03           388.16452E-03            391.213867E-03           393.217072E-03           394.640503E-03           395.652802E-03           396.364502E-03           396.851562E-03           397.168549E-03           397.433289E-03  
                 459.8573E-06               0.                     382.853088E-03           387.970306E-03           391.002869E-03           392.994049E-03           394.40918E-03            395.415558E-03           396.123016E-03           396.607086E-03           397.000946E-03           397.261597E-03  
                 464.960938E-06             0.                     382.698273E-03           387.774658E-03           390.790283E-03           392.769409E-03           394.176117E-03           395.176544E-03           395.879761E-03           396.443115E-03           396.832092E-03           397.088623E-03  
                 470.098114E-06             0.                     382.542389E-03           387.577698E-03           390.576294E-03           392.543274E-03           393.941559E-03           394.935974E-03           395.720673E-03           396.278076E-03           396.66214E-03            396.914551E-03  
                 475.261353E-06             0.                     382.385773E-03           387.379791E-03           390.361237E-03           392.31601E-03            393.70578E-03            394.783295E-03           395.56073E-03            396.112213E-03           396.491333E-03           396.739532E-03  
                 480.420898E-06             0.                     382.229248E-03           387.182007E-03           390.146362E-03           392.088898E-03           393.562225E-03           394.630737E-03           395.40094E-03            395.946472E-03           396.320618E-03           396.564697E-03  
                 485.558075E-06             0.                     382.073395E-03           386.985077E-03           389.932404E-03           391.957397E-03           393.419281E-03           394.478851E-03           395.241821E-03           395.781433E-03           396.150665E-03           396.390594E-03  
                 490.620728E-06             0.                     381.9198E-03             386.790985E-03           389.817719E-03           391.82782E-03            393.278442E-03           394.329163E-03           395.085022E-03           395.618805E-03           395.983185E-03           396.219025E-03  
                 495.962799E-06             0.                     381.757751E-03           386.694E-03              389.696686E-03           391.691101E-03           393.129791E-03           394.171204E-03           394.919586E-03           395.447174E-03           395.806458E-03           396.037994E-03  
                 500.001007E-06             0.                     381.721222E-03           386.620667E-03           389.605225E-03           391.587738E-03           393.017456E-03           394.051788E-03           394.794495E-03           395.317444E-03           395.672852E-03           395.901154E-03  
                 680.156067E-06             0.                     380.092133E-03           383.349762E-03           385.524078E-03           386.976685E-03           388.004974E-03           388.724976E-03           389.214691E-03           389.529938E-03           389.712738E-03           389.795746E-03  
                 687.241577E-06             0.                     380.028076E-03           383.22113E-03            385.363556E-03           386.795349E-03           387.807861E-03           388.515472E-03           388.995239E-03           389.302307E-03           389.478333E-03           389.559509E-03  
                 694.375488E-06             0.                     379.963562E-03           383.091614E-03           385.201965E-03           386.612732E-03           387.609375E-03           388.304535E-03           388.774261E-03           389.07312E-03            389.245789E-03           389.321686E-03  
                 701.542969E-06             0.                     379.898743E-03           382.961487E-03           385.039581E-03           386.429321E-03           387.409912E-03           388.092621E-03           388.552277E-03           388.845886E-03           389.012085E-03           389.082733E-03  
                 708.73645E-06              0.                     379.83371E-03            382.830872E-03           384.876617E-03           386.245178E-03           387.209778E-03           387.879913E-03           388.332001E-03           388.617828E-03           388.777618E-03           388.842896E-03  
                 715.941162E-06             0.                     379.768555E-03           382.700043E-03           384.713409E-03           386.06076E-03            387.009308E-03           387.668976E-03           388.11142E-03            388.389374E-03           388.542755E-03           388.602661E-03  
                 723.123535E-06             0.                     379.703613E-03           382.569672E-03           384.55072E-03            385.876953E-03           386.811096E-03           387.458679E-03           387.89151E-03            388.161621E-03           388.308594E-03           388.36322E-03   
                 730.238831E-06             0.                     379.639282E-03           382.440491E-03           384.389526E-03           385.696014E-03           386.614777E-03           387.250366E-03           387.673645E-03           387.936035E-03           388.07663E-03            388.126007E-03  
