
                     X                  PSI_Cbar_L_0s          PSI_Cbar_L_10000s        PSI_Cbar_L_20000s        PSI_Cbar_L_30000s        PSI_Cbar_L_40000s        PSI_Cbar_L_50000s        PSI_Cbar_L_60000s        PSI_Cbar_L_70000s        PSI_Cbar_L_80000s        PSI_Cbar_L_90000s        PSI_Cbar_L_100000s  

                   0.                       0.                     387.792816E-03           413.707336E-03           429.803528E-03           439.539368E-03           446.109955E-03           450.879913E-03           454.450104E-03           457.122253E-03           459.200562E-03           460.845825E-03  
                 224.769119E-06             0.                     378.201233E-03           394.652405E-03           407.60495E-03            415.783142E-03           421.360443E-03           425.426575E-03           428.470154E-03           430.779968E-03           432.544312E-03           433.942291E-03  
                 227.246429E-06             0.                     378.095551E-03           394.442383E-03           407.360321E-03           415.521332E-03           421.087646E-03           425.146057E-03           428.183838E-03           430.489624E-03           432.250519E-03           433.65152E-03   
                 229.757278E-06             0.                     377.988403E-03           394.229492E-03           407.112335E-03           415.25592E-03            420.811188E-03           424.861694E-03           427.893616E-03           430.195374E-03           431.958008E-03           433.35675E-03   
                 232.294205E-06             0.                     377.880157E-03           394.014435E-03           406.861786E-03           414.987793E-03           420.53183E-03            424.574432E-03           427.600372E-03           429.902771E-03           431.662476E-03           433.05899E-03   
                 234.85347E-06              0.                     377.770935E-03           393.797485E-03           406.609039E-03           414.717316E-03           420.250031E-03           424.284607E-03           427.308746E-03           429.607605E-03           431.364288E-03           432.758575E-03  
                 237.435104E-06             0.                     377.660767E-03           393.578613E-03           406.354065E-03           414.444458E-03           419.965759E-03           423.99585E-03            427.014557E-03           429.309845E-03           431.063538E-03           432.455505E-03  
                 240.080063E-06             0.                     377.547882E-03           393.354401E-03           406.092834E-03           414.164886E-03           419.677551E-03           423.700012E-03           426.713135E-03           429.004822E-03           430.755402E-03           432.14505E-03   
                 242.933624E-06             0.                     377.426117E-03           393.112488E-03           405.811005E-03           413.865845E-03           419.366608E-03           423.380829E-03           426.38797E-03            428.67569E-03            430.422974E-03           431.810089E-03  
                 246.334824E-06             0.                     377.280975E-03           392.824158E-03           405.477173E-03           413.509369E-03           418.995972E-03           423.000397E-03           426.000397E-03           428.283417E-03           430.026703E-03           431.410858E-03  
                 248.91272E-06              0.                     377.17099E-03            392.606323E-03           405.224152E-03           413.239166E-03           418.715057E-03           422.712036E-03           425.706635E-03           427.986115E-03           429.726379E-03           431.108246E-03  
