
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      

                   0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.            
                   1.E+03                  27.                      27.0000343               37.1929207E-06            0.                     382.857178E-03           -34.293499E+03          -287.852264E+03           124.844185E+06            37.4429665E+06          110.992455E+06             0.                    -243.602203E-06            -3.7420795E-06          568.108032E-06             0.                       0.                       0.                       0.                       0.                    -243.602203E-06            -3.7420795E-06          568.108032E-06             0.                      54.0842896E+06           99.9999924E+09           29.3327942E-06           45.3027191E-03 
                   2.E+03                  27.0776634               27.0776978               37.2950516E-06            0.                     381.082001E-03           -70.7710037E+03         -573.667725E+03           249.613983E+06            74.8629684E+06          221.920517E+06             0.                    -487.069244E-06            -7.45770359E-06           1.13588166E-03           0.                       0.                       0.                       0.                       0.                    -487.069244E-06            -7.45770359E-06           1.13588166E-03           0.                     108.135384E+06            99.9999924E+09           29.4171619E-06           45.4271088E-03 
                   3.E+03                  27.2042809               27.2043171               37.4615021E-06            0.                     378.187897E-03          -109.417999E+03          -857.458008E+03           374.30957E+06            112.260033E+06           332.784332E+06             0.                    -730.401489E-06           -11.1469631E-06            1.70332193E-03           0.                       0.                       0.                       0.                       0.                    -730.401489E-06           -11.1469631E-06            1.70332193E-03           0.                     162.153397E+06            99.9999924E+09           29.5547256E-06           45.6298523E-03 
                   4.E+03                  27.3660545               27.3660927               37.6740799E-06            0.                     374.490204E-03          -150.222E+03               -1.13923001E+06         498.931061E+06           149.634232E+06           443.584045E+06             0.                    -973.598877E-06           -14.810008E-06             2.2704289E-03            0.                       0.                       0.                       0.                       0.                    -973.598877E-06           -14.810008E-06             2.2704289E-03            0.                     216.138336E+06            99.9999924E+09           29.7304726E-06           45.8887978E-03 
                   5.E+03                  27.5556355               27.5556698               37.923069E-06             0.                     370.156952E-03          -193.167999E+03            -1.41899908E+06         623.478455E+06           186.98558E+06            554.31958E+06              0.                      -1.21666205E-03         -18.4469681E-06            2.8372035E-03            0.                       0.                       0.                       0.                       0.                      -1.21666205E-03         -18.4469681E-06            2.8372035E-03            0.                     270.090302E+06            99.9999924E+09           29.9364319E-06           46.1920776E-03 
                   6.E+03                  27.8438587               27.8509426                7.08782959E-03         925.552795E-06           363.569092E-03            -5.82749987E+06          -1.02518606E+06         631.263611E+06           223.839798E+06           558.852661E+06           925.552795E-06            -1.31179249E-03         -13.3274155E-06            2.82929921E-03         181.044724E-06          -704.911682E-06           -78.2860565E-06          885.956482E-06          -181.044724E-06            -2.01670432E-03         -91.613533E-06             3.71525621E-03           0.                     283.09198E+06             18.6110573E+12           30.2495556E-06           46.652832E-03  
                   7.E+03                  27.0333214               27.0459805               12.6549225E-03            1.68692815E-03         382.095581E-03            -1.16716003E+06           1.41012597E+06         653.806335E+06           253.523422E+06           571.881042E+06           761.375305E-06            -1.36683071E-03          18.331646E-06             2.89049792E-03         288.658325E-06            -1.32377803E-03         -60.2915497E-06            1.61243629E-03        -288.658325E-06            -2.69060826E-03         -41.9599533E-06            4.5029335E-03            0.                     302.054291E+06            33.838562E+12            29.3689957E-06           45.3563423E-03 
                   8.E+03                  26.883213                26.9022522               19.0431499E-03            2.55372739E-03         385.526672E-03            -1.63626003E+06           1.15551996E+06         679.809448E+06           279.776276E+06           593.125488E+06           866.7995E-06              -1.44755983E-03          15.0217962E-06            2.98183703E-03         381.621918E-06            -2.04272938E-03         -66.511467E-06             2.42435145E-03        -381.621918E-06            -3.49028921E-03         -51.489769E-06             5.40618849E-03           0.                     319.316528E+06            51.1745491E+12           29.2059078E-06           45.1161194E-03 
                   9.E+03                  26.9134712               26.9398384               26.3662739E-03            3.53928924E-03         384.83493E-03             -5.01512384E+06         943.052979E+03           703.51001E+06            302.675781E+06           615.367737E+06           985.561951E-06            -1.53435421E-03          12.2597418E-06            3.07105947E-03         465.636566E-06            -2.87023044E-03         -96.1362E-06               3.33586717E-03        -465.636566E-06            -4.40458393E-03         -83.8764496E-06            6.40692663E-03           0.                     333.723541E+06            70.8857803E+12           29.2387886E-06           45.1643906E-03 
                  10.E+03                  26.7840652               26.8178482               33.7832718E-03            4.55688047E-03         387.792816E-03            -6.6773119E+06          875.357971E+03           725.059692E+06           321.926727E+06           634.799377E+06             1.01759088E-03          -1.6038661E-03           11.3795538E-06            3.15242481E-03         532.059692E-06            -3.73828363E-03        -113.147903E-06             4.2703433E-03         -532.059692E-06            -5.34215021E-03        -101.76844E-06              7.42276764E-03           0.                     346.769684E+06            91.2376251E+12           29.0982037E-06           44.9570656E-03 
                  11.E+03                  26.6164169               26.6578579               41.4363098E-03            5.62087774E-03         391.624695E-03            -5.99089193E+06           1.22624505E+06         746.792908E+06           339.669647E+06           652.657349E+06             1.06399739E-03          -1.6596483E-03           15.9410982E-06            3.23344684E-03         587.145447E-06            -4.65484333E-03        -121.529884E-06             5.24198961E-03        -587.145447E-06            -6.31449175E-03        -105.588577E-06             8.4754343E-03            0.                     360.157257E+06           112.51754E+12             28.9160709E-06           44.6884651E-03 
                  12.E+03                  26.506403                26.555748                49.3486595E-03            6.72175741E-03         394.139404E-03            -5.36394835E+06           1.57792389E+06         766.861694E+06           355.116486E+06           669.263611E+06             1.10087955E-03          -1.70978689E-03          20.5129604E-06            3.30967903E-03         633.335999E-06            -5.60999727E-03        -121.09877E-06              6.24333334E-03        -633.335999E-06            -7.31978321E-03        -100.5858E-06               9.55301189E-03           0.                     372.204742E+06           134.535141E+12            28.7965412E-06           44.5120506E-03 
                  13.E+03                  26.3826637               26.4403801               57.7183876E-03            7.8972373E-03          396.967712E-03            -5.21785593E+06           1.73944199E+06         785.840149E+06           368.920868E+06           685.416748E+06             1.17547977E-03          -1.75823081E-03          22.6128025E-06            3.38364577E-03         673.670654E-06            -6.63352585E-03        -127.57E-06                 7.30719519E-03        -673.670654E-06            -8.39175701E-03        -104.95726E-06             10.6908417E-03            0.                     383.181061E+06           158.044739E+12            28.6621132E-06           44.3135681E-03 
