
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      

                   0.                      25.5879993               26.6385689                1.05057478             148.459641E-03           415.131561E-03            -4.6142621E+06            1.29582155E+06         366.590576E+06           180.842407E+06           321.480682E+06             1.45498216E-03        -844.220825E-06            16.8456898E-06            1.56861091E-03         361.247559E-06          -131.605621E-03           401.034943E-06           131.966858E-03          -361.247559E-06          -132.449814E-03           417.88443E-06            133.535477E-03             0.                     180.939545E+06             2.96929193E+15          27.7987919E-06           43.0356636E-03 
                 222.697861E-06            25.946682                26.8429241              896.241882E-03           125.254128E-03           406.933014E-03            20.6722565E+06         -794.393005E+03           376.598785E+06           198.469437E+06           308.244537E+06             1.25764704E-03        -759.241028E-06           -10.3271017E-06            1.55428135E-03         396.440613E-06          -110.451172E-03            -1.63891256E-03         110.847618E-03          -396.440613E-06          -111.210411E-03            -1.64923728E-03         112.401894E-03             0.                     198.580154E+06             2.5051825E+15           28.188467E-06            43.6122856E-03 
                 449.944275E-06            26.3053665               27.048008               742.640503E-03           102.195168E-03           398.734497E-03            41.2065125E+06           -3.08378458E+06         381.776855E+06           211.323654E+06           294.99115E+06              1.06098258E-03        -683.618103E-06           -40.089241E-06             1.53008854E-03         422.143372E-06           -89.4510422E-03           -3.49202752E-03          89.8731842E-03         -422.143372E-06           -90.1346664E-03           -3.53211236E-03          91.4032745E-03            0.                     211.435638E+06             2.04400349E+15          28.578146E-06            44.188858E-03  
                 680.234314E-06            26.5840321               27.2144279              630.396973E-03            86.0636139E-03          392.365051E-03            67.1512222E+06         -941.481018E+03           394.454376E+06           230.583832E+06           283.457611E+06           910.452087E-06          -601.80127E-06            -12.2392807E-06            1.52566922E-03         460.510681E-06           -75.1421738E-03         -895.262695E-06            75.6026917E-03         -460.510681E-06           -75.743988E-03          -907.501221E-06            77.1283646E-03            0.                     230.729782E+06             1.72137213E+15          28.880888E-06            44.6358376E-03 
                 913.962708E-06            26.8626976               27.38167                518.975159E-03            70.0284653E-03          385.995605E-03            79.8105698E+06            1.65782547E+06         394.123993E+06           236.74498E+06            272.218994E+06           760.514832E-06          -547.250793E-06            21.5517063E-06            1.49578679E-03         472.82312E-06            -60.9327316E-03            1.49348009E-03          61.4055519E-03         -472.82312E-06            -61.4799843E-03            1.5150336E-03           62.9013481E-03            0.                     236.893173E+06             1.40066898E+15          29.1836224E-06           45.0828209E-03 
                   1.15028024E-03          27.0323334               27.4789982              446.664551E-03            59.9933586E-03          382.118164E-03            97.6765137E+06            1.22432148E+06         400.8927E+06             248.984955E+06           262.601624E+06           660.519531E-06          -486.433899E-06            15.916172E-06             1.48447108E-03         497.070953E-06           -52.0369644E-03          819.753906E-06            52.5340309E-03         -497.070953E-06           -52.5233955E-03          835.669678E-06            54.0185089E-03            0.                     249.184723E+06             1.19996727E+15          29.367918E-06            45.3544846E-03 
                   1.38883662E-03          27.2019711               27.5761642              374.196655E-03            49.9137535E-03          378.240723E-03           112.63221E+06            439.165741E+03           404.912964E+06           258.459534E+06           253.123962E+06           560.286499E-06          -431.897736E-06             5.70915842E-06           1.4679271E-03          515.980042E-06           -43.111599E-03            56.4525833E-06           43.6275749E-03         -515.980042E-06           -43.5434914E-03           62.161705E-06            45.0955048E-03            0.                     258.668243E+06           998.375122E+12            29.5522118E-06           45.6261787E-03 
                   1.62890553E-03          27.3092327               27.6353321              326.099487E-03            43.3682785E-03          375.789032E-03           120.802841E+06           -66.0295029E+03          404.188965E+06           262.10498E+06            245.419922E+06           493.437286E-06          -395.426819E-06          -858.384766E-09             1.44658303E-03         523.03717E-06            -37.3926125E-03         -157.163254E-06            37.9156418E-03         -523.03717E-06            -37.7880325E-03         -158.022385E-06            39.3622284E-03            0.                     262.365601E+06           867.465698E+12            29.6687393E-06           45.797802E-03  
                   1.87043095E-03          27.4164925               27.6945534              278.05835E-03             36.8208122E-03          373.337341E-03           137.516098E+06          -640.5896E+03             412.036957E+06           274.326904E+06           237.745285E+06           427.424103E-06          -341.965393E-06            -8.32767296E-06           1.44242024E-03         547.305115E-06           -31.6443825E-03         -328.967468E-06            32.1916847E-03         -547.305115E-06           -31.9863415E-03         -337.294952E-06            33.6341057E-03            0.                     274.626617E+06           736.516296E+12            29.7852707E-06           45.9694443E-03 
