
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      

                   0.                      25.3596725               26.3775063                1.01783693             144.99559E-03            420.350433E-03            -7.39292574E+06           2.74860001E+06         662.230103E+06           326.917786E+06           579.930359E+06             1.47922432E-03          -1.52068627E-03          35.7318077E-06            2.83186364E-03         652.332886E-06          -128.441299E-03           718.588013E-06           129.093628E-03          -652.332886E-06          -129.961975E-03           754.319153E-06           131.925507E-03             0.                     327.251648E+06             2.9000113E+15           27.5507393E-06           42.668251E-03  
                 223.152344E-06            25.8612747               26.7374763              876.201294E-03           122.877747E-03           408.885254E-03            36.964817E+06            -1.41270602E+06         666.13739E+06            350.988678E+06           544.885193E+06             1.28964007E-03          -1.3408649E-03          -18.3651848E-06            2.74875641E-03         700.290283E-06          -108.219894E-03            -1.55192614E-03         108.920181E-03          -700.290283E-06          -109.56076E-03             -1.57029176E-03         111.668938E-03             0.                     351.363586E+06             2.45765471E+15          28.0956821E-06           43.4748573E-03 
                 450.685608E-06            26.3628769               27.0980797              735.200989E-03           100.907181E-03           397.419983E-03            75.4727249E+06           -5.82882738E+06         664.176147E+06           369.259399E+06           509.932526E+06             1.10071361E-03          -1.17278957E-03         -75.7747421E-06            2.65378261E-03         736.823669E-06           -88.160141E-03            -3.6374619E-03           88.8969574E-03         -736.823669E-06           -89.3329391E-03           -3.71323609E-03          91.5507431E-03            0.                     369.636108E+06             2.01824379E+15          28.6406212E-06           44.2813797E-03 
                 681.117188E-06            26.7600136               27.3907509              630.734192E-03            85.5898438E-03          388.34259E-03            119.488152E+06            -2.03417206E+06         676.31488E+06            397.198608E+06           482.239502E+06           957.443237E-06            -1.01282942E-03         -26.4442368E-06            2.60654402E-03         792.288635E-06           -74.5435638E-03           -1.17346549E-03          75.3358536E-03         -792.288635E-06           -75.5563965E-03           -1.19990849E-03          77.9424057E-03            0.                     397.667206E+06             1.71189702E+15          29.0720692E-06           44.9180031E-03 
                 914.845581E-06            27.1571445               27.6845169              527.372742E-03            70.4021149E-03          379.26532E-03            145.187073E+06             2.16029406E+06         670.664124E+06           407.20697E+06            455.092529E+06           815.211487E-06          -890.871216E-06            28.0837841E-06            2.52472949E-03         812.258118E-06           -61.055397E-03             1.03833437E-03          61.8676491E-03         -812.258118E-06           -61.9462662E-03            1.06641793E-03          64.3923874E-03            0.                     407.686035E+06             1.40814221E+15          29.5035133E-06           45.5546188E-03 
                   1.15107369E-03          27.3891354               27.8439159              454.778412E-03            60.3322487E-03          373.962646E-03           173.207687E+06             1.40957904E+06         674.86261E+06            423.133698E+06           434.453735E+06           710.569824E-06          -780.956238E-06            18.324543E-06             2.47980118E-03         843.56311E-06            -52.1296883E-03          491.076141E-06            52.9732513E-03         -843.56311E-06            -52.9106483E-03          509.399902E-06            55.4530487E-03            0.                     423.734711E+06             1.20674527E+15          29.7555504E-06           45.9256668E-03 
                   1.38957047E-03          27.6211281               28.0029182              381.792786E-03            50.1814003E-03          368.659973E-03           200.204269E+06           422.507996E+03           678.118835E+06           438.189941E+06           413.888062E+06           605.200989E-06          -673.441895E-06             5.49259853E-06           2.43300295E-03         873.46521E-06            -43.1346207E-03          -95.369873E-06            44.0080872E-03         -873.46521E-06            -43.8080635E-03          -89.8775177E-06           46.4410858E-03            0.                     438.837677E+06             1.00372791E+15          30.0075817E-06           46.2967644E-03 
                   1.62959468E-03          27.7422485               28.073801               331.55304E-03             43.4381752E-03          365.89151E-03            212.167587E+06          -141.975006E+03           672.641663E+06           441.290222E+06           398.783875E+06           530.755066E-06          -610.059814E-06            -1.84568489E-06           2.38302112E-03         879.237305E-06           -37.24543E-03           -186.746704E-06            38.1246643E-03         -879.237305E-06           -37.8554916E-03         -188.591415E-06            40.5076904E-03            0.                     442.033142E+06           868.863464E+12            30.1391678E-06           46.4902534E-03 
                   1.87112391E-03          27.8633652               28.1446838              281.318726E-03            36.681324E-03           363.123108E-03           237.09613E+06           -761.696472E+03           680.065125E+06           457.296204E+06           383.627014E+06           457.179474E-06          -520.561462E-06            -9.90205479E-06           2.35873723E-03         910.739319E-06           -31.3145771E-03         -229.659348E-06            32.2253151E-03         -910.739319E-06           -31.8351383E-03         -239.561172E-06            34.5840569E-03            0.                     458.152466E+06           733.726562E+12            30.27075E-06             46.6837654E-03 
                   2.11377072E-03          27.9382534               28.1842823              246.028595E-03            32.0133362E-03          361.411407E-03           244.733536E+06          -607.249756E+03           673.665466E+06           457.826691E+06           371.46991E+06            405.674286E-06          -473.570618E-06            -7.89423943E-06           2.31448698E-03         911.535095E-06           -27.2561169E-03         -143.661697E-06            28.1676502E-03         -911.535095E-06           -27.7296906E-03         -151.555984E-06            30.4821415E-03            0.                     458.741882E+06           640.366577E+12            30.352108E-06            46.8033447E-03 
                   2.35746813E-03          28.0131378               28.223156               210.0186E-03              27.2479019E-03          359.699738E-03           261.930847E+06          -347.852509E+03           676.523621E+06           467.61203E+06            359.052063E+06           353.582031E-06          -406.549316E-06            -4.52206564E-06           2.28830385E-03         930.378479E-06           -23.0961037E-03          -10.7357044E-06           24.0264816E-03         -930.378479E-06           -23.5026512E-03          -15.2578573E-06           26.3147831E-03            0.                     468.688843E+06           545.058044E+12            30.433466E-06            46.9229202E-03 
                   2.60201478E-03          28.0582142               28.2430153              184.801407E-03            23.9457893E-03          358.669464E-03           270.823273E+06          -189.566498E+03           673.619934E+06           470.466644E+06           348.836731E+06           317.135284E-06          -362.013336E-06            -2.46437407E-06           2.25616503E-03         935.668274E-06           -20.2220936E-03           -7.202034E-06            21.1577644E-03         -935.668274E-06           -20.5841064E-03           -9.6661396E-06           23.413929E-03             0.                     471.636627E+06           479.015839E+12            30.4824352E-06           46.9948692E-03 
                   2.84729528E-03          28.1032848               28.2624779              159.192062E-03            20.5913315E-03          357.639252E-03           282.297913E+06            -3.58012509E+03         673.15033E+06            475.725677E+06           338.494049E+06           279.907257E-06          -311.824493E-06           -46.5515785E-09            2.22871637E-03         945.455933E-06           -17.2987766E-03            5.45819044E-06          18.244236E-03          -945.455933E-06           -17.6106033E-03            5.41162443E-06          20.4729519E-03            0.                     477.057983E+06           411.926697E+12            30.5313988E-06           47.0668106E-03 
                   3.09320164E-03          28.1267128               28.2667656              140.051895E-03            18.1033611E-03          357.103699E-03           291.413025E+06           -18.4740009E+03          671.721619E+06           479.305786E+06           329.364624E+06           251.555954E-06          -269.475983E-06          -240.161163E-09             2.20252967E-03         951.827148E-06           -15.1310806E-03         -361.207642E-09            16.0829086E-03         -951.827148E-06           -15.4005575E-03         -601.343323E-09            18.2854385E-03            0.                     480.813477E+06           362.167175E+12            30.5568542E-06           47.1042023E-03 
                   3.33965945E-03          28.1501408               28.2709332              120.792496E-03            15.5994902E-03          356.568207E-03           300.569611E+06           -22.0279999E+03          670.29541E+06            482.897339E+06           320.201965E+06           222.893692E-06          -226.941254E-06          -286.368042E-09             2.17627692E-03         958.18927E-06            -12.9498005E-03           -4.75707197E-06          13.9079885E-03         -958.18927E-06            -13.1767406E-03           -5.04335213E-06          16.0842648E-03            0.                     484.587524E+06           312.089752E+12            30.5823059E-06           47.1415901E-03 
                   3.5865941E-03           28.1524982               28.2585583              106.059113E-03            13.6957541E-03          356.514465E-03           308.112335E+06           -24.9796257E+03          668.29248E+06            485.280762E+06           311.938812E+06           200.047485E-06          -189.798019E-06          -324.738739E-09             2.15137315E-03         961.795898E-06           -11.2913942E-03           -2.35726476E-06          12.2531891E-03         -961.795898E-06           -11.4811907E-03           -2.68203449E-06          14.4045639E-03            0.                     487.228455E+06           274.015076E+12            30.5848618E-06           47.1453476E-03 
                   3.83394957E-03          28.15485                 28.2461357               91.2840195E-03           11.786314E-03           356.460632E-03           315.598877E+06           -28.4061871E+03          666.222412E+06           487.614716E+06           303.666779E+06           177.143631E-06          -152.761383E-06          -369.279419E-09             2.12629151E-03         965.341736E-06            -9.62795734E-03        -107.294907E-09            10.593297E-03          -965.341736E-06            -9.7807188E-03         -476.571594E-09            12.7195902E-03            0.                     489.811981E+06           235.826279E+12            30.5874195E-06           47.1491013E-03 
