
                     X                   displacement                force         

                   0.                       0.                      -0.            
                  10.                      18.9999981E-06          273.611389      
                  20.                      37.9999962E-06          547.173706      
                  30.                      56.9999962E-06          820.687134      
                  40.                      75.9999924E-06            1.09415138E+03
                  50.                      95.0000229E-06            1.3675667E+03 
                  60.                     113.999992E-06             1.64093351E+03
                  70.                     133.000015E-06             1.91425025E+03
                  80.                     151.999985E-06             2.18751884E+03
                  90.                     170.999969E-06             2.46073818E+03
                 100.                     190.000046E-06             2.73390889E+03
                 110.                     208.999969E-06             3.00703049E+03
                 120.                     227.999985E-06             3.28010345E+03
                 130.                     246.999908E-06             3.55312753E+03
                 140.                     266.000031E-06             3.8261025E+03 
                 150.                     285.000061E-06             4.09902811E+03
                 160.                     303.999969E-06             4.37190628E+03
                 170.                     322.999969E-06             4.6447258E+03 
                 180.                     341.999939E-06             4.91748476E+03
                 190.                     361.000092E-06             5.19017649E+03
                 200.                     380.000092E-06             5.4627986E+03 
                 210.                     399.000031E-06             5.73534727E+03
                 220.                     417.999939E-06             6.00780773E+03
                 230.                     436.999878E-06             6.28018236E+03
                 240.                     455.999969E-06             6.55246496E+03
                 250.                     474.999969E-06             6.82465458E+03
                 260.                     493.999817E-06             7.09674215E+03
                 270.                     513.000183E-06             7.3687315E+03 
                 280.                     532.000061E-06             7.64060926E+03
                 290.                     551.000183E-06             7.9123702E+03 
                 300.                     570.000122E-06             8.18400764E+03
                 310.                     589.E-06                   8.45550919E+03
                 320.                     607.999939E-06             8.72685814E+03
                 330.                     626.999939E-06             8.99803352E+03
                 340.                     645.999939E-06             9.26900673E+03
                 350.                     664.999939E-06             9.53970814E+03
                 360.                     683.999878E-06             9.81005573E+03
                 370.                     702.999756E-06            10.0799513E+03 
                 380.                     722.000183E-06            10.3492661E+03 
                 390.                     741.E-06                  10.617775E+03  
                 400.                     760.000183E-06            10.8850975E+03 
                 410.                     778.999878E-06            11.1505165E+03 
                 420.                     798.000061E-06            11.4122953E+03 
                 430.                     817.000183E-06            11.6639719E+03 
                 440.                     835.999878E-06            11.901969E+03  
                 450.                     855.000061E-06            12.1229687E+03 
                 460.                     873.999756E-06            12.3035851E+03 
                 470.                     893.000061E-06            12.4599133E+03 
                 480.                     911.999939E-06            12.5847969E+03 
                 490.                     931.000244E-06            12.6679707E+03 
                 500.                     949.999939E-06            12.7459393E+03 
                 510.                     969.000122E-06            12.8200121E+03 
                 520.                     987.999634E-06            12.8898029E+03 
                 530.                       1.00699997E-03          12.9555731E+03 
                 540.                       1.02600038E-03          13.0170622E+03 
                 550.                       1.04499996E-03          13.0739708E+03 
                 560.                       1.06400013E-03          13.1273012E+03 
                 570.                       1.08299971E-03          13.1772213E+03 
                 580.                       1.10200036E-03          13.2238846E+03 
                 590.                       1.12099981E-03          13.2671309E+03 
                 600.                       1.14000022E-03          13.3065681E+03 
                 610.                       1.1589998E-03           13.3412313E+03 
                 620.                       1.17799997E-03          13.3711252E+03 
                 630.                       1.19699967E-03          13.3964691E+03 
                 640.                       1.21599984E-03          13.4179907E+03 
                 650.                       1.23500049E-03          13.4344921E+03 
                 660.                       1.25399983E-03          13.4450159E+03 
                 670.                       1.27300012E-03          13.4498425E+03 
                 680.                       1.29199994E-03          13.4487543E+03 
                 690.                       1.31100035E-03          13.4406433E+03 
                 700.                       1.32999992E-03          13.4261217E+03 
                 710.                       1.34899986E-03          13.4053278E+03 
                 720.                       1.36799979E-03          13.37813E+03   
                 730.                       1.38699996E-03          13.3449488E+03 
                 740.                       1.40599954E-03          13.3057928E+03 
                 750.                       1.42500043E-03          13.2610273E+03 
                 760.                       1.44400036E-03          13.2107487E+03 
                 770.                       1.46299982E-03          13.1552238E+03 
                 780.                       1.48199999E-03          13.094656E+03  
                 790.                       1.50100017E-03          13.0291557E+03 
                 800.                       1.52000034E-03          12.9587793E+03 
                 810.                       1.53899956E-03          12.8838472E+03 
                 820.                       1.55799973E-03          12.8045626E+03 
                 830.                       1.57700002E-03          12.7205133E+03 
                 840.                       1.59600008E-03          12.6298561E+03 
                 850.                       1.61499953E-03          12.5299644E+03 
                 860.                       1.63400042E-03          12.4192438E+03 
                 870.                       1.65300047E-03          12.2961235E+03 
                 880.                       1.67199981E-03          12.1610737E+03 
                 890.                       1.69099963E-03          12.0145245E+03 
                 900.                       1.71000016E-03          11.856986E+03  
                 910.                       1.72900021E-03          11.6885109E+03 
                 920.                       1.74799955E-03          11.5093555E+03 
                 930.                       1.76699948E-03          11.3197269E+03 
                 940.                       1.78600013E-03          11.1199274E+03 
                 950.                       1.80500007E-03          10.9102077E+03 
                 960.                       1.82399988E-03          10.6905136E+03 
                 970.                       1.84300065E-03          10.4608831E+03 
                 980.                       1.86200047E-03          10.2215176E+03 
                 990.                       1.8809998E-03            9.9731741E+03 
                   1.E+03                   1.89999986E-03           9.71728706E+03




