
                     X                   displacement                force         

                   0.                       0.                      -0.            
                  10.                      20.9999924E-06          136.609741      
                  20.                      41.9999847E-06          273.316589      
                  30.                      63.0000076E-06          410.120361      
                  40.                      83.9999695E-06          546.744568      
                  50.                     105.000015E-06           681.097717      
                  60.                     126.000015E-06           810.404053      
                  70.                     146.999969E-06           933.069946      
                  80.                     167.999939E-06             1.04825056E+03
                  90.                     188.999985E-06             1.15569186E+03
                 100.                     210.000031E-06             1.2554493E+03 
                 110.                     231.000015E-06             1.34759974E+03
                 120.                     252.000031E-06             1.43176484E+03
                 130.                     273.E-06                   1.50807798E+03
                 140.                     293.999939E-06             1.57432759E+03
                 150.                     315.E-06                   1.63167071E+03
                 160.                     335.999878E-06             1.6801722E+03 
                 170.                     357.000122E-06             1.72120833E+03
                 180.                     377.999969E-06             1.75532866E+03
                 190.                     399.000031E-06             1.7848866E+03 
                 200.                     420.000061E-06             1.81037855E+03
                 210.                     440.999939E-06             1.83263242E+03
                 220.                     462.000031E-06             1.85199559E+03
                 230.                     482.999908E-06             1.86883748E+03
                 240.                     504.000061E-06             1.88361919E+03
                 250.                     524.999817E-06             1.89654815E+03
                 260.                     546.E-06                   1.90793514E+03
                 270.                     567.000183E-06             1.91799498E+03
                 280.                     587.999878E-06             1.92687392E+03
                 290.                     609.000061E-06             1.93482637E+03
                 300.                     630.E-06                   1.94192636E+03
                 310.                     651.E-06                   1.94829214E+03
                 320.                     671.999756E-06             1.95413768E+03
                 330.                     693.000061E-06             1.95956147E+03
                 340.                     714.000244E-06             1.96465206E+03
                 350.                     734.999817E-06             1.96936381E+03
                 360.                     755.999939E-06             1.97378147E+03
                 370.                     777.E-06                   1.9779855E+03 
                 380.                     798.000061E-06             1.9819752E+03 
                 390.                     819.000061E-06             1.9857595E+03 
                 400.                     840.000122E-06             1.98938835E+03
                 410.                     861.000183E-06             1.99289632E+03
                 420.                     881.999878E-06             1.99629474E+03
                 430.                     902.999756E-06             1.99959016E+03
                 440.                     924.000061E-06             2.00278902E+03
                 450.                     945.E-06                   2.00588942E+03
                 460.                     965.999817E-06             2.00890446E+03
                 470.                     987.000305E-06             2.01184273E+03
                 480.                       1.00800014E-03           2.014714E+03  
                 490.                       1.02899981E-03           2.01751733E+03
                 500.                       1.04999959E-03           2.02025175E+03
                 510.                       1.07100034E-03           2.02291584E+03
                 520.                       1.09200001E-03           2.0255208E+03 
                 530.                       1.11299992E-03           2.0280745E+03 
                 540.                       1.13400042E-03           2.03058338E+03
                 550.                       1.15500009E-03           2.03304982E+03
                 560.                       1.17599976E-03           2.03547716E+03
                 570.                       1.19699967E-03           2.03786778E+03
                 580.                       1.21800017E-03           2.0402298E+03 
                 590.                       1.23900008E-03           2.04257059E+03
                 600.                       1.25999999E-03           2.04489255E+03
                 610.                       1.28100038E-03           2.04719472E+03
                 620.                       1.30200005E-03           2.04947543E+03
                 630.                       1.32299972E-03           2.05173206E+03
                 640.                       1.34399951E-03           2.05395746E+03
                 650.                       1.36500001E-03           2.05614662E+03
                 660.                       1.38600016E-03           2.05829835E+03
                 670.                       1.40699995E-03           2.06041002E+03
                 680.                       1.42800045E-03           2.06247902E+03
                 690.                       1.449E-03                2.06450701E+03
                 700.                       1.46999967E-03           2.06649947E+03
                 710.                       1.49099946E-03           2.0684607E+03 
                 720.                       1.51199985E-03           2.07039285E+03
                 730.                       1.53300023E-03           2.07229853E+03
                 740.                       1.55400002E-03           2.07418871E+03
                 750.                       1.57500041E-03           2.07605433E+03
                 760.                       1.59600008E-03           2.07789946E+03
                 770.                       1.61699963E-03           2.07972312E+03
                 780.                       1.63800013E-03           2.08152533E+03
                 790.                       1.65899968E-03           2.08330154E+03
                 800.                       1.68000031E-03           2.08505201E+03
                 810.                       1.70100009E-03           2.08677816E+03
                 820.                       1.72200036E-03           2.08847523E+03
                 830.                       1.74300003E-03           2.0901413E+03 
                 840.                       1.7639997E-03            2.09177494E+03
                 850.                       1.78499985E-03           2.09337616E+03
                 860.                       1.80599952E-03           2.09494376E+03
                 870.                       1.8270005E-03            2.09647965E+03
                 880.                       1.84800017E-03           2.09798408E+03
                 890.                       1.86900043E-03           2.0994575E+03 
                 900.                       1.88999999E-03           2.10090017E+03
                 910.                       1.91099966E-03           2.10231495E+03
                 920.                       1.93199968E-03           2.10370111E+03
                 930.                       1.95299947E-03           2.10506058E+03
                 940.                       1.97400057E-03           2.10639262E+03
                 950.                       1.99500072E-03           2.10769582E+03
                 960.                       2.01600027E-03           2.10897183E+03
                 970.                       2.03699994E-03           2.11021996E+03
                 980.                       2.05799961E-03           2.11144114E+03
                 990.                       2.07899976E-03           2.11262417E+03
                   1.E+03                   2.09999919E-03           2.1137867E+03 




