
                     X                   displacement                force         

                   0.                       0.                      -0.            
                  10.                      13.9999981E-06          198.46608       
                  20.                      27.9999962E-06          396.906219      
                  30.                      41.9999847E-06          595.320496      
                  40.                      55.9999924E-06          793.70874       
                  50.                      69.9999771E-06          992.071228      
                  60.                      83.9999695E-06            1.19040775E+03
                  70.                      98.0000381E-06            1.38871837E+03
                  80.                     111.999985E-06             1.58700335E+03
                  90.                     126.000015E-06             1.78526223E+03
                 100.                     139.999954E-06             1.98349476E+03
                 110.                     153.999985E-06             2.1817019E+03 
                 120.                     167.999939E-06             2.37988329E+03
                 130.                     182.E-06                   2.57803869E+03
                 140.                     196.000076E-06             2.77616811E+03
                 150.                     210.000031E-06             2.9742713E+03 
                 160.                     223.999969E-06             3.17234945E+03
                 170.                     237.999954E-06             3.37040114E+03
                 180.                     252.000031E-06             3.56842732E+03
                 190.                     266.000031E-06             3.76642728E+03
                 200.                     279.999908E-06             3.96440172E+03
                 210.                     293.999939E-06             4.16235113E+03
                 220.                     307.999969E-06             4.36026335E+03
                 230.                     322.000092E-06             4.55811071E+03
                 240.                     335.999878E-06             4.75588846E+03
                 250.                     350.E-06                   4.95358515E+03
                 260.                     364.E-06                   5.15118647E+03
                 270.                     377.999969E-06             5.3486743E+03 
                 280.                     392.000153E-06             5.54603434E+03
                 290.                     405.999908E-06             5.74323702E+03
                 300.                     420.000061E-06             5.9402709E+03 
                 310.                     434.E-06                   6.13712311E+03
                 320.                     447.999939E-06             6.33378506E+03
                 330.                     462.000031E-06             6.53024387E+03
                 340.                     475.999908E-06             6.72648668E+03
                 350.                     490.000183E-06             6.92250061E+03
                 360.                     504.000061E-06             7.11826992E+03
                 370.                     517.999817E-06             7.3137722E+03 
                 380.                     532.000061E-06             7.50898552E+03
                 390.                     546.E-06                   7.70389271E+03
                 400.                     559.999817E-06             7.89846563E+03
                 410.                     574.000122E-06             8.09266949E+03
                 420.                     587.999878E-06             8.28647327E+03
                 430.                     602.000183E-06             8.47982216E+03
                 440.                     615.999939E-06             8.67267418E+03
                 450.                     630.E-06                   8.86494637E+03
                 460.                     644.000183E-06             9.0565443E+03 
                 470.                     657.999939E-06             9.24728012E+03
                 480.                     671.999756E-06             9.43624973E+03
                 490.                     685.999939E-06             9.61879539E+03
                 500.                     700.E-06                   9.79643345E+03
                 510.                     714.000244E-06             9.96990871E+03
                 520.                     728.E-06                  10.1366425E+03 
                 530.                     741.999817E-06            10.2896156E+03 
                 540.                     755.999939E-06            10.4113979E+03 
                 550.                     770.000061E-06            10.5264492E+03 
                 560.                     784.000305E-06            10.6340237E+03 
                 570.                     798.000061E-06            10.7328644E+03 
                 580.                     811.999817E-06            10.8231211E+03 
                 590.                     825.999939E-06            10.9055719E+03 
                 600.                     840.000122E-06            10.9835234E+03 
                 610.                     854.000244E-06            11.055459E+03  
                 620.                     868.E-06                  11.1214952E+03 
                 630.                     881.999878E-06            11.1819849E+03 
                 640.                     895.999878E-06            11.2371178E+03 
                 650.                     910.000305E-06            11.2859297E+03 
                 660.                     924.000061E-06            11.3298235E+03 
                 670.                     938.000061E-06            11.3690786E+03 
                 680.                     951.999817E-06            11.4046803E+03 
                 690.                     965.999817E-06            11.4369001E+03 
                 700.                     980.000366E-06            11.4659634E+03 
                 710.                     994.000244E-06            11.4915285E+03 
                 720.                       1.00800014E-03          11.512722E+03  
                 730.                       1.02199996E-03          11.527751E+03  
                 740.                       1.03599966E-03          11.5376883E+03 
                 750.                       1.04999959E-03          11.5420961E+03 
                 760.                       1.06400013E-03          11.5385847E+03 
                 770.                       1.07800019E-03          11.5242386E+03 
                 780.                       1.09200001E-03          11.4941883E+03 
                 790.                       1.10599971E-03          11.4456167E+03 
                 800.                       1.11999965E-03          11.3782578E+03 
                 810.                       1.13400042E-03          11.292635E+03  
                 820.                       1.14800024E-03          11.1904173E+03 
                 830.                       1.16199994E-03          11.0716362E+03 
                 840.                       1.17599976E-03          10.9346189E+03 
                 850.                       1.1899997E-03           10.776679E+03  
                 860.                       1.20400035E-03          10.5948076E+03 
                 870.                       1.21800017E-03          10.3833952E+03 
                 880.                       1.23199987E-03          10.1344709E+03 
                 890.                       1.24599993E-03           9.83546829E+03
                 900.                       1.25999999E-03           9.46552658E+03
                 910.                       1.27400053E-03           8.99103355E+03
                 920.                       1.28800035E-03           8.37737179E+03
                 930.                       1.30200005E-03           7.68322086E+03
                 940.                       1.31599987E-03           7.08875227E+03
                 950.                       1.32999992E-03           6.64261818E+03
                 960.                       1.34399951E-03           6.30367947E+03
                 970.                       1.35799992E-03           6.03525686E+03
                 980.                       1.37199986E-03           5.81402969E+03
                 990.                       1.38600016E-03           5.62569761E+03
                   1.E+03                   1.39999998E-03           5.46126842E+03




