
                     X                   displacement                force         

                   0.                       0.                      -0.            
                  10.                      15.0999994E-06          215.396713      
                  20.                      30.1999989E-06          430.734039      
                  30.                      45.2999992E-06          646.012207      
                  40.                      60.3999977E-06          861.231201      
                  50.                      75.5E-06                  1.07639086E+03
                  60.                      90.5999985E-06            1.29149163E+03
                  70.                     105.699997E-06             1.50653255E+03
                  80.                     120.799995E-06             1.7215153E+03 
                  90.                     135.900009E-06             1.93643773E+03
                 100.                     151.E-06                   2.1513021E+03 
                 110.                     166.099991E-06             2.36610699E+03
                 120.                     181.199997E-06             2.58085299E+03
                 130.                     196.300003E-06             2.79553986E+03
                 140.                     211.399994E-06             3.01016831E+03
                 150.                     226.499985E-06             3.22473669E+03
                 160.                     241.599991E-06             3.43924665E+03
                 170.                     256.700012E-06             3.65369773E+03
                 180.                     271.800018E-06             3.86809015E+03
                 190.                     286.900024E-06             4.08242273E+03
                 200.                     302.E-06                   4.29668331E+03
                 210.                     317.100006E-06             4.51082945E+03
                 220.                     332.199982E-06             4.7248373E+03 
                 230.                     347.300049E-06             4.93870354E+03
                 240.                     362.399994E-06             5.15240669E+03
                 250.                     377.500092E-06             5.36594105E+03
                 260.                     392.600006E-06             5.5792923E+03 
                 270.                     407.700134E-06             5.79244709E+03
                 280.                     422.799988E-06             6.00539875E+03
                 290.                     437.900146E-06             6.21813107E+03
                 300.                     452.999969E-06             6.43063593E+03
                 310.                     468.100159E-06             6.64289141E+03
                 320.                     483.199982E-06             6.85489178E+03
                 330.                     498.300201E-06             7.066607E+03  
                 340.                     513.400024E-06             7.278018E+03  
                 350.                     528.500183E-06             7.48910666E+03
                 360.                     543.600037E-06             7.69982719E+03
                 370.                     558.700256E-06             7.91014814E+03
                 380.                     573.800049E-06             8.12002373E+03
                 390.                     588.900146E-06             8.32937241E+03
                 400.                     604.E-06                   8.53810215E+03
                 410.                     619.10022E-06              8.74599075E+03
                 420.                     634.200012E-06             8.95236397E+03
                 430.                     649.30011E-06              9.15622807E+03
                 440.                     664.399963E-06             9.35655308E+03
                 450.                     679.500244E-06             9.55196857E+03
                 460.                     694.600098E-06             9.73237705E+03
                 470.                     709.700134E-06             9.87613583E+03
                 480.                     724.799988E-06            10.0044098E+03 
                 490.                     739.900208E-06            10.1213198E+03 
                 500.                     755.000183E-06            10.2290001E+03 
                 510.                     770.100037E-06            10.3299332E+03 
                 520.                     785.200012E-06            10.4238319E+03 
                 530.                     800.300293E-06            10.5109196E+03 
                 540.                     815.400269E-06            10.5914688E+03 
                 550.                     830.499939E-06            10.6657257E+03 
                 560.                     845.599976E-06            10.7332449E+03 
                 570.                     860.700256E-06            10.7959833E+03 
                 580.                     875.800293E-06            10.8540421E+03 
                 590.                     890.899902E-06            10.9076347E+03 
                 600.                     905.999939E-06            10.9566755E+03 
                 610.                     921.100281E-06            11.0016966E+03 
                 620.                     936.200317E-06            11.0421276E+03 
                 630.                     951.299866E-06            11.0766592E+03 
                 640.                     966.399963E-06            11.1062946E+03 
                 650.                     981.500244E-06            11.1318903E+03 
                 660.                     996.600403E-06            11.153676E+03  
                 670.                       1.01169991E-03          11.1713047E+03 
                 680.                       1.02680004E-03          11.1844721E+03 
                 690.                       1.04190028E-03          11.1940861E+03 
                 700.                       1.0570004E-03           11.2004347E+03 
                 710.                       1.07209992E-03          11.2031975E+03 
                 720.                       1.08720005E-03          11.2028303E+03 
                 730.                       1.10230029E-03          11.1997433E+03 
                 740.                       1.11740053E-03          11.1938982E+03 
                 750.                       1.13249981E-03          11.1856804E+03 
                 760.                       1.14760005E-03          11.1754265E+03 
                 770.                       1.1627003E-03           11.1632967E+03 
                 780.                       1.1778003E-03           11.1496315E+03 
                 790.                       1.19289982E-03          11.1345863E+03 
                 800.                       1.20799994E-03          11.1183548E+03 
                 810.                       1.22310007E-03          11.1011238E+03 
                 820.                       1.23820043E-03          11.0829773E+03 
                 830.                       1.25329983E-03          11.0640678E+03 
                 840.                       1.26840007E-03          11.0444641E+03 
                 850.                       1.28350019E-03          11.0242386E+03 
                 860.                       1.2986002E-03           11.0034418E+03 
                 870.                       1.31369996E-03          10.9821157E+03 
                 880.                       1.32879996E-03          10.9603262E+03 
                 890.                       1.34389997E-03          10.9381199E+03 
                 900.                       1.35900044E-03          10.9155331E+03 
                 910.                       1.37409985E-03          10.8925743E+03 
                 920.                       1.38920021E-03          10.8692236E+03 
                 930.                       1.40430021E-03          10.8454905E+03 
                 940.                       1.41940022E-03          10.8213968E+03 
                 950.                       1.43449998E-03          10.7969608E+03 
                 960.                       1.44959998E-03          10.772191E+03  
                 970.                       1.46469986E-03          10.7470894E+03 
                 980.                       1.47980046E-03          10.7216253E+03 
                 990.                       1.49489963E-03          10.6957903E+03 
                   1.E+03                   1.51000035E-03          10.6695929E+03 




