
                     X                   displacement                force         

                   7.19999981E+03           0.                      -0.            
                   7.20678997E+03          16.970005E-06           238.089142      
                   7.21358013E+03          33.9400101E-06          476.178284      
                   7.22037029E+03          50.9100113E-06          714.267273      
                   7.22715998E+03          67.8800201E-06          952.356018      
                   7.23395014E+03          84.8499985E-06            1.19044435E+03
                   7.2407403E+03          101.820023E-06             1.42853236E+03
                   7.24752998E+03         118.789978E-06             1.6666199E+03 
                   7.25431967E+03         135.76004E-06              1.90470612E+03
                   7.26110983E+03         152.72998E-06              2.14279175E+03
                   7.26789999E+03         169.699997E-06             2.38087583E+03
                   7.27469015E+03         186.670059E-06             2.61895967E+03
                   7.28147984E+03         203.640045E-06             2.85704112E+03
                   7.28827E+03            220.609985E-06             3.09512162E+03
                   7.29506016E+03         237.579956E-06             3.33319998E+03
                   7.30185032E+03         254.549988E-06             3.57127714E+03
                   7.30864E+03            271.520081E-06             3.80935097E+03
                   7.31543016E+03         288.490112E-06             4.04742384E+03
                   7.32222033E+03         305.459961E-06             4.28549433E+03
                   7.32900953E+03         322.429993E-06             4.52356243E+03
                   7.33579969E+03         339.399994E-06             4.76162624E+03
                   7.34258986E+03         356.369995E-06             4.9996891E+03 
                   7.34938002E+03         373.340118E-06             5.2377491E+03 
                   7.3561697E+03          390.309906E-06             5.47580481E+03
                   7.36295986E+03         407.28009E-06              5.71385765E+03
                   7.36975002E+03         424.25E-06                 5.9519062E+03 
                   7.37654018E+03         441.219971E-06             6.18995237E+03
                   7.38332987E+03         458.190186E-06             6.42799282E+03
                   7.39012003E+03         475.159912E-06             6.66602945E+03
                   7.39691019E+03         492.130157E-06             6.9040637E+03 
                   7.40370035E+03         509.099976E-06             7.14208794E+03
                   7.41049004E+03         526.069885E-06             7.37986994E+03
                   7.41727972E+03         543.040161E-06             7.61707687E+03
                   7.42406988E+03         560.009888E-06             7.85344601E+03
                   7.43086004E+03         576.980225E-06             8.08871078E+03
                   7.43764973E+03         593.949951E-06             8.32255554E+03
                   7.44443989E+03         610.919922E-06             8.55456638E+03
                   7.45123005E+03         627.890198E-06             8.7841177E+03 
                   7.45802021E+03         644.859985E-06             9.01012611E+03
                   7.46480989E+03         661.830139E-06             9.22980595E+03
                   7.47160006E+03         678.799988E-06             9.40152454E+03
                   7.47839022E+03         695.769958E-06             9.5354023E+03 
                   7.48518038E+03         712.73999E-06              9.65954113E+03
                   7.49197006E+03         729.7099E-06               9.77700043E+03
                   7.49875975E+03         746.680237E-06             9.8890934E+03 
                   7.50554991E+03         763.649841E-06             9.99583054E+03
                   7.51234007E+03         780.619812E-06            10.095891E+03  
                   7.51912975E+03         797.59021E-06             10.1853628E+03 
                   7.52591991E+03         814.560181E-06            10.2673073E+03 
                   7.53271008E+03         831.529968E-06            10.3445797E+03 
                   7.53950024E+03         848.5E-06                 10.4183092E+03 
                   7.54628992E+03         865.470154E-06            10.4892015E+03 
                   7.55308008E+03         882.439941E-06            10.5576916E+03 
                   7.55987024E+03         899.409973E-06            10.6213846E+03 
                   7.56665993E+03         916.380371E-06            10.6772985E+03 
                   7.57345009E+03         933.349731E-06            10.7271223E+03 
                   7.58024025E+03         950.319824E-06            10.7727776E+03 
                   7.58702993E+03         967.290222E-06            10.8148317E+03 
                   7.59381962E+03         984.260315E-06            10.8513308E+03 
                   7.60060978E+03           1.00122964E-03          10.8826571E+03 
                   7.60739994E+03           1.01819992E-03          10.9084597E+03 
                   7.6141901E+03            1.03517032E-03          10.927907E+03  
                   7.62097979E+03           1.05213976E-03          10.9415989E+03 
                   7.62776995E+03           1.06911004E-03          10.9489031E+03 
                   7.63456011E+03           1.08608031E-03          10.9427366E+03 
                   7.64135027E+03           1.10304964E-03          10.9248056E+03 
                   7.64813995E+03           1.12001979E-03          10.9169283E+03 
                   7.65493011E+03           1.13699019E-03          10.8998308E+03 
                   7.66172028E+03           1.15396047E-03          10.8737011E+03 
                   7.66850996E+03           1.17092967E-03          10.8080282E+03 
                   7.67529964E+03           1.18789995E-03          10.7184601E+03 
                   7.68208981E+03           1.20487034E-03          10.6641159E+03 
                   7.68887997E+03           1.22183979E-03          10.449152E+03  
                   7.69567013E+03           1.23881018E-03          10.3533754E+03 
                   7.70245981E+03           1.25578034E-03          10.2025089E+03 
                   7.70924997E+03           1.27274966E-03          10.1424799E+03 
                   7.71604013E+03           1.28971994E-03          10.0327539E+03 
                   7.7228303E+03            1.30669022E-03           9.97439575E+03
                   7.72961998E+03           1.32366025E-03           9.82305241E+03
                   7.73641014E+03           1.34062994E-03           9.67372131E+03
                   7.7432003E+03            1.35759997E-03           9.43397713E+03
                   7.74999046E+03           1.37457001E-03           9.19923592E+03
                   7.75678015E+03           1.39153993E-03           8.83642292E+03
                   7.76356983E+03           1.40850997E-03           8.50935459E+03
                   7.77035999E+03           1.42548001E-03           8.06590462E+03
                   7.77714968E+03           1.44244993E-03           7.66162157E+03
                   7.78393984E+03           1.45941985E-03           7.16186953E+03
                   7.79073E+03              1.47638977E-03           6.71906042E+03
                   7.79752016E+03           1.49336052E-03           6.2319169E+03 
                   7.80430984E+03           1.5103296E-03            5.82726765E+03
                   7.81110001E+03           1.52729964E-03           5.43270254E+03
                   7.81789017E+03           1.54427028E-03           5.12491179E+03
                   7.82468033E+03           1.5612396E-03            4.85202885E+03
                   7.83146954E+03           1.57821047E-03           4.64514637E+03
                   7.8382597E+03            1.59518039E-03           4.47059202E+03
                   7.84504986E+03           1.61214936E-03           4.33602333E+03
                   7.85184002E+03           1.62912035E-03           4.22261906E+03
                   7.8586297E+03            1.64609015E-03           4.13080072E+03
                   7.86541986E+03           1.66305995E-03           4.05120325E+03
                   7.87221003E+03           1.68003011E-03           3.98313856E+03
                   7.87900019E+03           1.69700003E-03           3.92227817E+03




