
                     X                   displacement                force         

                   7.19999981E+03           0.                      -0.            
                   7.20664978E+03          16.6200027E-06          238.90715       
                   7.21329975E+03          33.2400055E-06          477.814301      
                   7.2199502E+03           49.8599854E-06          716.721252      
                   7.22660017E+03          66.480011E-06           955.627075      
                   7.23325014E+03          83.100029E-06             1.19453108E+03
                   7.23990011E+03          99.7199707E-06            1.43343306E+03
                   7.24654961E+03         116.339958E-06             1.67233288E+03
                   7.25320005E+03         132.960022E-06             1.9112289E+03 
                   7.25985003E+03         149.579987E-06             2.15012121E+03
                   7.2665E+03             166.200058E-06             2.38900828E+03
                   7.27314997E+03         182.820007E-06             2.62789154E+03
                   7.27979994E+03         199.439941E-06             2.86676764E+03
                   7.28645039E+03         216.059967E-06             3.10563779E+03
                   7.29309988E+03         232.679916E-06             3.34450126E+03
                   7.29974985E+03         249.300064E-06             3.58335686E+03
                   7.30639982E+03         265.920044E-06             3.8222034E+03 
                   7.31304979E+03         282.540009E-06             4.0610404E+03 
                   7.31970024E+03         299.159973E-06             4.29986954E+03
                   7.32635021E+03         315.779938E-06             4.53868818E+03
                   7.33300018E+03         332.400116E-06             4.77748346E+03
                   7.33964968E+03         349.02002E-06              5.01624775E+03
                   7.34629965E+03         365.640015E-06             5.25497723E+03
                   7.3529501E+03          382.260071E-06             5.49367142E+03
                   7.35960007E+03         398.879883E-06             5.7323246E+03 
                   7.36625004E+03         415.5E-06                  5.97093296E+03
                   7.37290001E+03         432.119934E-06             6.20949173E+03
                   7.37954998E+03         448.740051E-06             6.44800091E+03
                   7.38620043E+03         465.359833E-06             6.68645382E+03
                   7.39284992E+03         481.97995E-06              6.92484808E+03
                   7.39949989E+03         498.600128E-06             7.16317511E+03
                   7.40614986E+03         515.219788E-06             7.40143919E+03
                   7.41279984E+03         531.840088E-06             7.63962603E+03
                   7.41945028E+03         548.459839E-06             7.87773561E+03
                   7.42610025E+03         565.080017E-06             8.11575699E+03
                   7.43275023E+03         581.700195E-06             8.35368156E+03
                   7.43939972E+03         598.319946E-06             8.59150028E+03
                   7.44604969E+03         614.940063E-06             8.82919025E+03
                   7.45270014E+03         631.559875E-06             9.06674671E+03
                   7.45935011E+03         648.179993E-06             9.30413723E+03
                   7.46600008E+03         664.800232E-06             9.54131317E+03
                   7.47265005E+03         681.420044E-06             9.77821732E+03
                   7.47930002E+03         698.040039E-06            10.0146894E+03 
                   7.48594999E+03         714.65979E-06             10.2505159E+03 
                   7.49259996E+03         731.280029E-06            10.4854441E+03 
                   7.49924994E+03         747.90033E-06             10.719121E+03  
                   7.50589991E+03         764.520142E-06            10.9509315E+03 
                   7.51254988E+03         781.139954E-06            11.1797886E+03 
                   7.51920033E+03         797.759766E-06            11.4030704E+03 
                   7.5258503E+03          814.380066E-06            11.6022091E+03 
                   7.53249979E+03         831.E-06                  11.7669992E+03 
                   7.53914976E+03         847.620239E-06            11.9169607E+03 
                   7.54579973E+03         864.239868E-06            12.0548267E+03 
                   7.55245018E+03         880.859863E-06            12.1838617E+03 
                   7.55910015E+03         897.480103E-06            12.3055048E+03 
                   7.56575012E+03         914.100098E-06            12.4202919E+03 
                   7.57240009E+03         930.719666E-06            12.5282021E+03 
                   7.57904959E+03         947.339905E-06            12.6293955E+03 
                   7.58570004E+03         963.9599E-06              12.7234392E+03 
                   7.59235001E+03         980.580078E-06            12.808917E+03  
                   7.59899998E+03         997.200256E-06            12.8848515E+03 
                   7.60564995E+03           1.01381958E-03          12.9505386E+03 
                   7.61229992E+03           1.03043962E-03          12.9934864E+03 
                   7.61895037E+03           1.04706001E-03          13.0037384E+03 
                   7.62559986E+03           1.06368017E-03          13.0133095E+03 
                   7.63224983E+03           1.08030021E-03          13.0234041E+03 
                   7.6388998E+03            1.09691966E-03          13.0331469E+03 
                   7.64554977E+03           1.1135397E-03           13.0429964E+03 
                   7.65220022E+03           1.13015997E-03          13.052496E+03  
                   7.65885019E+03           1.14678025E-03          13.061923E+03  
                   7.66550016E+03           1.16340041E-03          13.0709352E+03 
                   7.67215014E+03           1.18001974E-03          13.0796604E+03 
                   7.67879963E+03           1.1966399E-03           13.0877047E+03 
                   7.68545008E+03           1.21325994E-03          13.0950127E+03 
                   7.69210005E+03           1.22988009E-03          13.1010504E+03 
                   7.69875002E+03           1.24650037E-03          13.1054735E+03 
                   7.70539999E+03           1.2631197E-03           13.1069584E+03 
                   7.71204996E+03           1.27973998E-03          13.0927677E+03 
                   7.71870041E+03           1.29636002E-03          12.997468E+03  
                   7.7253499E+03            1.31298006E-03          12.8439035E+03 
                   7.73199987E+03           1.32960045E-03          12.754281E+03  
                   7.73864985E+03           1.34621978E-03          12.5410271E+03 
                   7.74529982E+03           1.36284006E-03          12.2410679E+03 
                   7.75195026E+03           1.37945998E-03          11.7597094E+03 
                   7.75860023E+03           1.39608002E-03          11.1183319E+03 
                   7.76525021E+03           1.41270053E-03          10.1644917E+03 
                   7.76691246E+03           1.41685462E-03           7.004282E+03  




