
                     X                   displacement                force         

                   7.19999981E+03           0.                      -0.            
                   7.20404959E+03          10.1299992E-06          135.458435      
                   7.20810032E+03          20.2599983E-06          270.91687       
                   7.2121501E+03           30.3899899E-06          406.375031      
                   7.21620035E+03          40.5199966E-06          541.83252       
                   7.22025013E+03          50.6499863E-06          677.289001      
                   7.22429991E+03          60.7799797E-06          812.743713      
                   7.22835016E+03          70.9099731E-06          948.196533      
                   7.23239994E+03          81.0399933E-06            1.08364677E+03
                   7.2364502E+03           91.1699753E-06            1.21909428E+03
                   7.24049997E+03         101.299973E-06             1.35453832E+03
                   7.24454975E+03         111.42997E-06              1.48997843E+03
                   7.24860001E+03         121.559959E-06             1.62541425E+03
                   7.25264978E+03         131.689957E-06             1.76084626E+03
                   7.25670004E+03         141.819946E-06             1.8962729E+03 
                   7.26074982E+03         151.949936E-06             2.03169394E+03
                   7.26479959E+03         162.079987E-06             2.16710877E+03
                   7.26885033E+03         172.209976E-06             2.30251789E+03
                   7.2729001E+03          182.339951E-06             2.43791962E+03
                   7.27695036E+03         192.469971E-06             2.57331443E+03
                   7.28100014E+03         202.599945E-06             2.70870185E+03
                   7.28504992E+03         212.729935E-06             2.84408045E+03
                   7.28910017E+03         222.85994E-06              2.97945118E+03
                   7.29314995E+03         232.989929E-06             3.11481237E+03
                   7.2972002E+03          243.119919E-06             3.25016379E+03
                   7.30124998E+03         253.249908E-06             3.38550663E+03
                   7.30529976E+03         263.379913E-06             3.52083826E+03
                   7.30935001E+03         273.509918E-06             3.65615988E+03
                   7.31339979E+03         283.639893E-06             3.79146934E+03
                   7.31745005E+03         293.769897E-06             3.92676759E+03
                   7.32149982E+03         303.899872E-06             4.06205416E+03
                   7.3255496E+03          314.029999E-06             4.19732761E+03
                   7.32960033E+03         324.159973E-06             4.33258772E+03
                   7.33365011E+03         334.289978E-06             4.46783638E+03
                   7.33770037E+03         344.419952E-06             4.60306883E+03
                   7.34175014E+03         354.549988E-06             4.73828793E+03
                   7.34579992E+03         364.679901E-06             4.87349176E+03
                   7.34985018E+03         374.809937E-06             5.00868177E+03
                   7.35389996E+03         384.939941E-06             5.14385509E+03
                   7.35795021E+03         395.069885E-06             5.27901173E+03
                   7.36199999E+03         405.19989E-06              5.4141531E+03 
                   7.36604977E+03         415.329865E-06             5.54927588E+03
                   7.37010002E+03         425.459869E-06             5.68438148E+03
                   7.3741498E+03          435.589874E-06             5.81947136E+03
                   7.37820005E+03         445.719879E-06             5.95454025E+03
                   7.38224983E+03         455.849854E-06             6.08959055E+03
                   7.38629961E+03         465.979858E-06             6.2246232E+03 
                   7.39034986E+03         476.109863E-06             6.35963488E+03
                   7.39440012E+03         486.239838E-06             6.49462557E+03
                   7.39845037E+03         496.369843E-06             6.62959576E+03
                   7.40250015E+03         506.499817E-06             6.76454496E+03
                   7.40654993E+03         516.629822E-06             6.89940834E+03
                   7.41060019E+03         526.759827E-06             7.03410721E+03
                   7.41464996E+03         536.889832E-06             7.16857576E+03
                   7.41870022E+03         547.019836E-06             7.3027668E+03 
                   7.42275E+03            557.149841E-06             7.43662214E+03
                   7.42679977E+03         567.279785E-06             7.57009268E+03
                   7.43085003E+03         577.40979E-06              7.70311356E+03
                   7.43489981E+03         587.539795E-06             7.8356185E+03 
                   7.43895006E+03         597.669861E-06             7.96752071E+03
                   7.44299984E+03         607.799744E-06             8.09872627E+03
                   7.44704962E+03         617.929993E-06             8.22910023E+03
                   7.45109987E+03         628.059998E-06             8.35846806E+03
                   7.45515013E+03         638.189941E-06             8.4865675E+03 
                   7.45920038E+03         648.319946E-06             8.6129694E+03 
                   7.46325016E+03         658.450012E-06             8.73676872E+03
                   7.46729994E+03         668.579956E-06             8.84955692E+03
                   7.47135019E+03         678.709961E-06             8.93181705E+03
                   7.47539997E+03         688.839905E-06             9.00676632E+03
                   7.47945023E+03         698.970032E-06             9.07646656E+03
                   7.4835E+03             709.099976E-06             9.1430788E+03 
                   7.48754978E+03         719.22998E-06              9.20718384E+03
                   7.49160004E+03         729.359802E-06             9.26920223E+03
                   7.49564981E+03         739.48999E-06              9.3293438E+03 
                   7.49970007E+03         749.619873E-06             9.38757896E+03
                   7.50374985E+03         759.750061E-06             9.44348621E+03
                   7.50779963E+03         769.879883E-06             9.49663162E+03
                   7.51184988E+03         780.010071E-06             9.5456028E+03 
                   7.51590014E+03         790.139771E-06             9.59027863E+03
                   7.51995039E+03         800.270081E-06             9.63219929E+03
                   7.52400017E+03         810.39978E-06              9.67197323E+03
                   7.52804995E+03         820.530029E-06             9.7100296E+03 
                   7.5321002E+03          830.659729E-06             9.74666214E+03
                   7.53614998E+03         840.7901E-06               9.78205585E+03
                   7.54020023E+03         850.919739E-06             9.81635952E+03
                   7.54425001E+03         861.050049E-06             9.84912205E+03
                   7.54829979E+03         871.179749E-06             9.87897968E+03
                   7.55235004E+03         881.31012E-06              9.90586185E+03
                   7.55639982E+03         891.439758E-06             9.92953396E+03
                   7.56045008E+03         901.570068E-06             9.94977856E+03
                   7.56449986E+03         911.699707E-06             9.96760178E+03
                   7.56854963E+03         921.830139E-06             9.98304653E+03
                   7.57259989E+03         931.959717E-06             9.99521065E+03
                   7.57664967E+03         942.090088E-06            10.0043564E+03 
                   7.5807004E+03          952.219727E-06            10.0103865E+03 
                   7.58475018E+03         962.350159E-06            10.010972E+03  
                   7.58879995E+03         972.479675E-06            10.007122E+03  
                   7.59285021E+03         982.610413E-06            10.0035982E+03 
                   7.59689999E+03         992.739685E-06             9.99528122E+03
                   7.60095024E+03           1.00287044E-03           9.98351765E+03
                   7.60500002E+03           1.01299965E-03           9.96683979E+03
                   7.6090498E+03            1.02313042E-03           9.94654083E+03
                   7.61310005E+03           1.03325963E-03           9.91546726E+03
                   7.61714983E+03           1.04339039E-03           9.86763668E+03
                   7.62120008E+03           1.05351961E-03           9.82468033E+03
                   7.62524986E+03           1.06365037E-03           9.65662479E+03
                   7.62929964E+03           1.0737797E-03            8.32774258E+03
                   7.6333499E+03            1.08391035E-03           8.09601212E+03
                   7.63739967E+03           1.09403968E-03           8.10163784E+03
                   7.64145041E+03           1.10417032E-03           8.1606245E+03 
