
                     X                   displacement                force         

                   7.19999981E+03           0.                      -0.            
                   7.20605993E+03          15.1499996E-06          214.912811      
                   7.21212006E+03          30.2999992E-06          429.825623      
                   7.21818018E+03          45.4500122E-06          644.736877      
                   7.2242403E+03           60.5999985E-06          859.6427        
                   7.23029995E+03          75.7500305E-06            1.07454002E+03
                   7.23636007E+03          90.9000244E-06            1.28942585E+03
                   7.24241972E+03         106.049995E-06             1.50429654E+03
                   7.24847984E+03         121.199997E-06             1.71914899E+03
                   7.25453997E+03         136.350037E-06             1.93398046E+03
                   7.26060009E+03         151.500061E-06             2.1487875E+03 
                   7.26666021E+03         166.649979E-06             2.36356688E+03
                   7.27272034E+03         181.800049E-06             2.5783155E+03 
                   7.27877998E+03         196.950027E-06             2.79302955E+03
                   7.28483963E+03         212.099991E-06             3.00770664E+03
                   7.29089975E+03         227.250046E-06             3.22234368E+03
                   7.29695988E+03         242.399994E-06             3.43693686E+03
                   7.30302E+03            257.549927E-06             3.65148258E+03
                   7.30908012E+03         272.700073E-06             3.86597943E+03
                   7.31514025E+03         287.849976E-06             4.08042288E+03
                   7.32120037E+03         303.000122E-06             4.29480839E+03
                   7.32725954E+03         318.150024E-06             4.50911856E+03
                   7.33331966E+03         333.299957E-06             4.72328758E+03
                   7.33937979E+03         348.450012E-06             4.93729305E+03
                   7.34543991E+03         363.600098E-06             5.15109777E+03
                   7.35150003E+03         378.75E-06                 5.36468697E+03
                   7.35756016E+03         393.900055E-06             5.57803869E+03
                   7.36362028E+03         409.049927E-06             5.79112816E+03
                   7.3696804E+03          424.199982E-06             6.00394011E+03
                   7.37574005E+03         439.349854E-06             6.21645164E+03
                   7.3817997E+03          454.500092E-06             6.42864275E+03
                   7.38785982E+03         469.650085E-06             6.64048815E+03
                   7.39391994E+03         484.799988E-06             6.85196733E+03
                   7.39998007E+03         499.949829E-06             7.06304932E+03
                   7.40604019E+03         515.099854E-06             7.27370358E+03
                   7.41210032E+03         530.250122E-06             7.48389626E+03
                   7.41815996E+03         545.400146E-06             7.6935873E+03 
                   7.42422009E+03         560.550049E-06             7.90273046E+03
                   7.43027973E+03         575.699951E-06             8.11127281E+03
                   7.43633986E+03         590.849854E-06             8.31914616E+03
                   7.44239998E+03         606.000244E-06             8.52627277E+03
                   7.4484601E+03          621.150146E-06             8.7325449E+03 
                   7.45452023E+03         636.300049E-06             8.93783092E+03
                   7.46057987E+03         651.450073E-06             9.1419363E+03 
                   7.46664E+03            666.599915E-06             9.34456635E+03
                   7.47270012E+03         681.750305E-06             9.54380226E+03
                   7.47875977E+03         696.900024E-06             9.71024895E+03
                   7.48481989E+03         712.05011E-06              9.85455418E+03
                   7.49088001E+03         727.200195E-06             9.98278427E+03
                   7.49694014E+03         742.349792E-06            10.0989227E+03 
                   7.50299978E+03         757.5E-06                 10.2043619E+03 
                   7.50905991E+03         772.650024E-06            10.3005543E+03 
                   7.51512003E+03         787.80011E-06             10.3905411E+03 
                   7.52118015E+03         802.949768E-06            10.4750586E+03 
                   7.52724028E+03         818.099854E-06            10.5544357E+03 
                   7.53329992E+03         833.250122E-06            10.6288824E+03 
                   7.53936005E+03         848.399963E-06            10.697897E+03  
                   7.54541969E+03         863.550171E-06            10.7609892E+03 
                   7.55147982E+03         878.699707E-06            10.816103E+03  
                   7.55753994E+03         893.849915E-06            10.8633404E+03 
                   7.56360006E+03         909.000183E-06            10.9036674E+03 
                   7.56966019E+03         924.149658E-06            10.9382076E+03 
                   7.57572031E+03         939.300171E-06            10.9668608E+03 
                   7.58177996E+03         954.449768E-06            10.9891138E+03 
                   7.58784008E+03         969.599976E-06            11.0048857E+03 
                   7.59389973E+03         984.750183E-06            11.0104427E+03 
                   7.59995985E+03         999.899658E-06            11.0065613E+03 
                   7.60601997E+03           1.01505017E-03          10.9909039E+03 
                   7.6120801E+03            1.03019965E-03          10.9623928E+03 
                   7.61814022E+03           1.04534996E-03          10.9143953E+03 
                   7.62420034E+03           1.06050026E-03          10.8360748E+03 
                   7.63025999E+03           1.07564974E-03          10.7542992E+03 
                   7.63631964E+03           1.09080029E-03          10.6751823E+03 
                   7.64237976E+03           1.10594976E-03          10.5533085E+03 
                   7.64843988E+03           1.12110007E-03          10.3011494E+03 
                   7.65450001E+03           1.1362505E-03           10.0995579E+03 
                   7.66056013E+03           1.15139985E-03           9.99477386E+03
                   7.66662025E+03           1.16655016E-03           9.90556431E+03
                   7.67268038E+03           1.18169975E-03           9.84208012E+03
                   7.67874002E+03           1.19684994E-03           9.79341793E+03
                   7.68479967E+03           1.21200049E-03           9.75192928E+03
                   7.69085979E+03           1.22714996E-03           9.71063614E+03
                   7.69691992E+03           1.24230027E-03           9.67261124E+03
                   7.70298004E+03           1.25744987E-03           9.63951397E+03
                   7.70904016E+03           1.27260005E-03           9.60399818E+03
                   7.71510029E+03           1.2877506E-03            9.55803108E+03
                   7.72115993E+03           1.3029002E-03            9.5006609E+03 
                   7.72721958E+03           1.31804991E-03           9.43490601E+03
                   7.73328018E+03           1.33319986E-03           9.36446953E+03
                   7.73933983E+03           1.34835005E-03           9.29158497E+03
                   7.74539995E+03           1.3635006E-03            9.21829128E+03
                   7.75146008E+03           1.37865019E-03           9.14334393E+03
                   7.7575202E+03            1.39380002E-03           9.0686655E+03 
                   7.76357985E+03           1.40894961E-03           8.99341869E+03
                   7.76963997E+03           1.42410016E-03           8.9177103E+03 
                   7.77570009E+03           1.43924999E-03           8.84165668E+03
                   7.78175974E+03           1.45440042E-03           8.7653532E+03 
                   7.78781986E+03           1.46955001E-03           8.6890583E+03 
                   7.79387999E+03           1.48469961E-03           8.61335087E+03
                   7.79994011E+03           1.49985015E-03           8.53857803E+03
                   7.80600023E+03           1.51499999E-03           8.46482658E+03




