
                     X                   displacement                force         

                   7.19999981E+03           0.                      -0.            
                   7.21061993E+03          26.5599957E-06          169.805466      
                   7.22124004E+03          53.1199913E-06          339.610931      
                   7.23185968E+03          79.6800003E-06          509.304565      
                   7.2424798E+03          106.239983E-06           675.222351      
                   7.25309992E+03         132.800049E-06           831.805298      
                   7.26372004E+03         159.360001E-06           976.232056      
                   7.27433968E+03         185.919952E-06             1.10787702E+03
                   7.28495979E+03         212.479965E-06             1.22697866E+03
                   7.29557991E+03         239.039917E-06             1.33412254E+03
                   7.30620003E+03         265.600098E-06             1.42732275E+03
                   7.31681967E+03         292.160034E-06             1.50413656E+03
                   7.32743979E+03         318.720001E-06             1.56578863E+03
                   7.3380599E+03          345.280029E-06             1.61611509E+03
                   7.34868002E+03         371.839905E-06             1.65629482E+03
                   7.35929966E+03         398.400146E-06             1.68832672E+03
                   7.36991978E+03         424.95993E-06              1.71343362E+03
                   7.38053989E+03         451.52005E-06              1.731552E+03  
                   7.39116001E+03         478.079834E-06             1.74293995E+03
                   7.40177965E+03         504.639984E-06             1.74679875E+03
                   7.41239977E+03         531.200195E-06             1.74077809E+03
                   7.42301989E+03         557.759827E-06             1.7125777E+03 
                   7.43364E+03            584.320068E-06             1.62532914E+03
                   7.44425964E+03         610.879822E-06           277.248413      
                   7.45487976E+03         637.440002E-06           244.579407      
                   7.46549988E+03         664.000122E-06           217.235031      
                   7.47612E+03            690.560059E-06           181.543137      
                   7.48674011E+03         717.120178E-06           161.353714      
                   7.49735975E+03         743.67981E-06            155.006424      
                   7.50797987E+03         770.239807E-06           133.880066      
                   7.51859999E+03         796.800293E-06           118.511292      
                   7.5292201E+03          823.359985E-06           104.516312      
                   7.53983974E+03         849.919861E-06            93.4776535     
                   7.55045986E+03         876.480164E-06            84.3746414     
                   7.56107998E+03         903.0401E-06              76.8987656     
                   7.5717001E+03          929.599731E-06            70.6524506     
                   7.58231974E+03         956.159668E-06            65.3821564     
                   7.59293985E+03         982.720337E-06            60.8870888     
                   7.60355997E+03           1.00927997E-03          57.0202904     
                   7.61418009E+03           1.0358398E-03           53.666832      
                   7.62479973E+03           1.06240034E-03          50.7384148     
                   7.63541985E+03           1.08895993E-03          48.1658096     
                   7.64603996E+03           1.11551964E-03          45.8927231     
                   7.65666008E+03           1.14208031E-03          43.8743744     
                   7.66727972E+03           1.16864014E-03          42.0737457     
                   7.67789984E+03           1.19519985E-03          40.4604492     
                   7.68851995E+03           1.22175968E-03          39.0086632     
                   7.69914007E+03           1.2483201E-03           37.6964378     
                   7.70679617E+03           1.26746833E-03          32.1078453     




