
                     X                   displacement                force         

                   7.19999981E+03           0.                      -0.            
                   7.20952988E+03          23.819994E-06           155.077103      
                   7.21905994E+03          47.6399879E-06          310.154205      
                   7.22859001E+03          71.460022E-06           465.213715      
                   7.23812008E+03          95.2799759E-06          618.727234      
                   7.24764967E+03         119.100029E-06           766.212585      
                   7.25718021E+03         142.920044E-06           904.558594      
                   7.2667098E+03          166.73999E-06              1.03264976E+03
                   7.27624035E+03         190.559952E-06             1.15029895E+03
                   7.28576994E+03         214.380051E-06             1.25786161E+03
                   7.29530001E+03         238.200058E-06             1.35580719E+03
                   7.30483007E+03         262.020081E-06             1.44268227E+03
                   7.31435966E+03         285.840088E-06             1.51638484E+03
                   7.32389021E+03         309.660065E-06             1.57738781E+03
                   7.3334198E+03          333.47998E-06              1.62848997E+03
                   7.34295034E+03         357.300018E-06             1.67165935E+03
                   7.35247993E+03         381.119904E-06             1.70765066E+03
                   7.36201E+03            404.939972E-06             1.73852074E+03
                   7.37154007E+03         428.760101E-06             1.76442242E+03
                   7.38106966E+03         452.579956E-06             1.786165E+03  
                   7.3906002E+03          476.400116E-06             1.80395973E+03
                   7.4001298E+03          500.21994E-06              1.81839228E+03
                   7.40966034E+03         524.040161E-06             1.82966578E+03
                   7.41918993E+03         547.859863E-06             1.83823466E+03
                   7.42872E+03            571.680176E-06             1.84432709E+03
                   7.43825006E+03         595.499878E-06             1.848194E+03  
                   7.44777966E+03         619.320129E-06             1.84998012E+03
                   7.4573102E+03          643.139954E-06             1.84980643E+03
                   7.46683979E+03         666.959961E-06             1.84750545E+03
                   7.47637033E+03         690.779907E-06             1.79359424E+03
                   7.48589993E+03         714.600037E-06             1.69456327E+03
                   7.49542999E+03         738.419861E-06             1.71127021E+03
                   7.50496006E+03         762.239807E-06             1.72721362E+03
                   7.51449013E+03         786.060303E-06             1.7424953E+03 
                   7.5240202E+03          809.879944E-06             1.75011492E+03
                   7.53354979E+03         833.699951E-06             1.75504708E+03
                   7.54307985E+03         857.520203E-06             1.75596178E+03
                   7.55260992E+03         881.340271E-06             1.75471759E+03
                   7.56213999E+03         905.159912E-06             1.75013661E+03
                   7.57167006E+03         928.979797E-06             1.73418081E+03
                   7.58120012E+03         952.800232E-06             1.72600675E+03
                   7.59073019E+03         976.620117E-06             1.72356081E+03
                   7.60025978E+03           1.00043988E-03           1.71598959E+03
                   7.60978985E+03           1.02425969E-03           1.71509254E+03
                   7.61931992E+03           1.04808033E-03           1.70635545E+03
                   7.62884998E+03           1.07190001E-03           1.70457017E+03
                   7.63838005E+03           1.0957197E-03            1.69515789E+03
                   7.64791012E+03           1.11953962E-03           1.69173849E+03
                   7.65743971E+03           1.14336038E-03           1.68181622E+03
                   7.66697025E+03           1.16718018E-03           1.67577088E+03
                   7.67649984E+03           1.19099975E-03           1.66548467E+03
                   7.68602991E+03           1.2148205E-03            1.65579093E+03
                   7.69555998E+03           1.23864031E-03           1.64530921E+03
                   7.70509005E+03           1.26245999E-03           1.6348511E+03 
                   7.71462011E+03           1.28627992E-03           1.62427473E+03
                   7.7241497E+03            1.3101002E-03            1.6136899E+03 
                   7.73368025E+03           1.33391988E-03           1.60309315E+03
                   7.74320984E+03           1.35774016E-03           1.59250927E+03
                   7.75274038E+03           1.38155985E-03           1.58194458E+03
                   7.76226997E+03           1.40538037E-03           1.57141948E+03
                   7.77180004E+03           1.42920005E-03           1.56092882E+03
                   7.78133011E+03           1.45301974E-03           1.55048966E+03
                   7.7908597E+03            1.47683966E-03           1.54010117E+03
                   7.80039024E+03           1.50065982E-03           1.52977288E+03
                   7.80991983E+03           1.52447963E-03           1.51950896E+03
                   7.81945038E+03           1.54830015E-03           1.50931215E+03
                   7.82897997E+03           1.57212055E-03           1.49918795E+03
                   7.83850956E+03           1.59594035E-03           1.48914027E+03
                   7.8480401E+03            1.61975992E-03           1.47916961E+03
                   7.85756969E+03           1.64357972E-03           1.4692843E+03 
                   7.86710024E+03           1.66739988E-03           1.45947051E+03
                   7.87662983E+03           1.69121969E-03           1.44974256E+03
                   7.88616037E+03           1.71504045E-03           1.4400996E+03 
                   7.89568996E+03           1.73886025E-03           1.43054116E+03
                   7.90521955E+03           1.76268053E-03           1.4210701E+03 
                   7.9147501E+03            1.7865001E-03            1.41168761E+03
                   7.92428017E+03           1.81031978E-03           1.40239108E+03
                   7.93381023E+03           1.83413947E-03           1.39318049E+03
                   7.94333982E+03           1.85795963E-03           1.38405883E+03
                   7.95286989E+03           1.88177943E-03           1.37502515E+03
                   7.96239996E+03           1.90560043E-03           1.36607909E+03
                   7.97193003E+03           1.92942071E-03           1.3572197E+03 
                   7.98146009E+03           1.95324028E-03           1.34844851E+03
                   7.99099016E+03           1.97705996E-03           1.33976364E+03
                   8.00051975E+03           2.00087976E-03           1.33116615E+03
                   8.01004982E+03           2.02469921E-03           1.32265317E+03
                   8.01957989E+03           2.04851937E-03           1.31422746E+03
                   8.02910995E+03           2.07234073E-03           1.30588329E+03
                   8.03864002E+03           2.09616065E-03           1.29762733E+03
                   8.04817009E+03           2.11998057E-03           1.28945363E+03
                   8.05770016E+03           2.14380002E-03           1.28136528E+03
                   8.06723022E+03           2.16761994E-03           1.27335775E+03
                   8.07675934E+03           2.19143939E-03           1.26543403E+03
                   8.08629036E+03           2.21525979E-03           1.25759161E+03
                   8.09581947E+03           2.23907924E-03           1.24982989E+03
                   8.10535049E+03           2.26290083E-03           1.24214518E+03
                   8.11487961E+03           2.28672075E-03           1.23454201E+03
                   8.12441063E+03           2.3105402E-03            1.22701633E+03
                   8.13393974E+03           2.33436036E-03           1.21956789E+03
                   8.14346981E+03           2.35817981E-03           1.21219873E+03
                   8.15299988E+03           2.38199949E-03           1.20489371E+03




