
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   1.79999995E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.1744547                8.60306549               1.57139039    
                   1.80604005E+03           0.                      15.9604187E+06           46.5492134E+06           23.3482437E+06           46.9927521E+06          342.892914E-03           989.73291E-03             10.1750278                8.60355759               1.57147205    
                   1.81207991E+03           0.                      31.9163895E+06           93.0859985E+06           46.6903381E+06           93.9727631E+06          342.890839E-03           989.727173E-03            10.1757975                8.60421562               1.57158172    
                   1.81812E+03              0.                      47.8679314E+06          139.610397E+06            70.0262909E+06          140.940063E+06           342.888733E-03           989.721069E-03            10.1766357                8.60493565               1.57170117    
                   1.82415998E+03           0.                      63.8150139E+06          186.122391E+06            93.3561096E+06          187.894623E+06           342.886627E-03           989.715088E-03            10.1775026                8.60568047               1.57182479    
                   1.83019996E+03           0.                      79.757637E+06           232.621979E+06           116.679779E+06           234.836533E+06           342.884583E-03           989.709045E-03            10.1783848                8.60643482               1.5719502     
                   1.83623993E+03           0.                      95.6958618E+06          279.109222E+06           139.997345E+06           281.765747E+06           342.882477E-03           989.703125E-03            10.1792707                8.60719395               1.57207644    
                   1.84228003E+03           0.                     111.629631E+06           325.584045E+06           163.308762E+06           328.682251E+06           342.880402E-03           989.697327E-03            10.1801586                8.60795403               1.57220292    
                   1.84831989E+03           0.                     127.558922E+06           372.0466E+06             186.614075E+06           375.586182E+06           342.878326E-03           989.691223E-03            10.1810455                8.60871506               1.5723294     
                   1.85435998E+03           0.                     143.483917E+06           418.496796E+06           209.913284E+06           422.477356E+06           342.876251E-03           989.685303E-03            10.1819296                8.60947514               1.57245564    
                   1.86040008E+03           0.                     159.404388E+06           464.934601E+06           233.206406E+06           469.355896E+06           342.874084E-03           989.679382E-03            10.1828127                8.6102314                1.57258117    
                   1.86643994E+03           0.                     175.320496E+06           511.360107E+06           256.493378E+06           516.221863E+06           342.872009E-03           989.673401E-03            10.183692                 8.61098576               1.57270634    
                   1.87248003E+03           0.                     191.232086E+06           557.773376E+06           279.774323E+06           563.075195E+06           342.869934E-03           989.667542E-03            10.1845684                8.6117382                1.57283151    
                   1.87852001E+03           0.                     207.13942E+06            604.174194E+06           303.049103E+06           609.915894E+06           342.867828E-03           989.661682E-03            10.1854391                8.61248589               1.57295549    
                   1.88456011E+03           0.                     223.042221E+06           650.562805E+06           326.317841E+06           656.74408E+06            342.865723E-03           989.655762E-03            10.1863079                8.61322975               1.57307935    
                   1.89059997E+03           0.                     238.94075E+06            696.939148E+06           349.580536E+06           703.55957E+06            342.863708E-03           989.649902E-03            10.1871719                8.61397076               1.57320249    
                   1.89664006E+03           0.                     254.834778E+06           743.303345E+06           372.837036E+06           750.362488E+06           342.861725E-03           989.643982E-03            10.1880331                8.6147089                1.57332516    
                   1.90268004E+03           0.                     270.724365E+06           789.65509E+06            396.087555E+06           797.152954E+06           342.859528E-03           989.638245E-03            10.1888885                8.61544228               1.57344699    
                   1.90872002E+03           0.                     286.609711E+06           835.994812E+06           419.332031E+06           843.930664E+06           342.857513E-03           989.632324E-03            10.1897411                8.61617184               1.57356822    
                   1.91475999E+03          51.4970856E-06          300.75531E+06            873.193359E+06           438.637054E+06           882.864624E+06           344.432007E-03           984.603088E-03            10.1908045                8.61689281               1.57391095    
                   1.92080009E+03         273.422272E-06           308.391632E+06           881.225952E+06           445.095276E+06           895.781189E+06           349.957672E-03           965.897705E-03            10.1935263                8.61840439               1.57512212    
                   1.92683995E+03         537.962219E-06           315.055084E+06           887.171326E+06           450.31311E+06            906.288513E+06           355.123413E-03           948.687195E-03            10.1940346                8.61785889               1.57617569    
                   1.93288004E+03         839.579895E-06           320.6362E+06             892.763489E+06           454.885132E+06           915.467651E+06           359.15036E-03            935.117554E-03            10.1944141                8.61706638               1.57734787    
                   1.93892002E+03           1.17697084E-03         324.734802E+06           898.055054E+06           458.636963E+06           922.997742E+06           361.598022E-03           926.822571E-03            10.1953773                8.61664104               1.57873595    
                   1.94496E+03              1.54720998E-03         327.338196E+06           903.458496E+06           461.713806E+06           929.170044E+06           362.316986E-03           924.348206E-03            10.19662                  8.61633301               1.58028543    
                   1.95099998E+03           1.94625115E-03         328.571899E+06           909.282288E+06           464.283875E+06           934.322144E+06           361.353088E-03           927.554626E-03            10.1979542                8.61599731               1.5819546     
                   1.95704007E+03           2.37777591E-03         328.509125E+06           914.7724E+06             466.124969E+06           938.002197E+06           359.115723E-03           935.038635E-03            10.1993818                8.61562443               1.58375788    
                   1.96307993E+03           2.83706164E-03         327.476288E+06           920.493347E+06           467.576385E+06           940.892517E+06           355.76181E-03            946.260742E-03            10.2008448                8.61517429               1.58566833    
                   1.96912003E+03           3.32525349E-03         325.678711E+06           926.144775E+06           468.63443E+06            942.968811E+06           351.649811E-03           959.970093E-03            10.2023525                8.61466026               1.58769274    
                   1.97516E+03              3.84087086E-03         323.37558E+06            931.88623E+06            469.491608E+06           944.576904E+06           347.011871E-03           975.375305E-03            10.2039442                8.61411381               1.58983004    
                   1.98119998E+03           4.38426352E-03         320.763763E+06           937.552734E+06           470.359528E+06           945.78717E+06            342.128693E-03           991.509766E-03            10.2056065                8.61352634               1.59208       
                   1.98723996E+03           4.95395756E-03         318.060577E+06           943.326111E+06           473.225739E+06           946.933533E+06           337.16922E-03            992.168579E-03            10.2073927                8.61294842               1.59444499    
