
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   1.79999995E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.0123615                8.46406841               1.54829502    
                   1.80675006E+03           0.                       8.19457722E+06          19.9706936E+06           10.6896114E+06           21.3791885E+06          410.330139E-03           733.730469E-03            10.0138807                8.46537113               1.54851139    
                   1.81350005E+03           0.                      16.3885422E+06           39.9416809E+06           21.379076E+06            42.758091E+06           410.311676E-03           733.797974E-03            10.0153866                8.46666145               1.54872561    
                   1.82025003E+03           0.                      24.5818863E+06           59.9129715E+06           32.0683937E+06           64.1366882E+06          410.293121E-03           733.865112E-03            10.0168791                8.46794319               1.54893863    
                   1.82700002E+03           0.                      32.7745972E+06           79.8845596E+06           42.7575569E+06           85.515007E+06           410.274658E-03           733.932495E-03            10.018362                 8.46921158               1.54914963    
                   1.83375001E+03           0.                      40.9667053E+06           99.8564224E+06           53.4465904E+06          106.893021E+06           410.256104E-03           733.999817E-03            10.0198336                8.4704752                1.54935932    
                   1.8405E+03               0.                      49.1581841E+06          119.828583E+06            64.1354675E+06          128.270752E+06           410.23761E-03            734.067078E-03            10.0212927                8.47172642               1.54956722    
                   1.84724998E+03           0.                      57.3490868E+06          139.801071E+06            74.8241959E+06          149.648193E+06           410.219177E-03           734.134216E-03            10.0227404                8.47297001               1.54977393    
                   1.85399997E+03           0.                      65.5393219E+06          159.773834E+06            85.5127792E+06          171.025299E+06           410.200623E-03           734.201538E-03            10.0241795                8.47420025               1.54997861    
                   1.86074996E+03           0.                      73.7289658E+06          179.746887E+06            96.2012177E+06          192.402191E+06           410.182159E-03           734.268677E-03            10.0256052                8.47542191               1.5501821     
                   1.86749995E+03           0.                      81.9179611E+06          199.720215E+06           106.889526E+06           213.778732E+06           410.163635E-03           734.335876E-03            10.0270233                8.47663975               1.55038357    
                   1.87425005E+03           0.                      90.1063766E+06          219.693893E+06           117.577652E+06           235.155014E+06           410.145203E-03           734.402832E-03            10.0284271                8.47784519               1.55058396    
                   1.88100004E+03           0.                      98.2942047E+06          239.667801E+06           128.265656E+06           256.530945E+06           410.12674E-03            734.470154E-03            10.0298252                8.47904301               1.55078304    
                   1.88775003E+03           0.                     106.481384E+06           259.642029E+06           138.953552E+06           277.906647E+06           410.108246E-03           734.53717E-03             10.031209                 8.48022842               1.55098021    
                   1.89450002E+03           0.                     114.667953E+06           279.616516E+06           149.641235E+06           299.282104E+06           410.089783E-03           734.604126E-03            10.0325842                8.48140907               1.55117643    
                   1.90125E+03              0.                     122.853882E+06           299.5914E+06             160.328796E+06           320.657166E+06           410.071411E-03           734.671326E-03            10.0339508                8.48258305               1.55137098    
                   1.90799999E+03           0.                     131.039215E+06           319.566559E+06           171.016205E+06           342.031952E+06           410.052887E-03           734.738403E-03            10.0353088                8.48374367               1.55156422    
                   1.91474998E+03           0.                     139.223877E+06           339.541901E+06           181.703491E+06           363.406403E+06           410.034485E-03           734.805298E-03            10.0366535                8.48489761               1.55175626    
                   1.92149997E+03           0.                     147.407959E+06           359.51767E+06            192.390594E+06           384.78064E+06            410.016083E-03           734.872192E-03            10.0379925                8.48604679               1.55194688    
                   1.92824996E+03           0.                     155.591507E+06           379.493652E+06           203.077576E+06           406.154663E+06           409.99762E-03            734.939331E-03            10.03932                  8.48718452               1.55213594    
                   1.93499994E+03           0.                     163.774429E+06           399.46991E+06            213.764435E+06           427.528259E+06           409.979218E-03           735.006226E-03            10.040637                 8.48831463               1.55232406    
                   1.94175005E+03           0.                     171.95668E+06            419.446503E+06           224.451111E+06           448.901642E+06           409.960815E-03           735.07312E-03             10.0419474                8.4894371                1.55251038    
                   1.94850004E+03           0.                     180.138306E+06           439.423492E+06           235.13765E+06            470.27478E+06            409.942383E-03           735.139954E-03            10.0432482                8.49055195               1.55269599    
                   1.95525002E+03           0.                     188.319275E+06           459.400574E+06           245.824051E+06           491.647491E+06           409.923981E-03           735.206787E-03            10.0445404                8.49166203               1.55287981    
                   1.96200001E+03           0.                     196.499817E+06           479.378082E+06           256.510284E+06           513.019897E+06           409.90564E-03            735.273743E-03            10.0458231                8.49276161               1.5530628     
                   1.96875E+03              0.                     204.679626E+06           499.355835E+06           267.196411E+06           534.392212E+06           409.887207E-03           735.340454E-03            10.0470982                8.49385357               1.55324411    
                   1.97549999E+03           0.                     212.858826E+06           519.333923E+06           277.882446E+06           555.764038E+06           409.868774E-03           735.407349E-03            10.0483627                8.4949379                1.5534246     
                   1.98224998E+03           0.                     221.037415E+06           539.312195E+06           288.568237E+06           577.135681E+06           409.850464E-03           735.474182E-03            10.0496216                8.49601841               1.55360389    
                   1.98899996E+03           0.                     229.215271E+06           559.291016E+06           299.253845E+06           598.507019E+06           409.832062E-03           735.540955E-03            10.050868                 8.49708748               1.55378175    
                   1.99574995E+03           0.                     237.392776E+06           579.269897E+06           309.939392E+06           619.877991E+06           409.81369E-03            735.607483E-03            10.0521088                8.49814987               1.55395806    
                   2.00250006E+03           0.                     245.569519E+06           599.249023E+06           320.624847E+06           641.248779E+06           409.795288E-03           735.674255E-03            10.05334                  8.49920845               1.55413353    
                   2.00924993E+03           0.                     253.846619E+06           619.193848E+06           331.338928E+06           662.677246E+06           409.963165E-03           735.064758E-03            10.0545654                8.50025558               1.5543083     
                   2.01600003E+03           0.                     262.445923E+06           639.175842E+06           342.199432E+06           684.398071E+06           410.600525E-03           732.749023E-03            10.0557804                8.5012989                1.55448139    
                   2.0227499E+03            0.                     271.497498E+06           659.405396E+06           353.335876E+06           706.671082E+06           411.730835E-03           728.635742E-03            10.0569868                8.50233555               1.55465341    
                   2.02950001E+03           0.                     281.129608E+06           680.130493E+06           364.890503E+06           729.780518E+06           413.346497E-03           722.744141E-03            10.0581865                8.50336075               1.55482399    
                   2.03625011E+03           0.                     291.494476E+06           701.65741E+06            377.035706E+06           754.071045E+06           415.437073E-03           715.099976E-03            10.0593777                8.50438309               1.55499375    
                   2.04299998E+03           0.                     302.803375E+06           724.398926E+06           390.006317E+06           780.012451E+06           418.006378E-03           705.671204E-03            10.0605621                8.5053978                1.55516279    
                   2.04975009E+03           0.                     315.392975E+06           748.985596E+06           404.166656E+06           808.333496E+06           421.093384E-03           694.292603E-03            10.0617371                8.50640965               1.55533016    
