
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   1.79999995E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.1140442                8.55126095               1.56278229    
                   1.80514002E+03           0.                      12.3235044E+06           35.8660583E+06           18.0054379E+06           36.2336006E+06          343.69278E-03            986.724365E-03            10.1154976                8.55251026               1.56298971    
                   1.81028008E+03           0.                      24.6447411E+06           71.7260437E+06           36.0077095E+06           72.4608765E+06          343.690002E-03           986.735596E-03            10.1170073                8.55380249               1.56320453    
                   1.81542003E+03           0.                      36.9636841E+06          107.579987E+06            54.0068321E+06          108.681862E+06           343.687317E-03           986.746582E-03            10.118557                 8.55513382               1.56342542    
                   1.8205601E+03            0.                      49.2803612E+06          143.427856E+06            72.0027924E+06          144.896515E+06           343.68457E-03            986.757751E-03            10.1201439                8.55649376               1.56365144    
                   1.82569993E+03           0.                      61.5947838E+06          179.269638E+06            89.9955673E+06          181.104843E+06           343.681885E-03           986.76886E-03             10.1217594                8.55787945               1.56388175    
                   1.83083999E+03           0.                      73.9069214E+06          215.105423E+06           107.985229E+06           217.306885E+06           343.679169E-03           986.779968E-03            10.1234016                8.55928516               1.56411552    
                   1.83597994E+03           0.                      86.2167969E+06          250.935196E+06           125.971718E+06           253.502655E+06           343.676453E-03           986.791199E-03            10.1250591                8.56070805               1.56435192    
                   1.84112E+03              0.                      98.5243835E+06          286.75885E+06            143.955048E+06           289.692169E+06           343.673737E-03           986.802185E-03            10.1267347                8.56214428               1.56459069    
                   1.84625995E+03           0.                     110.82975E+06            322.576477E+06           161.935242E+06           325.875244E+06           343.671051E-03           986.813171E-03            10.1284208                8.56359196               1.56483114    
                   1.85140002E+03           0.                     123.132797E+06           358.388092E+06           179.912292E+06           362.052216E+06           343.668396E-03           986.82428E-03             10.1301193                8.56504822               1.56507289    
                   1.85654008E+03           0.                     135.433685E+06           394.193665E+06           197.886215E+06           398.222778E+06           343.665588E-03           986.835449E-03            10.1318264                8.5665102                1.5653162     
                   1.86168003E+03           0.                     147.732224E+06           429.993286E+06           215.856964E+06           434.387085E+06           343.662964E-03           986.846436E-03            10.1335392                8.56797886               1.56555998    
                   1.86681998E+03           0.                     160.028473E+06           465.786774E+06           233.824585E+06           470.545166E+06           343.660278E-03           986.8573E-03              10.1352558                8.56945133               1.5658046     
                   1.87195992E+03           0.                     172.322525E+06           501.57431E+06            251.789032E+06           506.697021E+06           343.657532E-03           986.868469E-03            10.1369743                8.57092571               1.5660497     
                   1.87709999E+03           0.                     184.614365E+06           537.355774E+06           269.750397E+06           542.84259E+06            343.654877E-03           986.879517E-03            10.1386948                8.57240009               1.56629491    
                   1.88223994E+03           0.                     196.903839E+06           573.131287E+06           287.708527E+06           578.981812E+06           343.65213E-03            986.890503E-03            10.1404181                8.57387829               1.56654012    
                   1.88738E+03              0.                     209.191177E+06           608.900696E+06           305.663696E+06           615.114807E+06           343.649475E-03           986.90155E-03             10.1421404                8.57535458               1.56678557    
                   1.89252007E+03           0.                     221.476074E+06           644.664246E+06           323.615662E+06           651.241577E+06           343.646729E-03           986.912415E-03            10.1438618                8.57683182               1.56703079    
                   1.89766002E+03           0.                     233.758881E+06           680.421692E+06           341.564362E+06           687.362061E+06           343.644104E-03           986.923584E-03            10.1455822                8.57830715               1.56727612    
                   1.90280008E+03           0.                     246.039505E+06           716.173035E+06           359.510132E+06           723.47644E+06            343.641357E-03           986.934387E-03            10.1473017                8.57978153               1.5675211     
                   1.90793991E+03           0.                     258.317749E+06           751.918457E+06           377.452728E+06           759.584412E+06           343.638672E-03           986.945496E-03            10.1490183                8.58125401               1.56776536    
                   1.91307998E+03           0.                     270.593781E+06           787.658203E+06           395.392151E+06           795.686096E+06           343.636017E-03           986.956421E-03            10.1507301                8.58272171               1.56800938    
                   1.91821992E+03           0.                     282.867584E+06           823.391602E+06           413.328491E+06           831.781616E+06           343.633331E-03           986.967346E-03            10.1524401                8.58418846               1.56825328    
