
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.3145123                8.72316933               1.59134531    
                   7.20603991E+03           0.                      12.5643177E+06           31.0690727E+06           16.5701141E+06           33.0998497E+06          404.559448E-03           750.124939E-03            10.3145485                8.72319984               1.59135032    
                   7.21208E+03              0.                      25.1259651E+06           62.13657E+06             33.1384659E+06           66.1963959E+06          404.526978E-03           750.254517E-03            10.3145876                8.72323036               1.59135592    
                   7.2181201E+03            0.                      37.6850052E+06           93.2024841E+06           49.7050476E+06           99.2896194E+06          404.494568E-03           750.383728E-03            10.3146286                8.72326851               1.59136164    
                   7.22416019E+03           0.                      50.2414093E+06          124.266884E+06            66.2698593E+06          132.379547E+06           404.462189E-03           750.512878E-03            10.3146734                8.7233057                1.59136832    
                   7.23020029E+03           0.                      62.7951202E+06          155.329681E+06            82.8329468E+06          165.466156E+06           404.429749E-03           750.64209E-03             10.3147259                8.72334957               1.59137547    
                   7.23624039E+03           0.                      75.3462524E+06          186.3909E+06              99.3942337E+06          198.5495E+06             404.39743E-03            750.771179E-03            10.314784                 8.72340012               1.59138381    
                   7.24228001E+03           0.                      87.8947067E+06          217.450592E+06           115.953796E+06           231.62944E+06            404.365082E-03           750.900146E-03            10.3148556                8.7234621                1.59139407    
                   7.24831963E+03           0.                     100.440529E+06           248.508698E+06           132.511581E+06           264.706085E+06           404.332642E-03           751.028992E-03            10.3149385                8.72353077               1.59140587    
                   7.25435972E+03           0.                     112.983795E+06           279.565216E+06           149.067627E+06           297.779541E+06           404.300415E-03           751.157715E-03            10.3150349                8.72361851               1.59142017    
                   7.26039982E+03           0.                     125.524361E+06           310.620178E+06           165.621902E+06           330.849518E+06           404.268188E-03           751.286377E-03            10.3151512                8.72371674               1.59143627    
                   7.26643991E+03           0.                     138.062363E+06           341.673584E+06           182.174393E+06           363.916382E+06           404.23587E-03            751.414978E-03            10.3152828                8.72382927               1.5914551     
                   7.27248001E+03           0.                     150.59758E+06            372.725464E+06           198.725174E+06           396.97995E+06            404.203644E-03           751.543457E-03            10.3154335                8.72395897               1.59147656    
                   7.27852011E+03           0.                     163.130417E+06           403.775726E+06           215.274139E+06           430.039948E+06           404.171387E-03           751.671814E-03            10.3156023                8.72410011               1.59150052    
                   7.2845602E+03            0.                     175.660446E+06           434.824371E+06           231.821381E+06           463.096863E+06           404.13916E-03            751.80011E-03             10.3157902                8.72426128               1.59152687    
                   7.2906003E+03            0.                     188.187881E+06           465.871613E+06           248.366898E+06           496.150482E+06           404.107025E-03           751.928223E-03            10.3159933                8.72443676               1.59155607    
                   7.29663992E+03           0.                     200.712677E+06           496.917084E+06           264.910583E+06           529.200745E+06           404.074921E-03           752.056274E-03            10.3162184                8.72462845               1.59158838    
                   7.30268002E+03           0.                     213.235123E+06           527.961182E+06           281.452728E+06           562.247742E+06           404.042786E-03           752.184326E-03            10.3164577                8.7248354                1.59162223    
                   7.30872011E+03           0.                     225.754715E+06           559.003662E+06           297.99295E+06            595.291443E+06           404.010529E-03           752.312073E-03            10.3167162                8.72505474               1.59165907    
                   7.31475973E+03           0.                     238.309052E+06           590.054871E+06           314.560242E+06           628.367126E+06           404.034515E-03           752.102417E-03            10.3169851                8.72528934               1.59169793    
                   7.32079983E+03           0.                     251.534271E+06           622.010498E+06           331.816711E+06           662.630859E+06           404.550537E-03           749.04425E-03             10.3172789                8.72554207               1.59173965    
                   7.32683992E+03           0.                     265.651489E+06           656.384583E+06           350.500092E+06           699.328003E+06           404.890991E-03           744.470398E-03            10.3176231                8.72583485               1.59178793    
                   7.33288002E+03           0.                     280.776154E+06           694.428345E+06           371.237885E+06           739.414978E+06           404.518372E-03           739.149658E-03            10.3181658                8.72629833               1.5918653     
                   7.33892012E+03           0.                     297.163391E+06           737.626404E+06           394.794434E+06           784.136902E+06           403.088684E-03           733.609497E-03            10.3194256                8.72738171               1.59204543    
                   7.34495974E+03           0.                     315.281158E+06           788.484558E+06           422.397156E+06           835.661377E+06           400.136871E-03           729.238281E-03            10.3232107                8.7306242                1.59258485    
                   7.35099983E+03          29.0482407E-06          334.457214E+06           843.590759E+06           451.780579E+06           891.250427E+06           396.664001E-03           730.539124E-03            10.3342533                8.73998737               1.59426761    
                   7.35703993E+03         231.587402E-06           349.322144E+06           871.612976E+06           465.313049E+06           925.187134E+06           400.774445E-03           745.690979E-03            10.3540812                8.75622272               1.59785581    
                   7.36308002E+03         584.425781E-06           359.709229E+06           875.080017E+06           464.994812E+06           938.701355E+06           411.058289E-03           767.065247E-03            10.3743429                8.77226734               1.60207486    
                   7.36912012E+03         971.146606E-06           369.115753E+06           878.654419E+06           465.204285E+06           951.065186E+06           420.093781E-03           783.297302E-03            10.3898106                8.78406906               1.60574269    
                   7.37516022E+03           1.39179254E-03         377.499268E+06           882.542297E+06           466.14325E+06            962.390259E+06           427.744812E-03           793.850281E-03            10.4037743                8.79444885               1.60932708    
                   7.38120031E+03           1.84658253E-03         384.809326E+06           886.745972E+06           467.838715E+06           972.653137E+06           433.962952E-03           798.740356E-03            10.4179649                8.80488873               1.61307657    
                   7.38724041E+03           2.33456922E-03         390.935516E+06           891.256348E+06           470.245392E+06           981.766968E+06           438.642609E-03           798.502136E-03            10.4322147                8.81524944               1.61696434    
                   7.39327955E+03           2.85484099E-03         395.980225E+06           896.065247E+06           473.246307E+06           989.862E+06              441.920349E-03           794.248718E-03            10.4462633                8.82531357               1.62094998    
                   7.39931965E+03           3.40585446E-03         399.983856E+06           901.158264E+06           476.694977E+06           997.004944E+06           443.867615E-03           787.28064E-03             10.459939                 8.8349371                1.62500262    
                   7.40535975E+03           3.98615551E-03         403.11142E+06            906.52179E+06            480.447113E+06             1.0033859E+09          444.692688E-03           778.857971E-03            10.4730339                8.84394646               1.62908769    
                   7.41139984E+03           4.59447861E-03         405.491638E+06           912.14447E+06            484.367676E+06             1.00916529E+09         444.5625E-03             770.173889E-03            10.4854355                8.85225201               1.63318372    
                   7.41743994E+03           5.22930956E-03         407.281219E+06           918.012329E+06           488.351257E+06             1.01452446E+09         443.671539E-03           762.140137E-03            10.4970522                8.8597784                1.63727081    
                   7.42348003E+03           5.89088821E-03         408.6474E+06             924.127441E+06           492.349457E+06             1.01965511E+09         442.214874E-03           755.229309E-03            10.5078363                8.86649227               1.64134371    
                   7.42952013E+03           6.57918453E-03         409.735565E+06           930.489075E+06           496.324219E+06             1.0247215E+09          440.36145E-03            749.800049E-03            10.5177755                8.8723774                1.64539957    
                   7.43556023E+03           7.29647064E-03         410.728912E+06           937.119019E+06           500.286041E+06             1.02992713E+09         438.30661E-03            745.858337E-03            10.526906                 8.8774538                1.6494509     
                   7.44160032E+03           8.04852676E-03         411.795593E+06           943.938721E+06           504.139709E+06             1.03541267E+09         436.269653E-03           743.888062E-03            10.5353279                8.88179111               1.65353549    
                   7.44763994E+03           8.84714317E-03         413.025116E+06           950.735718E+06           507.668457E+06             1.04117179E+09         434.44281E-03            744.804993E-03            10.5432043                8.88547993               1.65772057    
                   7.45368004E+03           9.71339321E-03         414.174866E+06           957.484436E+06           510.966919E+06             1.04689956E+09         432.579926E-03           747.552673E-03            10.5507069                8.88859844               1.66211104    
