
                  X            AVERAGE_UVARM1     AVERAGE_UVARM2     AVERAGE_UVARM3     AVERAGE_UVARM4     AVERAGE_UVARM5     AVERAGE_UVARM6     AVERAGE_UVARM7     AVERAGE_UVARM8     AVERAGE_UVARM9    AVERAGE_UVARM10 

                7.2E+03            0.                 0.                 0.                 0.                 0.                 0.                 0.                10.3112             8.72037            1.59088    
                7.20675E+03        0.                 8.19427E+06       19.978E+06         10.6922E+06        21.3843E+06       410.165E-03        734.333E-03         10.3113             8.72044            1.59089    
                7.2135E+03         0.                16.3879E+06        39.9563E+06        21.3841E+06        42.7683E+06       410.146E-03        734.401E-03         10.3114             8.72052            1.59091    
                7.22025E+03        0.                24.5809E+06        59.9348E+06        32.076E+06         64.1519E+06       410.128E-03        734.468E-03         10.3115             8.7206             1.59092    
                7.227E+03          0.                32.7734E+06        79.9137E+06        42.7677E+06        85.5353E+06       410.11E-03         734.535E-03         10.3116             8.72068            1.59093    
                7.23375E+03        0.                40.9652E+06        99.8929E+06        53.4592E+06       106.918E+06        410.091E-03        734.603E-03         10.3117             8.72075            1.59094    
                7.2405E+03         0.                49.1563E+06       119.872E+06         64.1507E+06       128.301E+06        410.073E-03        734.67E-03          10.3118             8.72082            1.59096    
                7.24725E+03        0.                57.3469E+06       139.852E+06         74.8419E+06       149.684E+06        410.054E-03        734.737E-03         10.3119             8.7209             1.59097    
                7.254E+03          0.                65.5368E+06       159.832E+06         85.533E+06        171.066E+06        410.036E-03        734.804E-03         10.3119             8.72096            1.59098    
                7.26075E+03        0.                73.7261E+06       179.812E+06         96.224E+06        192.448E+06        410.017E-03        734.871E-03         10.312              8.72104            1.59099    
                7.2675E+03         0.                81.9149E+06       199.793E+06        106.915E+06        213.829E+06        409.999E-03        734.938E-03         10.3121             8.72111            1.591      
                7.27425E+03        0.                90.1029E+06       219.774E+06        117.605E+06        235.211E+06        409.98E-03         735.005E-03         10.3122             8.72117            1.59101    
                7.281E+03          0.                98.2904E+06       239.755E+06        128.296E+06        256.592E+06        409.962E-03        735.073E-03         10.3123             8.72124            1.59102    
                7.28775E+03        0.               106.477E+06        259.736E+06        138.986E+06        277.972E+06        409.944E-03        735.14E-03          10.3123             8.7213             1.59104    
                7.2945E+03         0.               114.663E+06        279.718E+06        149.676E+06        299.353E+06        409.925E-03        735.207E-03         10.3124             8.72137            1.59105    
                7.30125E+03        0.               122.849E+06        299.7E+06          160.367E+06        320.733E+06        409.907E-03        735.274E-03         10.3125             8.72143            1.59106    
                7.308E+03          0.               131.034E+06        319.683E+06        171.056E+06        342.113E+06        409.888E-03        735.341E-03         10.3126             8.72149            1.59107    
                7.31475E+03        0.               139.219E+06        339.665E+06        181.746E+06        363.492E+06        409.87E-03         735.408E-03         10.3126             8.72155            1.59108    
                7.3215E+03         0.               147.402E+06        359.648E+06        192.436E+06        384.872E+06        409.852E-03        735.475E-03         10.3127             8.72161            1.59109    
                7.32825E+03        0.               155.586E+06        379.631E+06        203.125E+06        406.25E+06         409.833E-03        735.542E-03         10.3128             8.72167            1.5911     
                7.335E+03          0.               163.768E+06        399.615E+06        213.815E+06        427.629E+06        409.815E-03        735.608E-03         10.3128             8.72173            1.59111    
                7.34175E+03        0.               171.95E+06         419.599E+06        224.504E+06        449.008E+06        409.796E-03        735.675E-03         10.3129             8.72178            1.59112    
                7.3485E+03         0.               180.131E+06        439.583E+06        235.193E+06        470.385E+06        409.778E-03        735.742E-03         10.313              8.72184            1.59112    
                7.35525E+03        0.               188.312E+06        459.567E+06        245.882E+06        491.763E+06        409.76E-03         735.809E-03         10.313              8.72189            1.59113    
                7.362E+03          0.               196.492E+06        479.552E+06        256.57E+06         513.141E+06        409.741E-03        735.876E-03         10.3131             8.72195            1.59114    
                7.36875E+03        0.               204.672E+06        499.536E+06        267.259E+06        534.518E+06        409.723E-03        735.943E-03         10.3132             8.722              1.59115    
                7.3755E+03         0.               212.851E+06        519.522E+06        277.947E+06        555.895E+06        409.705E-03        736.009E-03         10.3132             8.72205            1.59116    
                7.38225E+03        0.               221.029E+06        539.507E+06        288.636E+06        577.271E+06        409.686E-03        736.076E-03         10.3133             8.72211            1.59117    
                7.389E+03          0.               229.206E+06        559.493E+06        299.324E+06        598.648E+06        409.668E-03        736.143E-03         10.3133             8.72215            1.59118    
                7.39575E+03        0.               237.383E+06        579.479E+06        310.012E+06        620.024E+06        409.65E-03         736.21E-03          10.3134             8.7222             1.59118    
                7.4025E+03         0.               245.56E+06         599.465E+06        320.699E+06        641.399E+06        409.632E-03        736.276E-03         10.3134             8.72225            1.59119    
                7.40925E+03        0.               253.874E+06        619.409E+06        331.429E+06        662.858E+06        409.865E-03        735.427E-03         10.3135             8.7223             1.5912     
                7.416E+03          0.               262.592E+06        639.407E+06        342.344E+06        684.688E+06        410.68E-03         732.465E-03         10.3136             8.72234            1.59121    
                7.42275E+03        0.               271.865E+06        659.704E+06        353.596E+06        707.192E+06        412.102E-03        727.29E-03          10.3136             8.72239            1.59122    
                7.4295E+03         0.               281.85E+06         680.611E+06        365.361E+06        730.722E+06        414.114E-03        719.949E-03         10.3137             8.72244            1.59122    
                7.43625E+03        0.               292.748E+06        702.502E+06        377.854E+06        755.709E+06        416.722E-03        710.395E-03         10.3137             8.72248            1.59123    
                7.443E+03          0.               304.855E+06        725.927E+06        391.394E+06        782.789E+06        419.953E-03        698.51E-03          10.3138             8.72252            1.59124    
                7.44975E+03        0.               318.68E+06         751.779E+06        406.508E+06        813.017E+06        423.901E-03        683.905E-03         10.3138             8.72257            1.59124    
                7.4565E+03         0.               335.25E+06         781.915E+06        424.283E+06        848.567E+06        428.754E-03        665.817E-03         10.3139             8.72261            1.59125    
                7.46325E+03        0.               357.685E+06        822.098E+06        448.059E+06        896.16E+06         435.088E-03        642.184E-03         10.3139             8.72265            1.59126    
                7.47E+03           1.3392E-03       389.836E+06        882.056E+06        482.513E+06        966.374E+06        441.963E-03        621.677E-03         10.314              8.71769            1.59629    
                7.47675E+03        3.48286E-03      393.252E+06        901.87E+06         491.651E+06        983.902E+06        436.041E-03        640.903E-03         10.3154             8.71085            1.60452    
                7.4835E+03         5.24989E-03      394.85E+06         918.203E+06        498.612E+06        997.414E+06        430.025E-03        661.83E-03          10.3164             8.70515            1.61128    
                7.49025E+03        6.80047E-03      396.22E+06         932.534E+06        504.618E+06          1.00921E+09      424.885E-03        680.137E-03         10.3172             8.70004            1.61718    
                7.497E+03          8.20144E-03      397.812E+06        945.326E+06        510.033E+06          1.02002E+09      420.819E-03        695.109E-03         10.3178             8.69531            1.62249    
                7.50375E+03        9.56384E-03      400.277E+06        956.46E+06         515.169E+06          1.03025E+09      418.498E-03        703.523E-03         10.3183             8.69066            1.62764    
                7.5105E+03        11.0827E-03       404.934E+06        965.321E+06        520.307E+06          1.04056E+09      419.482E-03        700.041E-03         10.3188             8.68542            1.63336    
                7.51725E+03       12.7709E-03       410.584E+06        973.86E+06         525.762E+06          1.0514E+09       421.605E-03        691.912E-03         10.3194             8.6797             1.63973    
                7.524E+03         14.6155E-03       416.178E+06        983.191E+06        531.358E+06          1.06283E+09      423.293E-03        686.591E-03         10.32               8.67337            1.64667    
                7.53075E+03       16.507E-03        420.404E+06        992.759E+06        536.479E+06          1.07338E+09      423.471E-03        687.065E-03         10.3209             8.66708            1.65381    
                7.5375E+03        18.3489E-03       423.286E+06          1.00208E+09      541.046E+06          1.08264E+09      422.41E-03         691.434E-03         10.322              8.66117            1.66078    
                7.54425E+03       20.1151E-03       425.474E+06          1.0107E+09       545.068E+06          1.09082E+09      420.971E-03        697.26E-03          10.3231             8.65563            1.66748    
                7.551E+03         22.3776E-03       430.895E+06          1.01602E+09      549.149E+06          1.09911E+09      424.103E-03        686.118E-03         10.3244             8.6484             1.67603    
                7.55775E+03       24.7851E-03       435.379E+06          1.02167E+09      553.123E+06          1.10682E+09      426.143E-03        677.636E-03         10.3262             8.641              1.68516    
                7.5645E+03        27.2842E-03       440.367E+06          1.02755E+09      557.347E+06          1.11507E+09      428.561E-03        667.895E-03         10.3278             8.63321            1.69459    
                7.57125E+03       30.0513E-03       445.916E+06          1.034E+09        561.84E+06           1.12426E+09      431.255E-03        658.533E-03         10.3294             8.62443            1.70499    
                7.578E+03         33.6562E-03       454.299E+06          1.03842E+09      566.254E+06          1.13427E+09      437.49E-03         639.332E-03         10.3315             8.61297            1.7185     
                7.58475E+03       37.7638E-03       460.915E+06          1.04346E+09      570.448E+06          1.14321E+09      441.716E-03        625.24E-03          10.3346             8.60063            1.73398    
                7.5915E+03        42.1993E-03       467.273E+06          1.04784E+09      574.047E+06          1.15157E+09      445.937E-03        613.306E-03         10.3383             8.5876             1.75069    
                7.59825E+03       47.5642E-03       475.243E+06          1.05183E+09      578.243E+06          1.1606E+09       451.824E-03        592.95E-03          10.3428             8.57199            1.77086    
                7.605E+03         53.8422E-03       483.85E+06           1.05566E+09      582.232E+06          1.17013E+09      458.34E-03         573.287E-03         10.3482             8.55383            1.79437    
                7.61175E+03       61.1793E-03       492.879E+06          1.05938E+09      586.206E+06          1.17984E+09      465.253E-03        552.621E-03         10.3547             8.53296            1.82179    
                7.6185E+03        69.6988E-03       502.872E+06          1.06292E+09      590.159E+06          1.19018E+09      473.103E-03        530.475E-03         10.3626             8.50911            1.85351    
                7.619E+03         70.3678E-03       503.682E+06          1.06318E+09      590.464E+06          1.19099E+09      473.75E-03         528.629E-03         10.3633             8.50728            1.856      
                7.62525E+03       79.5325E-03       513.958E+06          1.06645E+09      594.185E+06          1.20133E+09      481.931E-03        506.584E-03         10.3722             8.4822             1.89       
                7.632E+03         90.5722E-03       525.413E+06          1.07E+09         598.084E+06          1.2128E+09       491.042E-03        483.346E-03         10.3836             8.4528             1.93084    
                7.636E+03         97.6423E-03       532.723E+06          1.07208E+09      600.406E+06          1.21998E+09      496.905E-03        468.885E-03         10.3914             8.43445            1.95693    
                7.63875E+03      102.731E-03        537.94E+06           1.0735E+09       601.98E+06           1.22507E+09      501.111E-03        458.869E-03         10.3983             8.42245            1.97588    
                7.6455E+03       116.31E-03         550.995E+06          1.07707E+09      605.771E+06          1.23788E+09      511.567E-03        435.232E-03         10.4145             8.38873            2.02581    
                7.65225E+03      131.182E-03        564.82E+06           1.0808E+09       609.561E+06          1.25143E+09      522.596E-03        411.615E-03         10.4336             8.35328            2.08031    
                7.659E+03        147.349E-03        579.356E+06          1.08454E+09      613.25E+06           1.26563E+09      534.195E-03        388.478E-03         10.4559             8.3165             2.1394     
                7.66575E+03      164.887E-03        594.708E+06          1.08825E+09      616.829E+06          1.28055E+09      546.479E-03        365.565E-03         10.4818             8.27848            2.2033     
                7.6725E+03       183.86E-03         610.826E+06          1.09205E+09      620.35E+06           1.29621E+09      559.34E-03         343.055E-03         10.5118             8.23954            2.27227    
                7.67925E+03      204.352E-03        627.762E+06          1.09589E+09      623.791E+06          1.31267E+09      572.836E-03        321.034E-03         10.5464             8.19982            2.34656    
                7.686E+03        226.442E-03        645.474E+06          1.09975E+09      627.134E+06          1.32992E+09      586.926E-03        299.818E-03         10.586              8.15957            2.42646    
                7.69275E+03      250.161E-03        663.734E+06          1.10364E+09      630.337E+06          1.34787E+09      601.404E-03        280.287E-03         10.6314             8.11927            2.51214    
                7.6995E+03       275.491E-03        682.132E+06          1.10754E+09      633.362E+06          1.36626E+09      615.9E-03          263.446E-03         10.6831             8.07954            2.6036     
                7.70625E+03      302.385E-03        700.168E+06          1.11143E+09      636.17E+06           1.3848E+09       629.971E-03        250.519E-03         10.7417             8.04098            2.70076    
                7.713E+03        330.825E-03        717.614E+06          1.11531E+09      638.753E+06          1.4034E+09       643.418E-03        242.235E-03         10.8077             8.00403            2.80366    
                7.71975E+03      360.855E-03        734.665E+06          1.1192E+09       641.129E+06          1.4223E+09       656.42E-03         238.661E-03         10.8814             7.9689             2.91254    
                7.7265E+03       392.592E-03        751.684E+06          1.1231E+09       643.331E+06          1.44181E+09      669.296E-03        239.348E-03         10.9636             7.93569            3.02787    
                7.73325E+03      426.236E-03        769.054E+06          1.12702E+09      645.399E+06          1.46223E+09      682.377E-03        243.538E-03         11.0549             7.90443            3.15049    
                7.74E+03         462.074E-03        787.1E+06            1.13098E+09      647.363E+06          1.48374E+09      695.948E-03        250.341E-03         11.1567             7.87514            3.28155    
                7.74675E+03      500.498E-03        806.137E+06          1.13503E+09      649.297E+06          1.50654E+09      710.237E-03        258.725E-03         11.3051             7.87504            3.4301     
                7.7535E+03       541.987E-03        826.439E+06          1.13917E+09      651.227E+06          1.53078E+09      725.476E-03        267.968E-03         11.4026             7.94295            3.45967    
                7.76025E+03      587.103E-03        848.311E+06          1.14346E+09      653.206E+06          1.55672E+09      741.882E-03        277.503E-03         11.5123             8.02077            3.49158    
                7.767E+03        636.491E-03        872.066E+06          1.14792E+09      655.265E+06          1.58464E+09      759.69E-03         287.028E-03         11.6376             8.10961            3.528      
                7.77375E+03      690.892E-03        898.046E+06          1.1526E+09       657.431E+06          1.61487E+09      779.15E-03         296.339E-03         11.7803             8.21081            3.56948    
                7.7805E+03       751.169E-03        926.59E+06           1.15751E+09      659.732E+06          1.64775E+09      800.5E-03          305.25E-03          11.9431             8.32628            3.61677    
                7.78725E+03      818.365E-03        958.037E+06          1.16271E+09      662.194E+06          1.68362E+09      823.971E-03        313.622E-03         12.1289             8.45817            3.67076    
                7.794E+03        893.71E-03         992.632E+06          1.16822E+09      664.844E+06          1.72273E+09      849.695E-03        321.311E-03         12.3412             8.60882            3.73239    
                7.80075E+03      978.608E-03          1.03045E+09        1.17409E+09      667.696E+06          1.76514E+09      877.654E-03        328.23E-03          12.5833             8.78064            3.80263    
                7.8075E+03         1.07448            1.07106E+09        1.18034E+09      670.719E+06          1.81042E+09      907.41E-03         334.455E-03         12.8583             8.97591            3.88239    
                7.81425E+03        1.18233            1.11286E+09        1.18697E+09      673.797E+06          1.85696E+09      937.554E-03        340.487E-03         13.1683             9.19603            3.97222    
                7.821E+03          1.30196            1.15139E+09        1.19389E+09      676.725E+06          1.90021E+09      964.389E-03        346.896E-03         13.5114             9.43978            4.07157    
                7.82775E+03        1.4309             1.17775E+09        1.2009E+09       679.231E+06          1.93136E+09      980.701E-03        355.633E-03         13.8773             9.69983            4.17745    
                7.8345E+03         1.56326            1.18352E+09        1.20768E+09      681.26E+06           1.94219E+09      979.955E-03        368.214E-03         14.2418             9.959              4.28283    
                7.84125E+03        1.69112            1.17202E+09        1.21388E+09      682.897E+06          1.93635E+09      965.469E-03        386.045E-03         14.5687            10.1915             4.37724    
                7.848E+03          1.80879            1.15642E+09        1.21932E+09      684.156E+06          1.9267E+09       948.366E-03        407.403E-03         14.8255            10.3741             4.45135    
                7.85475E+03        1.9138             1.1469E+09         1.22398E+09      685.135E+06          1.92283E+09      936.995E-03        428.699E-03         15.0025            10.5001             4.50241    
                7.8615E+03         2.00683            1.14626E+09        1.22797E+09      685.973E+06          1.92711E+09      933.456E-03        447.277E-03         15.1085            10.5755             4.53299    
                7.86825E+03        2.08967            1.15368E+09        1.23142E+09      686.769E+06          1.93862E+09      936.894E-03        462.12E-03          15.1591            10.6115             4.54759    
                7.875E+03          2.16396            1.16715E+09        1.23443E+09      687.58E+06           1.95539E+09      945.557E-03        473.14E-03          15.1719            10.6206             4.55127    




