
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.3113451                8.7204504                1.59089398    
                   7.20514011E+03           0.                       7.2049036E+06           14.7605143E+06            8.3058567E+06           16.6118221E+06          488.124817E-03           431.047028E-03            10.3114147                8.72051144               1.59090388    
                   7.21027994E+03           0.                      14.4090996E+06           29.521246E+06            16.611599E+06            33.2234306E+06          488.09729E-03            431.164124E-03            10.3114843                8.72057152               1.59091365    
                   7.21541977E+03           0.                      21.6125832E+06           44.2821922E+06           24.9172306E+06           49.8348236E+06          488.069763E-03           431.281128E-03            10.311554                 8.7206316                1.59092367    
                   7.22056007E+03           0.                      28.815382E+06            59.0433655E+06           33.2227554E+06           66.4459991E+06          488.042175E-03           431.398071E-03            10.3116207                8.72068882               1.59093332    
                   7.22570038E+03           0.                      36.0174561E+06           73.8047409E+06           41.5281601E+06           83.0569687E+06          488.014709E-03           431.515045E-03            10.3116884                8.72074509               1.59094298    
                   7.23083973E+03           0.                      43.2188187E+06           88.5663452E+06           49.8334618E+06           99.667717E+06           487.987152E-03           431.631866E-03            10.3117542                8.7208004                1.59095228    
                   7.23598003E+03           0.                      50.4194679E+06          103.328148E+06            58.1386452E+06          116.278244E+06           487.959625E-03           431.748779E-03            10.3118191                8.72085857               1.59096158    
                   7.24112034E+03           0.                      57.6194458E+06          118.090202E+06            66.4437256E+06          132.88855E+06            487.932098E-03           431.865601E-03            10.3118839                8.72091389               1.59097075    
                   7.24625969E+03           0.                      64.818718E+06           132.852432E+06            74.7486877E+06          149.498657E+06           487.904633E-03           431.982361E-03            10.3119497                8.7209692                1.59097981    
                   7.25139999E+03           0.                      72.0172348E+06          147.614899E+06            83.0535355E+06          166.108551E+06           487.877106E-03           432.099091E-03            10.3120117                8.72102165               1.59098887    
                   7.25653982E+03           0.                      79.2150879E+06          162.377594E+06            91.358284E+06           182.718216E+06           487.849579E-03           432.215912E-03            10.3120728                8.72107506               1.59099782    
                   7.26168013E+03           0.                      86.4122162E+06          177.140533E+06            99.6628876E+06          199.327637E+06           487.822144E-03           432.33255E-03             10.3121347                8.72112846               1.5910064     
                   7.26681995E+03           0.                      93.6086578E+06          191.903625E+06           107.967415E+06           215.936935E+06           487.794617E-03           432.449219E-03            10.3121948                8.72117901               1.59101498    
                   7.27195978E+03           0.                     100.804405E+06           206.666977E+06           116.271828E+06           232.545975E+06           487.767151E-03           432.565796E-03            10.312254                 8.72123146               1.59102356    
                   7.27710009E+03           0.                     107.999435E+06           221.430557E+06           124.576134E+06           249.15477E+06            487.739624E-03           432.682281E-03            10.312314                 8.7212801                1.59103179    
                   7.28224039E+03           0.                     115.193779E+06           236.194275E+06           132.88031E+06            265.763397E+06           487.712219E-03           432.798859E-03            10.3123703                8.72132969               1.59104002    
                   7.28737974E+03           0.                     122.387375E+06           250.958298E+06           141.184387E+06           282.371796E+06           487.684784E-03           432.915375E-03            10.3124275                8.72138119               1.59104836    
                   7.29252005E+03           0.                     129.580307E+06           265.722504E+06           149.488342E+06           298.980011E+06           487.657379E-03           433.031769E-03            10.3124857                8.72142792               1.59105635    
                   7.29766035E+03           0.                     136.772537E+06           280.486969E+06           157.792221E+06           315.587982E+06           487.629944E-03           433.148254E-03            10.3125391                8.7214756                1.5910641     
                   7.3027997E+03            0.                     143.96402E+06            295.251617E+06           166.095932E+06           332.195679E+06           487.602478E-03           433.264679E-03            10.3125963                8.72152138               1.59107172    
                   7.30794001E+03           0.                     151.154861E+06           310.016479E+06           174.399612E+06           348.803223E+06           487.575043E-03           433.380981E-03            10.3126497                8.72157001               1.59107959    
                   7.31308031E+03           0.                     158.344955E+06           324.781525E+06           182.70314E+06            365.410553E+06           487.547668E-03           433.497345E-03            10.3127022                8.72161484               1.59108722    
                   7.31822014E+03           0.                     165.534348E+06           339.546936E+06           191.006516E+06           382.017731E+06           487.520233E-03           433.613556E-03            10.3127546                8.72165871               1.59109449    
                   7.32335997E+03           0.                     172.724106E+06           354.312225E+06           199.310059E+06           398.625092E+06           487.496002E-03           433.716644E-03            10.3128061                8.72170448               1.59110212    
                   7.32849979E+03           0.                     179.968185E+06           369.079437E+06           207.629868E+06           415.264954E+06           487.618378E-03           433.203156E-03            10.3128567                8.72174644               1.5911094     
                   7.3336401E+03            0.                     187.305511E+06           383.871155E+06           215.986755E+06           431.978851E+06           487.943359E-03           431.838043E-03            10.3129072                8.72179031               1.59111667    
                   7.33877993E+03           0.                     194.767502E+06           398.716675E+06           224.401642E+06           448.809021E+06           488.490784E-03           429.535675E-03            10.3129559                8.72183514               1.59112358    
                   7.34391975E+03           0.                     202.368408E+06           413.64621E+06            232.891342E+06           465.788727E+06           489.235321E-03           426.400574E-03            10.3130074                8.7218771                1.5911305     
                   7.34906006E+03           0.                     210.124695E+06           428.689392E+06           241.472382E+06           482.951416E+06           490.160553E-03           422.499207E-03            10.3130531                8.7219162                1.59113741    
                   7.35420036E+03           0.                     218.052094E+06           443.876617E+06           250.161682E+06           500.331421E+06           491.249207E-03           417.902618E-03            10.3131018                8.72195625               1.5911442     
                   7.35933971E+03           0.                     226.162872E+06           459.235046E+06           258.973541E+06           517.957336E+06           492.481903E-03           412.690002E-03            10.3131485                8.72199821               1.59115076    
                   7.36448002E+03           0.                     234.474762E+06           474.801727E+06           267.927917E+06           535.870056E+06           493.841888E-03           406.933105E-03            10.3131933                8.72203732               1.59115756    
                   7.36962032E+03           0.                     243.004623E+06           490.607941E+06           277.04184E+06            554.10437E+06            495.317902E-03           400.680969E-03            10.313241                 8.72207546               1.59116387    
                   7.37475967E+03           0.                     251.771423E+06           506.693298E+06           286.336517E+06           572.704468E+06           496.895752E-03           394.000275E-03            10.3132839                8.72211266               1.59117031    
                   7.37989998E+03           0.                     260.798462E+06           523.100342E+06           295.835144E+06           591.718811E+06           498.567902E-03           386.933258E-03            10.3133278                8.72215176               1.59117639    
                   7.38503981E+03           0.                     270.112E+06              539.882629E+06           305.566315E+06           611.207703E+06           500.321259E-03           379.553589E-03            10.3133717                8.7221899                1.59118271    
                   7.39018011E+03           0.                     279.744415E+06           557.098328E+06           315.561737E+06           631.23938E+06            502.150879E-03           371.908569E-03            10.3134155                8.72222614               1.59118879    
                   7.39531994E+03           0.                     289.731689E+06           574.822388E+06           325.861359E+06           651.900269E+06           504.04245E-03            364.097076E-03            10.3134565                8.72226238               1.59119463    
                   7.40045977E+03           0.                     300.121613E+06           593.148499E+06           336.515198E+06           673.299805E+06           505.986755E-03           356.210754E-03            10.3134966                8.72229767               1.59120083    
                   7.40560007E+03           0.                     310.968842E+06           612.197083E+06           347.58725E+06            695.576111E+06           507.962158E-03           348.401215E-03            10.3135366                8.722332                 1.59120655    
                   7.41074038E+03           0.                     322.335175E+06           632.128296E+06           359.161102E+06           718.90686E+06            509.927917E-03           340.892029E-03            10.3135777                8.72236633               1.59121192    
                   7.41587973E+03           0.                     334.300018E+06           653.172852E+06           371.358551E+06           743.536865E+06           511.818237E-03           333.96048E-03             10.3136158                8.72239876               1.59121728    
                   7.42102003E+03           0.                     346.951782E+06           675.679138E+06           384.363708E+06           769.808411E+06           513.497009E-03           328.011627E-03            10.3136549                8.72243118               1.591223      
                   7.42616034E+03           0.                     360.38266E+06            700.198425E+06           398.472717E+06           798.205383E+06           514.701416E-03           323.521759E-03            10.3136911                8.72246361               1.59122801    
                   7.43129969E+03           0.                     374.686462E+06           727.690186E+06           414.211304E+06           829.475098E+06           514.920715E-03           320.977966E-03            10.3137255                8.72249317               1.59123313    
                   7.43643999E+03           0.                     389.940704E+06           759.919739E+06           432.573608E+06           864.830994E+06           513.171692E-03           320.528229E-03            10.3137579                8.72251987               1.5912379     
                   7.4415803E+03            0.                     406.244873E+06           800.440796E+06           455.594604E+06           906.566101E+06           507.599365E-03           321.638275E-03            10.3137894                8.72254753               1.59124219    
                   7.44672012E+03          13.8614473E-06          423.659973E+06           853.602539E+06           485.714478E+06           957.538086E+06           496.403198E-03           324.824799E-03            10.3140125                8.72268581               1.59132612    
                   7.45185995E+03         259.983185E-06           437.549011E+06           872.081116E+06           495.77301E+06            984.035767E+06           501.728363E-03           334.971741E-03            10.3166018                8.72398281               1.59261847    
                   7.45699978E+03         623.613281E-06           447.3302E+06             875.442261E+06           497.523926E+06           996.284729E+06           510.975647E-03           338.460815E-03            10.3193064                8.72493649               1.59436858    
                   7.46214008E+03           1.0214529E-03          453.696014E+06           879.119507E+06           499.89447E+06              1.00432456E+09         516.080017E-03           332.42099E-03             10.3218203                8.72560215               1.59622014    
                   7.46727991E+03           1.43207335E-03         457.420441E+06           882.914795E+06           502.479309E+06             1.00943112E+09         518.080383E-03           323.039032E-03            10.3243217                8.72620392               1.59811807    
                   7.47241974E+03           1.83075511E-03         459.869019E+06           886.599731E+06           504.908722E+06             1.0133785E+09          518.689209E-03           315.568329E-03            10.3266134                8.72667217               1.59994161    
                   7.47756004E+03           2.15730929E-03         462.691559E+06           889.618103E+06           506.923065E+06             1.01734591E+09         520.102295E-03           308.800385E-03            10.3286791                8.72721672               1.60146213    
                   7.48270035E+03           2.42089343E-03         464.521332E+06           892.05426E+06            508.548767E+06             1.02008247E+09         520.733337E-03           303.268066E-03            10.3305998                8.72787285               1.60272586    
                   7.4878397E+03            2.77093482E-03         464.813507E+06           895.289734E+06           510.416107E+06             1.02232957E+09         519.178223E-03           302.737183E-03            10.3322144                8.72794437               1.60426986    
                   7.49298E+03              3.29548144E-03         465.11087E+06            900.138306E+06           512.97937E+06              1.02616382E+09         516.71228E-03            307.38269E-03             10.3332586                8.7268734                1.60638666    
                   7.49812031E+03           4.03289318E-03         466.988312E+06           906.953979E+06           516.600952E+06             1.03295255E+09         514.899536E-03           313.313354E-03            10.3337603                8.72453785               1.60922182    
                   7.50325966E+03           4.98278284E-03         471.091675E+06           915.733765E+06           521.470398E+06             1.04286051E+09         514.443909E-03           316.211792E-03            10.3340158                8.72119999               1.61281621    
                   7.50839996E+03           6.09529352E-03         477.194916E+06           926.016724E+06           527.44342E+06              1.05509448E+09         515.32251E-03            313.64679E-03             10.3343515                8.7173233                1.61702728    
                   7.51354027E+03           7.2868371E-03          484.09787E+06            937.029846E+06           533.984558E+06             1.0681951E+09          516.632629E-03           307.790466E-03            10.3348989                8.7133379                1.62156165    
                   7.5186801E+03            8.5344038E-03          490.9198E+06             948.144592E+06           540.557678E+06             1.08132696E+09         517.771606E-03           302.534943E-03            10.3356266                8.70930004               1.62632704    
                   7.52381992E+03           9.84729385E-03         497.367554E+06           958.489868E+06           546.69043E+06              1.09359574E+09         518.90979E-03            297.354553E-03            10.3365517                8.7051897                1.63136053    
                   7.52895975E+03          11.2348509E-03          503.155273E+06           966.091003E+06           551.289917E+06             1.10339522E+09         520.817261E-03           291.467651E-03            10.3376694                8.70097256               1.63669562    
                   7.53410006E+03          12.6850538E-03          508.547272E+06           973.426453E+06           555.789429E+06             1.11246634E+09         522.431763E-03           284.369232E-03            10.3387976                8.69653606               1.64226127    
                   7.53924036E+03          14.1997948E-03          513.876892E+06           981.08844E+06            560.495117E+06             1.12158871E+09         523.784546E-03           276.741608E-03            10.3399487                8.69188309               1.64806461    
                   7.54437971E+03          15.7870131E-03          519.388428E+06           989.116882E+06           565.397644E+06             1.13112092E+09         525.105225E-03           269.32077E-03             10.3411503                8.68701267               1.65413904    
                   7.54952002E+03          17.462925E-03           525.228271E+06           997.593994E+06           570.532776E+06             1.14130008E+09         526.497314E-03           262.402466E-03            10.3424711                8.6819191                1.66055334    
                   7.55466032E+03          19.2594929E-03          531.231079E+06             1.00668156E+09         575.987183E+06             1.15208352E+09         527.708069E-03           256.153748E-03            10.3440084                8.67656898               1.66743958    
                   7.55979967E+03          21.2483616E-03          536.888611E+06             1.01336157E+09         580.02179E+06              1.16115439E+09         529.810547E-03           250.921402E-03            10.3459339                8.67084503               1.67508709    
                   7.55999994E+03          21.3302288E-03          537.105042E+06             1.01355386E+09         580.140259E+06             1.16146135E+09         529.923462E-03           250.712509E-03            10.3460321                8.6706295                1.67540514    
                   7.56493998E+03          23.4768257E-03          542.317383E+06             1.01859975E+09         583.241699E+06             1.169052E+09           532.415771E-03           245.367569E-03            10.3481274                8.66447639               1.68365073    
                   7.57008028E+03          25.9691086E-03          547.742371E+06             1.02445805E+09         586.866089E+06             1.17712796E+09         534.666809E-03           238.465973E-03            10.350522                 8.65731716               1.69320488    
                   7.57522011E+03          28.6870537E-03          553.124634E+06             1.03084671E+09         590.823242E+06             1.185341E+09           536.574707E-03           230.668549E-03            10.3532076                8.64958763               1.703619      
                   7.58035994E+03          31.6062012E-03          558.264709E+06             1.03590465E+09         593.979797E+06             1.19259524E+09         538.915833E-03           223.732895E-03            10.3562708                8.64146042               1.7148124     
                   7.58549976E+03          34.7247734E-03          563.10675E+06              1.03973305E+09         596.410278E+06             1.19884503E+09         541.588562E-03           217.230698E-03            10.3597403                8.63296127               1.72677898    
                   7.59064007E+03          38.1072655E-03          567.814453E+06             1.04388535E+09         599.02179E+06              1.20514262E+09         543.944031E-03           210.717728E-03            10.3635874                8.62384033               1.73974681    
                   7.5957799E+03           41.7736244E-03          572.439758E+06             1.04752803E+09         601.333862E+06             1.21103859E+09         546.467773E-03           204.252167E-03            10.3678493                8.6140604                1.75378942    
                   7.59800005E+03          43.4401703E-03          574.443848E+06             1.04876733E+09         602.142639E+06             1.21336877E+09         547.732971E-03           201.356339E-03            10.3698597                8.60968494               1.76017392    
                   7.60091972E+03          45.7688484E-03          577.128052E+06             1.05049932E+09         603.264893E+06             1.21653092E+09         549.38501E-03            197.487732E-03            10.3726416                8.60355854               1.76908123    
                   7.60606003E+03          50.6173592E-03          582.260925E+06             1.05392456E+09         605.46814E+06              1.22264481E+09         552.469788E-03           190.160538E-03            10.3779936                8.59047604               1.78751898    
                   7.60900021E+03          54.0193405E-03          585.566895E+06             1.05575275E+09         606.637756E+06             1.22648299E+09         554.644165E-03           186.352478E-03            10.3814001                8.58102989               1.80036855    
                   7.61120033E+03          56.7497444E-03          588.156433E+06             1.05718374E+09         607.553101E+06             1.22948122E+09         556.343079E-03           183.338104E-03            10.3841276                8.5734663                1.81066215    
                   7.61633968E+03          63.9972839E-03          594.750305E+06             1.06055117E+09         609.718872E+06             1.23693633E+09         560.793762E-03           175.669617E-03            10.3910952                8.55323601               1.83785784    
                   7.62147999E+03          73.4034882E-03          603.412598E+06             1.06426537E+09         612.161865E+06             1.24616897E+09         566.97583E-03            164.923401E-03            10.3994875                8.52661896               1.87286758    
                   7.62662029E+03          86.619606E-03           615.741699E+06             1.06874359E+09         615.113159E+06             1.25895929E+09         576.136047E-03           150.822266E-03            10.4099178                8.48843575               1.92148268    
                   7.63175964E+03         103.582932E-03           631.359497E+06             1.07371986E+09         618.375305E+06             1.27489722E+09         588.011414E-03           134.369385E-03            10.4232702                8.43998528               1.98328364    
