
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.3113527                8.72045898               1.59089506    
                   7.20514011E+03           0.                       7.23927402E+06          14.8363857E+06            8.34779072E+06          16.695694E+06           487.946564E-03           431.797272E-03            10.3114243                8.72051811               1.59090531    
                   7.21027994E+03           0.                      14.4778366E+06           29.6730061E+06           16.6954727E+06           33.3911743E+06          487.918915E-03           431.915314E-03            10.3114948                8.72057629               1.59091508    
                   7.21541977E+03           0.                      21.7156696E+06           44.5098419E+06           25.043045E+06            50.0864449E+06          487.890991E-03           432.033264E-03            10.3115616                8.72063637               1.59092474    
                   7.22056007E+03           0.                      28.9527969E+06           59.3468971E+06           33.3904915E+06           66.7814865E+06          487.863281E-03           432.151306E-03            10.3116312                8.7206955                1.59093475    
                   7.22570038E+03           0.                      36.1892128E+06           74.1841812E+06           41.7378387E+06           83.4763412E+06          487.83551E-03            432.269226E-03            10.3116989                8.72075176               1.59094405    
                   7.23083973E+03           0.                      43.4249535E+06           89.0217056E+06           50.0850754E+06          100.170952E+06           487.807739E-03           432.387054E-03            10.3117647                8.72081089               1.59095371    
                   7.23598003E+03           0.                      50.6599388E+06          103.859428E+06            58.4321938E+06          116.865379E+06           487.779938E-03           432.504883E-03            10.3118296                8.7208662                1.59096289    
                   7.24112034E+03           0.                      57.8941994E+06          118.697388E+06            66.779213E+06           133.559555E+06           487.752258E-03           432.622772E-03            10.3118925                8.72092152               1.59097195    
                   7.24625969E+03           0.                      65.1277618E+06          133.535568E+06            75.1261063E+06          150.253494E+06           487.724457E-03           432.740479E-03            10.3119564                8.72097588               1.59098113    
                   7.25139999E+03           0.                      72.3606262E+06          148.373962E+06            83.472908E+06           166.947342E+06           487.696686E-03           432.858307E-03            10.3120193                8.72103024               1.59099019    
                   7.25653982E+03           0.                      79.5926971E+06          163.212631E+06            91.8195877E+06          183.640854E+06           487.669006E-03           432.976013E-03            10.3120823                8.72108173               1.59099889    
