
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.3164358                8.72481728               1.5916189     
                   7.20514011E+03           0.                      12.3362799E+06           35.9489479E+06           18.0401096E+06           36.3017426E+06          343.244324E-03           988.172485E-03            10.3164387                8.72481918               1.59161937    
                   7.21027994E+03           0.                      24.6702747E+06           71.8917694E+06           36.0770416E+06           72.5971222E+06          343.241791E-03           988.182983E-03            10.3166084                8.7249651                1.59164369    
                   7.21541977E+03           0.                      37.0019989E+06          107.828468E+06            54.1107979E+06          108.886154E+06           343.239197E-03           988.193604E-03            10.3168945                8.72521019               1.59168422    
                   7.22056007E+03           0.                      49.3314362E+06          143.759094E+06            72.1413574E+06          145.168839E+06           343.236755E-03           988.204041E-03            10.3172598                8.72552395               1.59173656    
                   7.22570038E+03           0.                      61.6586304E+06          179.683563E+06            90.1687469E+06          181.44519E+06            343.234192E-03           988.214722E-03            10.317688                 8.72589111               1.59179747    
                   7.23083973E+03           0.                      73.9835052E+06          215.601913E+06           108.192963E+06           217.715179E+06           343.231689E-03           988.225159E-03            10.3181581                8.72629547               1.59186459    
                   7.23598003E+03           0.                      86.3061447E+06          251.514221E+06           126.214012E+06           253.97879E+06            343.229095E-03           988.23584E-03             10.3186674                8.7267313                1.59193707    
                   7.24112034E+03           0.                      98.6265106E+06          287.42041E+06            144.231888E+06           290.236145E+06           343.226654E-03           988.246216E-03            10.3192024                8.72719002               1.59201324    
                   7.24625969E+03           0.                     110.94458E+06            323.320435E+06           162.246613E+06           326.487091E+06           343.224152E-03           988.256836E-03            10.3197613                8.72766972               1.59209275    
                   7.25139999E+03           0.                     123.260422E+06           359.214478E+06           180.258163E+06           362.73175E+06            343.221649E-03           988.267273E-03            10.3203392                8.72816467               1.59217525    
                   7.25653982E+03           0.                     135.57399E+06            395.102386E+06           198.26651E+06            398.970123E+06           343.219055E-03           988.277771E-03            10.3209333                8.72867393               1.59225965    
