
                  X            AVERAGE_UVARM1     AVERAGE_UVARM2     AVERAGE_UVARM3     AVERAGE_UVARM4     AVERAGE_UVARM5     AVERAGE_UVARM6     AVERAGE_UVARM7     AVERAGE_UVARM8     AVERAGE_UVARM9    AVERAGE_UVARM10 

                7.20514E+03        0.                 6.15629E+06       12.8754E+06         7.20724E+06       14.4146E+06       478.144E-03        472.529E-03         10.3113             8.72043            1.59089    
                7.21028E+03        0.                12.3121E+06        25.7507E+06        14.4143E+06        28.8288E+06       478.126E-03        472.605E-03         10.3114             8.72049            1.5909     
                7.21542E+03        0.                18.4674E+06        38.626E+06         21.6212E+06        43.2428E+06       478.107E-03        472.681E-03         10.3115             8.72055            1.59091    
                7.22056E+03        0.                24.6222E+06        51.5013E+06        28.828E+06         57.6563E+06       478.089E-03        472.757E-03         10.3115             8.72061            1.59092    
                7.2257E+03         0.                30.7765E+06        64.3765E+06        36.0345E+06        72.0696E+06       478.071E-03        472.833E-03         10.3116             8.72066            1.59093    
                7.23084E+03        0.                36.9303E+06        77.2517E+06        43.2409E+06        86.4825E+06       478.052E-03        472.909E-03         10.3117             8.72072            1.59094    
                7.23598E+03        0.                43.0836E+06        90.1268E+06        50.4472E+06       100.895E+06        478.034E-03        472.985E-03         10.3117             8.72078            1.59095    
                7.24112E+03        0.                49.2365E+06       103.002E+06         57.6532E+06       115.307E+06        478.015E-03        473.061E-03         10.3118             8.72083            1.59096    
                7.24626E+03        0.                55.3888E+06       115.877E+06         64.8591E+06       129.719E+06        477.997E-03        473.137E-03         10.3119             8.72089            1.59097    
                7.2514E+03         0.                61.5406E+06       128.752E+06         72.0648E+06       144.131E+06        477.978E-03        473.213E-03         10.3119             8.72094            1.59098    
                7.25654E+03        0.                67.692E+06        141.627E+06         79.2704E+06       158.542E+06        477.96E-03         473.289E-03         10.312              8.72099            1.59098    
                7.26168E+03        0.                73.8428E+06       154.502E+06         86.4757E+06       172.953E+06        477.942E-03        473.365E-03         10.312              8.72105            1.59099    
                7.26682E+03        0.                79.9932E+06       167.377E+06         93.681E+06        187.363E+06        477.923E-03        473.441E-03         10.3121             8.7211             1.591      
                7.27196E+03        0.                86.1431E+06       180.251E+06        100.886E+06        201.774E+06        477.905E-03        473.516E-03         10.3122             8.72115            1.59101    
                7.2771E+03         0.                92.2924E+06       193.126E+06        108.091E+06        216.184E+06        477.887E-03        473.592E-03         10.3122             8.7212             1.59102    
                7.28224E+03        0.                98.4413E+06       206.001E+06        115.296E+06        230.593E+06        477.868E-03        473.668E-03         10.3123             8.72125            1.59103    
                7.28738E+03        0.               104.59E+06         218.876E+06        122.5E+06          245.002E+06        477.85E-03         473.744E-03         10.3123             8.7213             1.59104    
                7.29252E+03        0.               110.738E+06        231.75E+06         129.705E+06        259.411E+06        477.831E-03        473.82E-03          10.3124             8.72134            1.59104    
                7.29766E+03        0.               116.885E+06        244.625E+06        136.909E+06        273.82E+06         477.813E-03        473.895E-03         10.3124             8.7214             1.59105    
                7.3028E+03         0.               123.032E+06        257.5E+06          144.113E+06        288.228E+06        477.795E-03        473.971E-03         10.3125             8.72144            1.59106    
                7.30794E+03        0.               129.178E+06        270.374E+06        151.317E+06        302.636E+06        477.776E-03        474.047E-03         10.3126             8.72149            1.59107    
                7.31308E+03        0.               135.324E+06        283.249E+06        158.52E+06         317.043E+06        477.758E-03        474.123E-03         10.3126             8.72154            1.59107    
                7.31822E+03        0.               141.47E+06         296.123E+06        165.724E+06        331.451E+06        477.74E-03         474.198E-03         10.3127             8.72158            1.59108    
                7.32336E+03        0.               147.615E+06        308.997E+06        172.927E+06        345.858E+06        477.723E-03        474.268E-03         10.3127             8.72163            1.59109    
                7.3285E+03         0.               153.782E+06        321.875E+06        180.139E+06        360.281E+06        477.769E-03        474.078E-03         10.3128             8.72167            1.5911     
                7.33364E+03        0.               159.988E+06        334.762E+06        187.366E+06        374.735E+06        477.916E-03        473.475E-03         10.3128             8.72171            1.5911     
                7.33878E+03        0.               166.248E+06        347.665E+06        194.616E+06        389.236E+06        478.184E-03        472.375E-03         10.3129             8.72176            1.59111    
                7.34392E+03        0.               172.57E+06         360.593E+06        201.896E+06        403.795E+06        478.572E-03        470.779E-03         10.3129             8.7218             1.59112    
                7.34906E+03        0.               178.962E+06        373.554E+06        209.21E+06         418.423E+06        479.08E-03         468.688E-03         10.313              8.72184            1.59113    
                7.3542E+03         0.               185.432E+06        386.554E+06        216.563E+06        433.131E+06        479.705E-03        466.111E-03         10.313              8.72188            1.59113    
                7.35934E+03        0.               191.985E+06        399.602E+06        223.962E+06        447.928E+06        480.441E-03        463.074E-03         10.3131             8.72192            1.59114    
                7.36448E+03        0.               198.63E+06         412.707E+06        231.411E+06        462.826E+06        481.285E-03        459.585E-03         10.3131             8.72196            1.59114    
                7.36962E+03        0.               205.371E+06        425.877E+06        238.915E+06        477.835E+06        482.231E-03        455.665E-03         10.3132             8.722              1.59115    
                7.37476E+03        0.               212.217E+06        439.121E+06        246.481E+06        492.966E+06        483.276E-03        451.326E-03         10.3132             8.72204            1.59116    
                7.3799E+03         0.               219.174E+06        452.45E+06         254.113E+06        508.232E+06        484.416E-03        446.578E-03         10.3132             8.72208            1.59116    
                7.38504E+03        0.               226.252E+06        465.874E+06        261.82E+06         523.646E+06        485.65E-03         441.431E-03         10.3133             8.72212            1.59117    
                7.39018E+03        0.               233.459E+06        479.406E+06        269.608E+06        539.222E+06        486.974E-03        435.883E-03         10.3133             8.72215            1.59118    
                7.39532E+03        0.               240.804E+06        493.059E+06        277.485E+06        554.976E+06        488.389E-03        429.942E-03         10.3134             8.72219            1.59118    
                7.40046E+03        0.               248.301E+06        506.847E+06        285.46E+06         570.927E+06        489.894E-03        423.596E-03         10.3134             8.72223            1.59119    
                7.4056E+03         0.               255.963E+06        520.788E+06        293.544E+06        587.096E+06        491.492E-03        416.839E-03         10.3135             8.72226            1.5912     
                7.41074E+03        0.               263.804E+06        534.902E+06        301.749E+06        603.505E+06        493.181E-03        409.664E-03         10.3135             8.7223             1.5912     
                7.41588E+03        0.               271.841E+06        549.212E+06        310.087E+06        620.183E+06        494.966E-03        402.047E-03         10.3135             8.72234            1.59121    
                7.42102E+03        0.               280.097E+06        563.743E+06        318.577E+06        637.163E+06        496.853E-03        393.964E-03         10.3136             8.72237            1.59121    
                7.42616E+03        0.               288.596E+06        578.529E+06        327.237E+06        654.482E+06        498.845E-03        385.387E-03         10.3136             8.7224             1.59122    
                7.4313E+03         0.               297.368E+06        593.608E+06        336.09E+06         672.19E+06         500.95E-03         376.275E-03         10.3137             8.72244            1.59122    
                7.43644E+03        0.               306.449E+06        609.029E+06        345.165E+06        690.342E+06        503.177E-03        366.58E-03          10.3137             8.72247            1.59123    
                7.44158E+03        0.               315.886E+06        624.851E+06        354.5E+06          709.012E+06        505.539E-03        356.237E-03         10.3137             8.7225             1.59123    
                7.44672E+03        0.               325.738E+06        641.153E+06        364.141E+06        728.294E+06        508.05E-03         345.168E-03         10.3138             8.72253            1.59124    
                7.45186E+03        0.               336.081E+06        658.041E+06        374.15E+06         748.314E+06        510.729E-03        333.275E-03         10.3138             8.72256            1.59125    
                7.457E+03          0.               347.02E+06         675.664E+06        384.617E+06        769.248E+06        513.598E-03        320.442E-03         10.3138             8.7226             1.59125    
                7.46214E+03        0.               358.702E+06        694.244E+06        395.671E+06        791.356E+06        516.68E-03         306.535E-03         10.3139             8.72263            1.59126    
                7.46728E+03        0.               371.344E+06        714.147E+06        407.52E+06         815.055E+06        519.984E-03        291.485E-03         10.3139             8.72266            1.59126    
                7.47242E+03        0.               385.292E+06        736.134E+06        420.585E+06        841.184E+06        523.399E-03        275.76E-03          10.314              8.72268            1.59126    
                7.47756E+03        0.               399.222E+06        757.878E+06        433.509E+06        867.031E+06        526.762E-03        260.118E-03         10.314              8.72271            1.59127    
                7.4827E+03         0.               411.608E+06        778.506E+06        445.596E+06        891.204E+06        528.715E-03        250.95E-03          10.314              8.72274            1.59127    
                7.48784E+03        0.               423.27E+06         797.947E+06        456.975E+06        913.977E+06        530.449E-03        242.862E-03         10.3141             8.72277            1.59128    
                7.49298E+03        0.               434.519E+06        816.307E+06        467.727E+06        935.667E+06        532.299E-03        235.172E-03         10.3141             8.72279            1.59128    
                7.49812E+03        0.               445.688E+06        833.351E+06        477.689E+06        956.567E+06        534.814E-03        228.741E-03         10.3141             8.72282            1.59129    
                7.50326E+03        0.               456.659E+06        847.495E+06        485.855E+06        975.983E+06        538.834E-03        226.801E-03         10.3141             8.72285            1.59129    
                7.5084E+03         0.               462.84E+06         868.124E+06        497.608E+06        995.085E+06        533.15E-03         229.15E-03          10.3142             8.72286            1.59129    
