
                  X            AVERAGE_UVARM1     AVERAGE_UVARM2     AVERAGE_UVARM3     AVERAGE_UVARM4     AVERAGE_UVARM5     AVERAGE_UVARM6     AVERAGE_UVARM7     AVERAGE_UVARM8     AVERAGE_UVARM9    AVERAGE_UVARM10 

                7.2E+03            0.                 0.                 0.                 0.                 0.                 0.                 0.                10.2396             8.65896            1.58068    
                7.20716E+03        0.                18.5098E+06        51.4897E+06        26.11E+06          52.8254E+06       359.548E-03        952.066E-03         10.2397             8.65898            1.58068    
                7.21432E+03        0.                37.0135E+06       102.965E+06         52.2125E+06       105.635E+06        359.54E-03         952.065E-03         10.2402             8.65947            1.58076    
                7.22148E+03        0.                55.5111E+06       154.425E+06         78.3076E+06       158.428E+06        359.533E-03        952.065E-03         10.241              8.66014            1.58087    
                7.22864E+03        0.                74.0027E+06       205.87E+06         104.395E+06        211.206E+06        359.525E-03        952.064E-03         10.2419             8.6609             1.581      
                7.2358E+03         0.                92.4882E+06       257.301E+06        130.475E+06        263.968E+06        359.517E-03        952.064E-03         10.2428             8.6617             1.58113    
                7.24296E+03        0.               110.968E+06        308.717E+06        156.548E+06        316.714E+06        359.51E-03         952.063E-03         10.2438             8.66253            1.58127    
                7.25012E+03        0.               129.441E+06        360.118E+06        182.613E+06        369.444E+06        359.502E-03        952.063E-03         10.2448             8.66338            1.58141    
                7.25728E+03        0.               147.908E+06        411.505E+06        208.671E+06        422.158E+06        359.494E-03        952.062E-03         10.2458             8.66425            1.58156    
                7.26444E+03        0.               166.369E+06        462.877E+06        234.722E+06        474.856E+06        359.487E-03        952.062E-03         10.2468             8.66512            1.5817     
                7.2716E+03         0.               184.825E+06        514.234E+06        260.764E+06        527.539E+06        359.479E-03        952.061E-03         10.2479             8.66601            1.58185    
                7.27876E+03        0.               203.274E+06        565.577E+06        286.8E+06          580.206E+06        359.471E-03        952.061E-03         10.2489             8.6669             1.582      
                7.28592E+03        0.               221.717E+06        616.905E+06        312.828E+06        632.857E+06        359.464E-03        952.061E-03         10.2499             8.6678             1.58215    
                7.29308E+03        0.               240.154E+06        668.218E+06        338.849E+06        685.492E+06        359.456E-03        952.061E-03         10.251              8.6687             1.5823     
                7.30024E+03        0.               258.585E+06        719.517E+06        364.862E+06        738.112E+06        359.448E-03        952.06E-03          10.2521             8.66961            1.58245    
                7.3074E+03         0.               277.01E+06         770.801E+06        390.868E+06        790.715E+06        359.441E-03        952.06E-03          10.2531             8.67052            1.5826     
                7.31456E+03        0.               295.429E+06        822.071E+06        416.867E+06        843.303E+06        359.433E-03        952.059E-03         10.2542             8.67143            1.58275    
                7.32172E+03       28.8259E-06       313.379E+06        868.831E+06        440.953E+06        892.394E+06        360.701E-03        949.08E-03          10.2554             8.67234            1.58303    
                7.32888E+03      255.683E-06        323.678E+06        880.788E+06        449.776E+06        910.442E+06        367.488E-03        927.137E-03         10.2583             8.67404            1.58429    
                7.33604E+03      541.246E-06        332.656E+06        887.238E+06        456.242E+06        923.36E+06         374.934E-03        901.452E-03         10.2645             8.67828            1.58624    
                7.3432E+03       858.327E-06        341.394E+06        893.08E+06         462.271E+06        935.536E+06        382.267E-03        876.485E-03         10.2638             8.67646            1.58732    
                7.35036E+03        1.20516E-03      349.485E+06        898.466E+06        467.802E+06        946.698E+06        388.979E-03        853.401E-03         10.264              8.67539            1.58865    
                7.35752E+03        1.57854E-03      356.763E+06        903.916E+06        472.953E+06        957.086E+06        394.687E-03        833.589E-03         10.2651             8.67487            1.59019    
                7.36468E+03        1.97804E-03      363.115E+06        909.705E+06        477.783E+06        966.83E+06         399.157E-03        817.963E-03         10.2663             8.67445            1.59186    
                7.37184E+03        2.40851E-03      368.265E+06        915.155E+06        481.951E+06        975.239E+06        402.408E-03        806.528E-03         10.2678             8.67413            1.59368    
                7.379E+03          2.86699E-03      372.255E+06        920.866E+06        485.696E+06        982.802E+06        404.245E-03        800.047E-03         10.2694             8.6738             1.59562    
                7.38616E+03        3.35648E-03      375.067E+06        926.492E+06        488.897E+06        989.275E+06        404.825E-03        798.007E-03         10.271              8.6733             1.59766    
                7.39332E+03        3.8759E-03       376.765E+06        932.276E+06        491.674E+06        994.889E+06        404.135E-03        800.419E-03         10.2726             8.67277            1.59984    
                7.40048E+03        4.42851E-03      377.388E+06        938.001E+06        493.958E+06        999.521E+06        402.332E-03        806.783E-03         10.2742             8.67205            1.60212    
                7.40764E+03        5.01389E-03      377.056E+06        943.897E+06        495.882E+06          1.00343E+09      399.468E-03        816.849E-03         10.2758             8.67129            1.60454    
                7.4148E+03         5.63585E-03      375.833E+06        949.713E+06        497.373E+06          1.00646E+09      395.734E-03        829.917E-03         10.2775             8.67037            1.60709    
                7.42196E+03        6.29583E-03      373.856E+06        955.647E+06        498.551E+06          1.00887E+09      391.208E-03        845.689E-03         10.2792             8.66938            1.60979    
                7.42912E+03        6.99716E-03      371.24E+06         961.652E+06        499.443E+06          1.0107E+09       386.044E-03        863.568E-03         10.281              8.66831            1.61266    
                7.43628E+03        7.74459E-03      368.127E+06        967.636E+06        500.075E+06          1.012E+09        380.44E-03         882.834E-03         10.2829             8.66714            1.61571    
