
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                      10.3162289                8.72463989               1.59158945               1.31608951               1.11304295             203.0466E-03              10.0000038E+09          924.223572E-03           176.717102E-03  
                   7.20603991E+03           0.                      15.3306618E+06           43.3038368E+06           44.1960182E+06          354.563477E-03           969.790161E-03            10.3162355                8.72464657               1.59159052               1.31609046               1.11304379             203.046707E-03            10.0000038E+09          924.223572E-03           176.717056E-03  
                   7.21208E+03              0.                      30.6572056E+06           86.5981827E+06           88.3816071E+06          354.554443E-03           969.817017E-03            10.3165016                8.72487259               1.59162819               1.31612408               1.11307275             203.051529E-03            10.0000038E+09          924.225342E-03           176.715729E-03  
                   7.2181201E+03            0.                      45.9796715E+06          129.883026E+06           132.556793E+06           354.545471E-03           969.844055E-03            10.3169832                8.72528839               1.5916971                1.31618583               1.11312556             203.060318E-03            10.0000038E+09          924.228516E-03           176.713333E-03  
                   7.22416019E+03           0.                      61.2980003E+06          173.158432E+06           176.721542E+06           354.536438E-03           969.871155E-03            10.3176556                8.72586346               1.59179282               1.31627131               1.11319911             203.072525E-03            10.0000038E+09          924.233154E-03           176.709991E-03  
                   7.23020029E+03           0.                      76.6122589E+06          216.424347E+06           220.875916E+06           354.527466E-03           969.897888E-03            10.3184891                8.72657776               1.59191155               1.31637776               1.11329031             203.087677E-03            10.0000038E+09          924.23877E-03            176.705795E-03  
                   7.23624039E+03           0.                      91.9223785E+06          259.680756E+06           265.019897E+06           354.518463E-03           969.924866E-03            10.3194637                8.72741413               1.59205031               1.31650221               1.11339688             203.105408E-03            10.0000038E+09          924.245422E-03           176.700974E-03  
                   7.24228001E+03           0.                     107.228447E+06           302.927826E+06           309.153503E+06           354.509491E-03           969.951843E-03            10.3205624                8.72835636               1.59220672               1.31664217               1.11351717             203.125366E-03            10.0000038E+09          924.252869E-03           176.69548E-03   
                   7.24831963E+03           0.                     122.530449E+06           346.165314E+06           353.276672E+06           354.50058E-03            969.978516E-03            10.3217688                8.72939014               1.59237885               1.3167963                1.11364901             203.147308E-03            10.0000038E+09          924.261108E-03           176.689468E-03  
                   7.25435972E+03           0.                     137.828247E+06           389.393372E+06           397.389557E+06           354.491638E-03           970.00531E-03             10.3230705                8.73050594               1.59256411               1.31696212               1.11379147             203.170944E-03            10.0000038E+09          924.269836E-03           176.683014E-03  
                   7.26039982E+03           0.                     153.122131E+06           432.612091E+06           441.492096E+06           354.482697E-03           970.032288E-03            10.3244562                8.73169422               1.5927614                1.31713903               1.11394298             203.196121E-03            10.0000038E+09          924.279236E-03           176.676117E-03  
                   7.26643991E+03           0.                     168.411865E+06           475.821289E+06           485.584229E+06           354.473755E-03           970.05896E-03             10.3259144                8.73294735               1.59296966               1.31732535               1.11410284             203.222626E-03            10.0000038E+09          924.289062E-03           176.668839E-03  
                   7.27248001E+03           0.                     183.697403E+06           519.021179E+06           529.666138E+06           354.464783E-03           970.085693E-03            10.3274412                8.73425674               1.59318721               1.31752002               1.11426985             203.250412E-03            10.0000038E+09          924.299377E-03           176.661224E-03  
                   7.27852011E+03           0.                     198.97908E+06            562.211487E+06           573.737549E+06           354.455841E-03           970.112427E-03            10.3290291                8.73561668               1.593413                 1.31772244               1.1144433              203.279251E-03            10.0000038E+09          924.31012E-03            176.653351E-03  
                   7.2845602E+03            0.                     214.256516E+06           605.392578E+06           617.798828E+06           354.446869E-03           970.13916E-03             10.3306694                8.7370224                1.59364676               1.31793141               1.11462283             203.309052E-03            10.0000038E+09          924.321167E-03           176.645218E-03  
                   7.2906003E+03            0.                     229.529999E+06           648.564209E+06           661.849548E+06           354.43808E-03            970.165649E-03            10.3323565                8.73846912               1.59388733               1.31814694               1.11480749             203.339722E-03            10.0000038E+09          924.332642E-03           176.636871E-03  
                   7.29663992E+03           0.                     244.799408E+06           691.726196E+06           705.890198E+06           354.429077E-03           970.192444E-03            10.3340883                8.73995495               1.59413385               1.31836772               1.11499679             203.371231E-03            10.0000038E+09          924.344299E-03           176.628296E-03  
                   7.30268002E+03           0.                     260.06488E+06            734.879211E+06           749.920288E+06           354.420258E-03           970.218994E-03            10.3358603                8.7414732                1.59438634               1.31859386               1.11519063             203.403397E-03            10.0000038E+09          924.356079E-03           176.619507E-03  
                   7.30872011E+03           0.                     275.326019E+06           778.022583E+06           793.940308E+06           354.411316E-03           970.245667E-03            10.3376665                8.74302292               1.59464383               1.31882441               1.11538827             203.436234E-03            10.0000038E+09          924.368347E-03           176.610535E-03  
                   7.31475973E+03           0.                     290.583221E+06           821.156738E+06           837.94989E+06            354.402435E-03           970.272095E-03            10.3395071                8.74460125               1.59490597               1.31905925               1.11558938             203.469711E-03            10.0000038E+09          924.380737E-03           176.601456E-03  
                   7.32079983E+03          79.6060486E-06          305.117462E+06           855.208984E+06           875.207092E+06           356.899323E-03           976.125122E-03            10.3417234                8.74620533               1.59552109               1.31934226               1.11579418             203.548111E-03             1.602121E+12           924.39563E-03            176.5905E-03    
                   7.32683992E+03         282.118073E-06           315.464569E+06           872.285706E+06           896.973145E+06           361.653748E-03           989.507874E-03            10.3447781                8.74806309               1.59671772               1.31973183               1.11603117             203.700699E-03             5.65236092E+12         924.416077E-03           176.575333E-03  
                   7.33288002E+03         576.341614E-06           321.211884E+06           875.005188E+06           904.537354E+06           367.098053E-03           992.106567E-03            10.3486052                8.75023651               1.59837008               1.32022011               1.11630845             203.911545E-03            11.5368309E+12          924.441833E-03           176.556412E-03  
                   7.33892012E+03         923.036743E-06           326.013458E+06           878.209717E+06           911.442871E+06           371.226349E-03           979.98407E-03             10.3525515                8.75231552               1.60023761               1.32072365               1.11657381             204.149811E-03            18.4707355E+12          924.468689E-03           176.536911E-03  
                   7.34495974E+03           1.31113195E-03         329.556213E+06           881.796936E+06           917.34375E+06            373.733917E-03           972.581116E-03            10.3561459                8.75393581               1.602211                 1.32118177               1.11678028             204.401581E-03            26.2326431E+12          924.492737E-03           176.519196E-03  
                   7.35099983E+03           1.72552979E-03         331.636841E+06           885.627197E+06           921.967773E+06           374.467072E-03           971.541992E-03            10.3582935                8.75421906               1.6040777                1.32145619               1.11681664             204.639709E-03            34.5205956E+12          924.507202E-03           176.50853E-03   
                   7.35703993E+03           2.17052841E-03         332.463196E+06           889.740234E+06           925.546997E+06           373.664856E-03           975.439697E-03            10.3595104                8.75358677               1.60592568               1.32161152               1.11673594             204.875458E-03            43.4205742E+12          924.515442E-03           176.502518E-03  
                   7.36308002E+03           2.64832234E-03         332.411865E+06           894.156555E+06           928.45929E+06            371.762146E-03           981.973328E-03            10.3603249                8.75248718               1.60783911               1.32171535               1.11659551             205.119583E-03            52.9764481E+12          924.520874E-03           176.498444E-03  
                   7.36912012E+03           3.15557289E-03         331.627136E+06           898.844849E+06           930.81488E+06            368.950195E-03           982.358398E-03            10.3609457                8.75111294               1.60983551               1.32179451               1.11642027             205.374252E-03            63.1214561E+12          924.525146E-03           176.495316E-03  
                   7.37516022E+03           3.68867588E-03         330.283783E+06           903.772461E+06           932.75061E+06            365.452209E-03           981.504089E-03            10.3613214                8.7494297                1.61189306               1.32184231               1.11620545             205.636719E-03            73.7835159E+12          924.527832E-03           176.493423E-03  
                   7.38120031E+03           4.24965858E-03         328.668549E+06           908.957397E+06           934.555481E+06           361.590698E-03           977.403992E-03            10.3615294                8.74749851               1.61402988               1.32186866               1.11595941             205.909317E-03            85.0031967E+12          924.529236E-03           176.49234E-03   
