
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                      10.3157949                8.72426701               1.59152794               1.31603432               1.11299539             203.038681E-03            10.0000038E+09          924.220581E-03           176.719238E-03  
                   7.20554972E+03           0.                       6.75881195E+06          14.8358383E+06           16.3916874E+06          455.573364E-03           563.087585E-03            10.3158064                8.72427845               1.59152913               1.31603563               1.11299682             203.038895E-03            10.0000038E+09          924.220642E-03           176.719223E-03  
                   7.2111001E+03            0.                      13.5171127E+06           29.6718407E+06           32.7831573E+06          455.553589E-03           563.165405E-03            10.3158169                8.72428799               1.59153092               1.31603694               1.11299813             203.039108E-03            10.0000038E+09          924.220764E-03           176.719177E-03  
                   7.21665001E+03           0.                      20.2749062E+06           44.5080299E+06           49.1744232E+06          455.533844E-03           563.243225E-03            10.3158274                8.72429752               1.59153247               1.31603837               1.11299932             203.039352E-03            10.0000038E+09          924.220764E-03           176.719086E-03  
                   7.22220039E+03           0.                      27.032177E+06            59.3443756E+06           65.5654526E+06          455.513977E-03           563.320923E-03            10.3158417                8.72430897               1.59153426               1.31604016               1.11300075             203.039566E-03            10.0000038E+09          924.220825E-03           176.718994E-03  
                   7.22774982E+03           0.                      33.7889633E+06           74.1808929E+06           81.9562912E+06          455.494141E-03           563.398499E-03            10.315855                 8.7243185                1.59153616               1.31604183               1.11300194             203.039795E-03            10.0000038E+09          924.220825E-03           176.718979E-03  
                   7.23329973E+03           0.                      40.5452385E+06           89.0176086E+06           98.3468933E+06          455.474426E-03           563.476318E-03            10.3158627                8.72432709               1.59153771               1.31604314               1.11300302             203.039993E-03            10.0000038E+09          924.220886E-03           176.718933E-03  
                   7.23885012E+03           0.                      47.300972E+06           103.854439E+06           114.737282E+06           455.454651E-03           563.553833E-03            10.3158731                8.72433853               1.59153938               1.31604445               1.11300409             203.040131E-03            10.0000038E+09          924.220947E-03           176.718842E-03  
                   7.24440002E+03           0.                      54.0562477E+06          118.691483E+06           131.127487E+06           455.434814E-03           563.631653E-03            10.3158865                8.72434711               1.59154058               1.31604576               1.11300564             203.040344E-03            10.0000038E+09          924.220947E-03           176.71875E-03   
                   7.24995041E+03           0.                      60.8109741E+06          133.528687E+06           147.51741E+06            455.414978E-03           563.709167E-03            10.315897                 8.7243557                1.59154201               1.31604719               1.11300659             203.040543E-03            10.0000038E+09          924.221069E-03           176.718735E-03  
                   7.25549984E+03           0.                      67.565239E+06           148.366074E+06           163.907196E+06           455.395325E-03           563.786804E-03            10.3159075                8.72436428               1.59154379               1.31604838               1.11300766             203.040756E-03            10.0000038E+09          924.221069E-03           176.718719E-03  
                   7.26104975E+03           0.                      74.3189392E+06          163.203613E+06           180.296738E+06           455.375549E-03           563.86438E-03             10.315918                 8.72437382               1.59154558               1.3160497                1.11300886             203.04097E-03             10.0000038E+09          924.221069E-03           176.718689E-03  
                   7.26660013E+03           0.                      81.0721436E+06          178.041382E+06           196.686035E+06           455.355682E-03           563.941833E-03            10.3159285                8.72438049               1.59154677               1.31605148               1.11300981             203.041168E-03            10.0000038E+09          924.221497E-03           176.718597E-03  
