
                     X                   displacement                force         

                   7.19999981E+03           0.                      -0.            
                   7.20664978E+03          16.6200027E-06          239.499298      
                   7.21329975E+03          33.2400055E-06          478.998596      
                   7.2199502E+03           49.8599854E-06          718.498047      
                   7.22660017E+03          66.480011E-06           957.997192      
                   7.23325014E+03          83.100029E-06             1.19749606E+03
                   7.23990011E+03          99.7199707E-06            1.43699336E+03
                   7.24654961E+03         116.339958E-06             1.67648911E+03
                   7.25320005E+03         132.960022E-06             1.91597974E+03
                   7.25985003E+03         149.579987E-06             2.15546322E+03
                   7.2665E+03             166.200058E-06             2.39493489E+03
                   7.27314997E+03         182.820007E-06             2.63439059E+03
                   7.27979994E+03         199.439941E-06             2.87382269E+03
                   7.28645039E+03         216.059967E-06             3.11322379E+03
                   7.29309988E+03         232.679916E-06             3.35258293E+03
                   7.29974985E+03         249.300064E-06             3.59189057E+03
                   7.30639982E+03         265.920044E-06             3.83113265E+03
                   7.31304979E+03         282.540009E-06             4.07029152E+03
                   7.31970024E+03         299.159973E-06             4.30935383E+03
                   7.32635021E+03         315.779938E-06             4.54829884E+03
                   7.33300018E+03         332.400116E-06             4.78708887E+03
                   7.33964968E+03         349.02002E-06              5.02570009E+03
                   7.34629965E+03         365.640015E-06             5.26409483E+03
                   7.3529501E+03          382.260071E-06             5.50224924E+03
                   7.35960007E+03         398.879883E-06             5.74012756E+03
                   7.36625004E+03         415.5E-06                  5.97768688E+03
                   7.37290001E+03         432.119934E-06             6.21489334E+03
                   7.37954998E+03         448.740051E-06             6.45170832E+03
                   7.38620043E+03         465.359833E-06             6.68808031E+03
                   7.39284992E+03         481.97995E-06              6.92396498E+03
                   7.39949989E+03         498.600128E-06             7.1593132E+03 
                   7.40614986E+03         515.219788E-06             7.3940711E+03 
                   7.41279984E+03         531.840088E-06             7.62818527E+03
                   7.41945028E+03         548.459839E-06             7.86159277E+03
                   7.42610025E+03         565.080017E-06             8.09423447E+03
                   7.43275023E+03         581.700195E-06             8.32603741E+03
                   7.43939972E+03         598.319946E-06             8.55693531E+03
                   7.44604969E+03         614.940063E-06             8.78684425E+03
                   7.45270014E+03         631.559875E-06             9.01567936E+03
                   7.45935011E+03         648.179993E-06             9.24334145E+03
                   7.46600008E+03         664.800232E-06             9.46970844E+03
                   7.47265005E+03         681.420044E-06             9.69460773E+03
                   7.47930002E+03         698.040039E-06             9.91775322E+03
                   7.48594999E+03         714.65979E-06             10.1388206E+03 
                   7.49259996E+03         731.280029E-06            10.3573732E+03 
                   7.49924994E+03         747.90033E-06             10.5727549E+03 
                   7.50589991E+03         764.520142E-06            10.7838268E+03 
                   7.51254988E+03         781.139954E-06            10.9880743E+03 
                   7.51920033E+03         797.759766E-06            11.172842E+03  
                   7.5258503E+03          814.380066E-06            11.3065891E+03 
                   7.53249979E+03         831.E-06                  11.4037352E+03 
                   7.53914976E+03         847.620239E-06            11.4382458E+03 
                   7.54579973E+03         864.239868E-06            11.399416E+03  
                   7.55245018E+03         880.859863E-06            11.1976767E+03 
                   7.55910015E+03         897.480103E-06            10.7218294E+03 
                   7.56575012E+03         914.100098E-06             9.58848858E+03
                   7.57240009E+03         930.719666E-06             7.62483644E+03
                   7.57240009E+03         930.719666E-06             4.14453268E+03




