
                     X                   displacement                force         

                   0.                       0.                      -0.            
                   1.44000006E+03           0.                      -0.            
                   2.88000011E+03           0.                      -0.            
                   4.32000017E+03           0.                      -0.            
                   5.76000023E+03           0.                      -0.            
                   7.19999981E+03           0.                      -0.            
                   7.19999981E+03           0.                      -0.            
                   7.20674992E+03          16.8799953E-06          236.804077      
                   7.21350002E+03          33.7599907E-06          473.570221      
                   7.22025013E+03          50.6400032E-06          710.298523      
                   7.22700024E+03          67.5199814E-06          946.989014      
                   7.23374987E+03          84.3999786E-06            1.18364191E+03
                   7.24049997E+03         101.280006E-06             1.42025673E+03
                   7.24725008E+03         118.159981E-06             1.65683401E+03
                   7.25400019E+03         135.039963E-06             1.89337313E+03
                   7.26074982E+03         151.919968E-06             2.12987447E+03
                   7.26749992E+03         168.799957E-06             2.36633849E+03
                   7.27425003E+03         185.680069E-06             2.60276437E+03
                   7.28100014E+03         202.560013E-06             2.83915162E+03
                   7.28774977E+03         219.440063E-06             3.07550216E+03
                   7.29449987E+03         236.319962E-06             3.31181598E+03
                   7.30124998E+03         253.200027E-06             3.54809022E+03
                   7.30800009E+03         270.079926E-06             3.78432798E+03
                   7.31475019E+03         286.959991E-06             4.02052689E+03
                   7.32149982E+03         303.839935E-06             4.25668859E+03
                   7.32824993E+03         320.719971E-06             4.49281263E+03
                   7.33500004E+03         337.599915E-06             4.728899E+03  
                   7.34175014E+03         354.480011E-06             4.9649477E+03 
                   7.34849977E+03         371.360138E-06             5.20095778E+03
                   7.35524988E+03         388.240112E-06             5.43693161E+03
                   7.36199999E+03         405.120026E-06             5.67286777E+03
                   7.3687501E+03          422.E-06                   5.90876532E+03
                   7.3755002E+03          438.880127E-06             6.14462662E+03
                   7.38224983E+03         455.760132E-06             6.38044882E+03
                   7.38899994E+03         472.639923E-06             6.6162343E+03 
                   7.39575005E+03         489.519958E-06             6.85198069E+03
                   7.40250015E+03         506.400055E-06             7.08768988E+03
                   7.40924978E+03         523.280151E-06             7.32321596E+03
                   7.41599989E+03         540.159851E-06             7.5581975E+03 
                   7.42275E+03            557.039917E-06             7.79237795E+03
                   7.4295001E+03          573.919983E-06             8.02548695E+03
                   7.43625021E+03         590.80011E-06              8.25723553E+03
                   7.44299984E+03         607.679871E-06             8.4872303E+03 
