
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.3157406                8.72422028               1.59152031    
                   7.20716E+03              0.                      15.6792803E+06           39.2376518E+06           20.4515762E+06           41.756115E+06           399.831482E-03           849.183411E-03            10.3157597                8.72423744               1.59152293    
                   7.21431971E+03           0.                      31.3541718E+06           78.4708862E+06           40.8998108E+06           83.5051193E+06          399.797882E-03           849.285095E-03            10.316205                 8.72461891               1.59158659    
                   7.22147989E+03           0.                      47.0246658E+06          117.699677E+06            61.3447037E+06          125.247009E+06           399.764374E-03           849.386414E-03            10.3171196                8.72540283               1.59171665    
                   7.22864008E+03           0.                      62.690773E+06           156.924057E+06            81.7862625E+06          166.981812E+06           399.730865E-03           849.487793E-03            10.3184481                8.72654247               1.59190619    
                   7.23579979E+03           0.                      78.3525238E+06          196.144058E+06           102.224495E+06           208.709488E+06           399.697327E-03           849.588989E-03            10.3201227                8.72797966               1.59214461    
                   7.24295998E+03           0.                      94.0098801E+06          235.359573E+06           122.659386E+06           250.43013E+06            399.66391E-03            849.690186E-03            10.3220844                8.72966003               1.59242392    
                   7.25012016E+03           0.                     109.662895E+06           274.570709E+06           143.090942E+06           292.143616E+06           399.630371E-03           849.791321E-03            10.3242769                8.73154068               1.59273636    
                   7.25727987E+03           0.                     125.311539E+06           313.777466E+06           163.51918E+06            333.850098E+06           399.597015E-03           849.892334E-03            10.3266659                8.73358727               1.59307647    
                   7.26444006E+03           0.                     140.955795E+06           352.979797E+06           183.944077E+06           375.549347E+06           399.563629E-03           849.993225E-03            10.3292122                8.73577404               1.59343958    
                   7.27160025E+03           0.                     156.595642E+06           392.177643E+06           204.365692E+06           417.241638E+06           399.530212E-03           850.094116E-03            10.3318939                8.7380743                1.59382176    
                   7.27875996E+03           0.                     172.231232E+06           431.371094E+06           224.783951E+06           458.92688E+06            399.496948E-03           850.194885E-03            10.3346939                8.7404747                1.5942204     
                   7.28592014E+03           0.                     187.862411E+06           470.560211E+06           245.198853E+06           500.60498E+06            399.463623E-03           850.29541E-03             10.3375883                8.74295616               1.59463298    
                   7.29307985E+03           0.                     203.489304E+06           509.744812E+06           265.610504E+06           542.276062E+06           399.430267E-03           850.396179E-03            10.3405704                8.74551296               1.59505785    
                   7.30024004E+03           0.                     219.111786E+06           548.925049E+06           286.018768E+06           583.940063E+06           399.397095E-03           850.496399E-03            10.3436213                8.74812889               1.59549272    
                   7.30739975E+03           0.                     234.729919E+06           588.100952E+06           306.423767E+06           625.596985E+06           399.363861E-03           850.596863E-03            10.3467369                8.75079918               1.59593618    
                   7.31455994E+03           0.                     250.343811E+06           627.2724E+06             326.82547E+06            667.246948E+06           399.330658E-03           850.697021E-03            10.3499069                8.7535181                1.5963881     
                   7.32172012E+03           0.                     265.953339E+06           666.439453E+06           347.223816E+06           708.889709E+06           399.297455E-03           850.797302E-03            10.3531218                8.75627708               1.59684646    
                   7.32887983E+03           0.                     283.126038E+06           707.282166E+06           368.826385E+06           753.139404E+06           400.543243E-03           847.290955E-03            10.3563776                8.75906849               1.59730995    
                   7.33604002E+03           0.                     302.197052E+06           753.623535E+06           393.161621E+06           802.968994E+06           401.258301E-03           845.56189E-03             10.3655348                8.76691818               1.59861457    
                   7.34320021E+03           0.                     323.715607E+06           807.991821E+06           421.332092E+06           860.656433E+06           400.959534E-03           847.418213E-03            10.3870125                8.78533554               1.60167468    
                   7.35035992E+03          55.4590797E-06          344.392456E+06           858.272888E+06           446.390411E+06           914.986267E+06           401.347015E-03           857.807129E-03            10.4195156                8.81299877               1.606516      
