
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.3155928                8.72409344               1.59149909    
                   7.20514011E+03           0.                      11.5275345E+06           31.4137287E+06           16.1893997E+06           32.4372368E+06          367.03598E-03            893.209534E-03            10.315608                 8.72410679               1.59150147    
                   7.21027994E+03           0.                      23.053051E+06            62.8241081E+06           32.3766747E+06           64.8703003E+06          367.023407E-03           893.256165E-03            10.3156614                8.72415066               1.59150887    
                   7.21541977E+03           0.                      34.5765419E+06           94.2311707E+06           48.5618248E+06           97.2991562E+06          367.010834E-03           893.302917E-03            10.3157673                8.72424412               1.591524      
                   7.22056007E+03           0.                      46.0980339E+06          125.634827E+06            64.7448578E+06          129.723846E+06           366.99823E-03            893.349609E-03            10.3159361                8.72438717               1.59154773    
                   7.22570038E+03           0.                      57.6175194E+06          157.035217E+06            80.925766E+06           162.144379E+06           366.985626E-03           893.396118E-03            10.3161612                8.72458172               1.59157991    
                   7.23083973E+03           0.                      69.1349487E+06          188.43222E+06             97.1045685E+06          194.560699E+06           366.973022E-03           893.442871E-03            10.3164482                8.72482586               1.5916208     
                   7.23598003E+03           0.                      80.650383E+06           219.825928E+06           113.28125E+06            226.972885E+06           366.96051E-03            893.489563E-03            10.3167868                8.72511673               1.59166944    
                   7.24112034E+03           0.                      92.1638641E+06          251.216263E+06           129.455811E+06           259.380859E+06           366.947845E-03           893.536194E-03            10.3171806                8.72545338               1.59172499    
                   7.24625969E+03           0.                     103.675316E+06           282.603271E+06           145.628235E+06           291.784698E+06           366.935272E-03           893.582581E-03            10.3176165                8.72583008               1.5917877     
                   7.25139999E+03           0.                     115.184685E+06           313.986969E+06           161.798584E+06           324.184296E+06           366.922729E-03           893.62915E-03             10.3181                   8.72624302               1.59185636    
                   7.25653982E+03           0.                     126.692123E+06           345.367371E+06           177.966782E+06           356.579834E+06           366.910187E-03           893.675659E-03            10.3186216                8.72669125               1.59193063    
                   7.26168013E+03           0.                     138.197556E+06           376.744385E+06           194.132919E+06           388.97113E+06            366.897644E-03           893.722046E-03            10.3191814                8.72717094               1.59201002    
                   7.26681995E+03           0.                     149.700989E+06           408.118134E+06           210.296906E+06           421.358246E+06           366.885071E-03           893.768494E-03            10.3197718                8.72767639               1.59209466    
                   7.27195978E+03           0.                     161.202377E+06           439.488464E+06           226.458786E+06           453.741241E+06           366.872528E-03           893.81488E-03             10.3203926                8.72821045               1.59218311    
                   7.27710009E+03           0.                     172.701736E+06           470.85553E+06            242.618576E+06           486.120117E+06           366.859985E-03           893.861145E-03            10.3210421                8.7287674                1.59227562    
                   7.28224039E+03           0.                     184.199234E+06           502.219177E+06           258.776215E+06           518.494751E+06           366.847534E-03           893.907471E-03            10.3217173                8.72934628               1.5923717     
                   7.28737974E+03           0.                     195.69458E+06            533.579651E+06           274.931854E+06           550.865234E+06           366.834991E-03           893.953796E-03            10.3224173                8.72994423               1.5924716     
