
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.3132458                8.72208214               1.59116483    
                   7.20514011E+03           0.                       9.56876469E+06          22.0921555E+06           12.0335388E+06           24.0437336E+06          433.170563E-03           645.407593E-03            10.3132963                8.7221241                1.59117162    
                   7.21027994E+03           0.                      19.1361828E+06           44.1842728E+06           24.0665245E+06           48.0864334E+06          433.14035E-03            645.527893E-03            10.313343                 8.72216511               1.59117877    
                   7.21541977E+03           0.                      28.7022457E+06           66.2763596E+06           36.0989571E+06           72.1281052E+06          433.110107E-03           645.648132E-03            10.3133917                8.72220707               1.59118557    
                   7.22056007E+03           0.                      38.2669563E+06           88.3684082E+06           48.1308327E+06           96.1687469E+06          433.079895E-03           645.768311E-03            10.3134413                8.72224903               1.59119272    
                   7.22570038E+03           0.                      47.8303375E+06          110.460411E+06            60.1621742E+06          120.208359E+06           433.049744E-03           645.888367E-03            10.313489                 8.72229004               1.59119916    
                   7.23083973E+03           0.                      57.3923454E+06          132.552399E+06            72.192955E+06           144.246902E+06           433.019592E-03           646.008362E-03            10.3135376                8.72233105               1.59120631    
                   7.23598003E+03           0.                      66.9530258E+06          154.644348E+06            84.2231903E+06          168.2845E+06             432.989471E-03           646.128418E-03            10.3135834                8.72237015               1.59121275    
                   7.24112034E+03           0.                      76.5123672E+06          176.736252E+06            96.2528687E+06          192.32103E+06            432.959259E-03           646.248169E-03            10.3136292                8.7224102                1.59121943    
                   7.24625969E+03           0.                      86.0703583E+06          198.828094E+06           108.281982E+06           216.356491E+06           432.929169E-03           646.368103E-03            10.3136759                8.72244644               1.59122574    
                   7.25139999E+03           0.                      95.6269836E+06          220.919968E+06           120.31057E+06            240.390976E+06           432.899048E-03           646.488037E-03            10.3137188                8.7224865                1.59123194    
                   7.25653982E+03           0.                     105.182297E+06           243.011749E+06           132.338593E+06           264.424408E+06           432.868896E-03           646.607605E-03            10.3137627                8.72252464               1.59123838    
                   7.26168013E+03           0.                     114.736244E+06           265.103455E+06           144.366058E+06           288.456848E+06           432.838776E-03           646.727234E-03            10.3138065                8.72256279               1.5912447     
                   7.26681995E+03           0.                     124.288826E+06           287.19519E+06            156.39299E+06            312.488159E+06           432.808777E-03           646.846924E-03            10.3138504                8.72259903               1.59125078    
                   7.27195978E+03           0.                     133.840179E+06           309.286957E+06           168.419373E+06           336.518524E+06           432.778687E-03           646.966492E-03            10.3138914                8.72263432               1.59125674    
                   7.27710009E+03           0.                     143.390091E+06           331.378571E+06           180.445206E+06           360.547913E+06           432.748627E-03           647.085999E-03            10.3139334                8.72267151               1.59126258    
                   7.28224039E+03           0.                     152.93869E+06            353.470184E+06           192.470474E+06           384.576202E+06           432.718597E-03           647.205383E-03            10.3139744                8.72270679               1.59126854    
                   7.28737974E+03           0.                     162.485916E+06           375.561707E+06           204.495209E+06           408.603394E+06           432.688507E-03           647.324829E-03            10.3140173                8.72274113               1.59127474    
                   7.29252005E+03           0.                     172.031799E+06           397.65332E+06            216.51944E+06            432.629669E+06           432.658508E-03           647.444153E-03            10.3140583                8.72277832               1.59128046    
                   7.29766035E+03           0.                     181.576431E+06           419.744781E+06           228.543045E+06           456.654907E+06           432.62851E-03            647.563416E-03            10.3140993                8.72281456               1.59128642    
                   7.3027997E+03            0.                     191.119736E+06           441.836304E+06           240.566071E+06           480.679077E+06           432.598511E-03           647.682495E-03            10.3141413                8.72284794               1.59129238    
                   7.30794001E+03           0.                     200.661575E+06           463.927673E+06           252.588669E+06           504.702332E+06           432.568542E-03           647.801697E-03            10.3141823                8.72288418               1.59129822    
                   7.31308031E+03           0.                     210.202225E+06           486.019043E+06           264.610657E+06           528.724487E+06           432.538635E-03           647.920776E-03            10.3142242                8.72292042               1.59130418    
                   7.31822014E+03           0.                     219.74147E+06            508.110474E+06           276.63208E+06            552.745605E+06           432.508606E-03           648.039734E-03            10.3142662                8.7229557                1.59130991    
                   7.32335997E+03           0.                     229.286499E+06           530.20282E+06            288.656555E+06           576.771423E+06           432.49115E-03            648.101379E-03            10.3143082                8.7229929                1.59131587    
                   7.32849979E+03           0.                     239.146912E+06           552.439148E+06           300.843079E+06           601.153931E+06           432.934174E-03           646.651611E-03            10.3143511                8.72303009               1.59132218    
                   7.3336401E+03            0.                     249.420105E+06           575.244934E+06           313.38739E+06            626.29126E+06            433.631348E-03           644.488037E-03            10.314395                 8.72306728               1.5913285     
