
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.3162231                8.72463799               1.59158885    
                   7.20800018E+03           0.                       9.43652344E+06          25.7918072E+06           13.3014078E+06           26.6028004E+06          365.872864E-03           890.485474E-03            10.3162336                8.72464561               1.59159005    
                   7.21600008E+03           0.                      18.8724384E+06           51.5833511E+06           26.6024399E+06           53.2048454E+06          365.862915E-03           890.519775E-03            10.3162403                8.72465324               1.59159136    
                   7.22399998E+03           0.                      28.3077183E+06           77.3746262E+06           39.9030991E+06           79.8061295E+06          365.852844E-03           890.554138E-03            10.3162518                8.72465897               1.59159267    
                   7.23199987E+03           0.                      37.7424049E+06          103.165627E+06            53.2033768E+06          106.40667E+06            365.842865E-03           890.58844E-03             10.3162575                8.7246666                1.59159338    
                   7.23999977E+03           0.                      47.1764717E+06          128.95636E+06             66.5032654E+06          133.006454E+06           365.832794E-03           890.622803E-03            10.316267                 8.72467041               1.59159493    
                   7.24800014E+03           0.                      56.6099243E+06          154.746857E+06            79.8027725E+06          159.605484E+06           365.822876E-03           890.656982E-03            10.3162727                8.72467804               1.59159577    
                   7.25600004E+03           0.                      66.0427551E+06          180.537094E+06            93.101944E+06           186.203781E+06           365.812805E-03           890.691345E-03            10.3162823                8.72468472               1.59159708    
                   7.26399994E+03           0.                      75.4750214E+06          206.327026E+06           106.400703E+06           212.801285E+06           365.802887E-03           890.725586E-03            10.316288                 8.72469139               1.5915978     
                   7.27199984E+03           0.                      84.9066467E+06          232.116699E+06           119.69912E+06            239.398056E+06           365.792847E-03           890.759888E-03            10.3162975                8.72469902               1.59159899    
                   7.28000021E+03           0.                      94.3376236E+06          257.906128E+06           132.997131E+06           265.99411E+06            365.782867E-03           890.794128E-03            10.3163033                8.7247057                1.5916003     
                   7.28800011E+03           0.                     103.768044E+06           283.695251E+06           146.294754E+06           292.589355E+06           365.772888E-03           890.82843E-03             10.3163128                8.72471237               1.59160101    
                   7.296E+03                0.                     113.197823E+06           309.484192E+06           159.592026E+06           319.183868E+06           365.762848E-03           890.862549E-03            10.3163166                8.72471523               1.59160221    
                   7.3039999E+03            0.                     122.627022E+06           335.272888E+06           172.888916E+06           345.777588E+06           365.752869E-03           890.896729E-03            10.3163252                8.72472191               1.59160292    
                   7.3119998E+03            0.                     132.055557E+06           361.061249E+06           186.185455E+06           372.370667E+06           365.742889E-03           890.93103E-03             10.31633                  8.72472954               1.59160411    
                   7.32000017E+03           0.                     141.483521E+06           386.849274E+06           199.481567E+06           398.96283E+06            365.732941E-03           890.965149E-03            10.3163395                8.7247324                1.59160483    
                   7.32800007E+03           0.                     150.910904E+06           412.637115E+06           212.777313E+06           425.554382E+06           365.723022E-03           890.999268E-03            10.3163443                8.72473812               1.59160602    
                   7.33599997E+03           0.                     160.337601E+06           438.424774E+06           226.072708E+06           452.145233E+06           365.713043E-03           891.033447E-03            10.316349                 8.7247448                1.59160662    
                   7.34399986E+03           0.                     169.763794E+06           464.212036E+06           239.367737E+06           478.735168E+06           365.703033E-03           891.067627E-03            10.3163576                8.72475052               1.59160781    
                   7.35200024E+03           0.                     179.18927E+06            489.999115E+06           252.662384E+06           505.324432E+06           365.693146E-03           891.101624E-03            10.3163614                8.72475338               1.59160852    
                   7.36000013E+03           0.                     188.614151E+06           515.785889E+06           265.956665E+06           531.912903E+06           365.683167E-03           891.135742E-03            10.31637                  8.72476006               1.59160924    
                   7.36800003E+03           0.                     198.038528E+06           541.572449E+06           279.250519E+06           558.500732E+06           365.673218E-03           891.169922E-03            10.3163748                8.72476578               1.59161031    
                   7.37599993E+03           0.                     207.462234E+06           567.358643E+06           292.544067E+06           585.087769E+06           365.663239E-03           891.203918E-03            10.3163776                8.72476864               1.59161067    
                   7.38399982E+03           0.                     216.885269E+06           593.144714E+06           305.837219E+06           611.674011E+06           365.653351E-03           891.238098E-03            10.3163853                8.72477531               1.59161174    
                   7.3920002E+03            0.                     226.307709E+06           618.930298E+06           319.130035E+06           638.259521E+06           365.643402E-03           891.272095E-03            10.31639                  8.72477722               1.59161234    
                   7.4000001E+03            0.                     235.729767E+06           644.71582E+06            332.422394E+06           664.84436E+06            365.633453E-03           891.306152E-03            10.3163948                8.72478294               1.59161305    
                   7.40799999E+03           0.                     245.150848E+06           670.500977E+06           345.714386E+06           691.428345E+06           365.623566E-03           891.340149E-03            10.3164015                8.72478867               1.59161413    
                   7.41599989E+03           0.                     254.571533E+06           696.286011E+06           359.006042E+06           718.011597E+06           365.613617E-03           891.374146E-03            10.3164062                8.72479153               1.59161448    
                   7.42399979E+03           0.                     263.99173E+06            722.070618E+06           372.297272E+06           744.594177E+06           365.603668E-03           891.408203E-03            10.3164101                8.7247982                1.59161556    
                   7.43200016E+03           0.                     273.411102E+06           747.855103E+06           385.588226E+06           771.175964E+06           365.59375E-03            891.4422E-03              10.3164158                8.72479916               1.59161615    
                   7.44000006E+03           0.                     283.37088E+06            773.570068E+06           399.106689E+06           798.212891E+06           366.315735E-03           888.967773E-03            10.3164206                8.72480583               1.59161675    
                   7.44799995E+03           0.                     295.551453E+06           800.94519E+06            414.228485E+06           828.456665E+06           369.003296E-03           879.738342E-03            10.3164234                8.72480774               1.59161747    
                   7.45599985E+03           0.                     313.138824E+06           835.747253E+06           434.405334E+06           868.810303E+06           374.681244E-03           860.140442E-03            10.316431                 8.72481346               1.59161806    
