
                  X            AVERAGE_UVARM1     AVERAGE_UVARM2     AVERAGE_UVARM3     AVERAGE_UVARM4     AVERAGE_UVARM5     AVERAGE_UVARM6     AVERAGE_UVARM7     AVERAGE_UVARM8     AVERAGE_UVARM9    AVERAGE_UVARM10 

                7.2E+03            0.                 0.                 0.                 0.                 0.                 0.                 0.                10.3112             8.72037            1.59088    
                7.208E+03          0.                 9.43652E+06       25.7968E+06        13.3031E+06        26.6062E+06       365.802E-03        890.727E-03         10.3114             8.72046            1.5909     
                7.216E+03          0.                18.8724E+06        51.5933E+06        26.6059E+06        53.2117E+06       365.792E-03        890.761E-03         10.3115             8.72055            1.59091    
                7.224E+03          0.                28.3077E+06        77.3895E+06        39.9082E+06        79.8164E+06       365.782E-03        890.795E-03         10.3116             8.72064            1.59093    
                7.232E+03          0.                37.7424E+06       103.185E+06         53.2102E+06       106.42E+06         365.772E-03        890.83E-03          10.3117             8.72073            1.59094    
                7.24E+03           0.                47.1764E+06       128.981E+06         66.5118E+06       133.024E+06        365.762E-03        890.864E-03         10.3118             8.72082            1.59095    
                7.248E+03          0.                56.6099E+06       154.777E+06         79.813E+06        159.626E+06        365.752E-03        890.898E-03         10.3119             8.7209             1.59097    
                7.256E+03          0.                66.0427E+06       180.572E+06         93.1139E+06       186.228E+06        365.742E-03        890.932E-03         10.312              8.72099            1.59098    
                7.264E+03          0.                75.475E+06        206.367E+06        106.414E+06        212.829E+06        365.732E-03        890.967E-03         10.3121             8.72107            1.591      
                7.272E+03          0.                84.9066E+06       232.161E+06        119.714E+06        239.429E+06        365.723E-03        891.001E-03         10.3122             8.72115            1.59101    
                7.28E+03           0.                94.3376E+06       257.956E+06        133.014E+06        266.028E+06        365.713E-03        891.035E-03         10.3122             8.72123            1.59102    
                7.288E+03          0.               103.768E+06        283.75E+06         146.314E+06        292.627E+06        365.703E-03        891.07E-03          10.3123             8.7213             1.59104    
                7.296E+03          0.               113.198E+06        309.543E+06        159.612E+06        319.225E+06        365.693E-03        891.104E-03         10.3124             8.72138            1.59105    
                7.304E+03          0.               122.627E+06        335.337E+06        172.911E+06        345.822E+06        365.683E-03        891.138E-03         10.3125             8.72145            1.59106    
                7.312E+03          0.               132.055E+06        361.13E+06         186.209E+06        372.418E+06        365.673E-03        891.172E-03         10.3126             8.72152            1.59107    
                7.32E+03           0.               141.483E+06        386.923E+06        199.507E+06        399.014E+06        365.663E-03        891.206E-03         10.3127             8.72159            1.59108    
                7.328E+03          0.               150.911E+06        412.716E+06        212.804E+06        425.609E+06        365.653E-03        891.241E-03         10.3128             8.72167            1.5911     
                7.336E+03          0.               160.337E+06        438.509E+06        226.102E+06        452.203E+06        365.643E-03        891.275E-03         10.3128             8.72173            1.59111    
                7.344E+03          0.               169.764E+06        464.301E+06        239.398E+06        478.796E+06        365.633E-03        891.309E-03         10.3129             8.7218             1.59112    
                7.352E+03          0.               179.189E+06        490.093E+06        252.695E+06        505.389E+06        365.623E-03        891.343E-03         10.313              8.72186            1.59113    
                7.36E+03           0.               188.614E+06        515.884E+06        265.991E+06        531.981E+06        365.613E-03        891.377E-03         10.3131             8.72193            1.59114    
                7.368E+03          0.               198.038E+06        541.676E+06        279.286E+06        558.572E+06        365.603E-03        891.411E-03         10.3131             8.72199            1.59115    
                7.376E+03          0.               207.462E+06        567.467E+06        292.581E+06        585.162E+06        365.593E-03        891.445E-03         10.3132             8.72205            1.59116    
                7.384E+03          0.               216.885E+06        593.258E+06        305.876E+06        611.752E+06        365.583E-03        891.479E-03         10.3133             8.72211            1.59117    
                7.392E+03          0.               226.308E+06        619.048E+06        319.171E+06        638.341E+06        365.573E-03        891.513E-03         10.3134             8.72217            1.59118    
                7.4E+03            0.               235.729E+06        644.839E+06        332.465E+06        664.929E+06        365.563E-03        891.548E-03         10.3134             8.72223            1.59119    
                7.408E+03          0.               245.151E+06        670.629E+06        345.758E+06        691.516E+06        365.553E-03        891.582E-03         10.3135             8.72229            1.5912     
                7.416E+03          0.               254.571E+06        696.419E+06        359.052E+06        718.103E+06        365.543E-03        891.616E-03         10.3135             8.72234            1.59121    
                7.424E+03          0.               263.991E+06        722.208E+06        372.345E+06        744.689E+06        365.534E-03        891.65E-03          10.3136             8.72239            1.59122    
                7.432E+03          0.               273.411E+06        747.998E+06        385.637E+06        771.274E+06        365.524E-03        891.684E-03         10.3137             8.72245            1.59123    
                7.44E+03           0.               283.371E+06        773.727E+06        399.161E+06        798.321E+06        366.241E-03        889.226E-03         10.3137             8.7225             1.59123    
                7.448E+03          0.               295.551E+06        801.151E+06        414.299E+06        828.599E+06        368.908E-03        880.068E-03         10.3138             8.72255            1.59124    
                7.456E+03          0.               313.139E+06        836.138E+06        434.542E+06        869.083E+06        374.506E-03        860.75E-03          10.3139             8.7226             1.59125    
                7.464E+03          1.65563E-03      338.064E+06        884.981E+06        462.766E+06        925.879E+06        382.002E-03        836.039E-03         10.3139             8.71645            1.59747    
                7.472E+03          3.73126E-03      340.142E+06        904.166E+06        470.608E+06        941.176E+06        376.194E-03        854.744E-03         10.3148             8.70941            1.60536    
                7.48E+03           5.42876E-03      341.96E+06         919.856E+06        476.903E+06        953.781E+06        371.754E-03        870.165E-03         10.3153             8.70355            1.61179    
                7.488E+03          6.91357E-03      343.828E+06        933.58E+06         482.514E+06        965.031E+06        368.29E-03         882.208E-03         10.3158             8.69839            1.6174     
                7.496E+03          8.25451E-03      345.871E+06        945.776E+06        487.654E+06        975.367E+06        365.701E-03        891.292E-03         10.3162             8.69373            1.62246    
                7.504E+03          9.55853E-03      348.317E+06        956.419E+06        492.475E+06        984.992E+06        364.189E-03        896.406E-03         10.3166             8.68921            1.62737    
                7.512E+03         10.9928E-03       351.902E+06        964.867E+06        497.06E+06         994.168E+06        364.716E-03        894.616E-03         10.317              8.68421            1.63277    
                7.52E+03          12.5735E-03       356.047E+06        972.862E+06        501.746E+06          1.00355E+09      365.979E-03        890.339E-03         10.3175             8.67877            1.63872    
                7.528E+03         14.1826E-03       360.154E+06        981.001E+06        506.463E+06          1.013E+09        367.129E-03        886.438E-03         10.318              8.67327            1.64477    
                7.536E+03         15.843E-03        363.921E+06        989.4E+06          511.096E+06          1.02231E+09      367.82E-03         884.212E-03         10.3187             8.66766            1.65102    
                7.544E+03         17.5045E-03       366.942E+06        997.804E+06        515.365E+06          1.03093E+09      367.75E-03         884.751E-03         10.3195             8.66218            1.65729    
                7.552E+03         19.1055E-03       369.14E+06           1.0059E+09       519.182E+06          1.03858E+09      366.974E-03        887.436E-03         10.3204             8.65705            1.66335    
                7.56E+03          20.7799E-03       371.96E+06           1.01226E+09      522.608E+06          1.04561E+09      367.454E-03        886.389E-03         10.3214             8.65173            1.66968    
                7.568E+03         22.8913E-03       375.531E+06          1.01722E+09      526.081E+06          1.05234E+09      369.173E-03        879.749E-03         10.3228             8.64509            1.67767    
                7.576E+03         25.1032E-03       379.171E+06          1.02242E+09      529.589E+06          1.0593E+09       370.855E-03        873.766E-03         10.3241             8.6381             1.68602    
                7.584E+03         27.3501E-03       382.787E+06          1.0277E+09       533.111E+06          1.06629E+09      372.468E-03        868.016E-03         10.3255             8.63105            1.69449    
                7.592E+03         29.6969E-03       386.541E+06          1.03322E+09      536.753E+06          1.07357E+09      374.113E-03        862.308E-03         10.327              8.62371            1.70333    
                7.6E+03           32.6354E-03       392.133E+06          1.03717E+09      540.5E+06            1.08144E+09      378.081E-03        849.828E-03         10.3287             8.61439            1.71435    
                7.608E+03         36.0933E-03       397.306E+06          1.04141E+09      544.141E+06          1.08912E+09      381.506E-03        839.218E-03         10.3311             8.60379            1.72735    
                7.616E+03         39.7462E-03       401.613E+06          1.0459E+09       547.517E+06          1.09617E+09      383.989E-03        831.508E-03         10.3341             8.593              1.74112    
                7.624E+03         43.9122E-03       406.809E+06          1.04912E+09      550.741E+06          1.10312E+09      387.763E-03        819.937E-03         10.3375             8.58076            1.75679    
                7.632E+03         48.6877E-03       412.065E+06          1.05267E+09      554.234E+06          1.11028E+09      391.447E-03        807.549E-03         10.3417             8.56696            1.77474    
                7.64E+03          54.1714E-03       418.38E+06           1.05583E+09      557.731E+06          1.11816E+09      396.256E-03        793.449E-03         10.3464             8.55116            1.79527    
                7.648E+03         60.508E-03        424.868E+06          1.0591E+09       561.336E+06          1.1262E+09       401.16E-03         778.773E-03         10.3522             8.53322            1.81896    
                7.656E+03         67.8E-03          432.179E+06          1.06213E+09      564.984E+06          1.1348E+09       406.897E-03        762.6E-03           10.359              8.51284            1.84614    
                7.664E+03         76.2846E-03       440.542E+06          1.06529E+09      568.908E+06          1.14439E+09      413.54E-03         744.479E-03         10.3671             8.48949            1.87765    
                7.672E+03         85.8108E-03       449.338E+06          1.06848E+09      572.833E+06          1.15435E+09      420.537E-03        726.165E-03         10.3769             8.46399            1.91296    
                7.68E+03          96.4058E-03       458.854E+06          1.07172E+09      576.826E+06          1.16495E+09      428.149E-03        707.127E-03         10.3886             8.43649            1.95212    
                7.688E+03        108.037E-03        469.E+06             1.07489E+09      580.793E+06          1.17604E+09      436.322E-03        687.685E-03         10.4024             8.40741            1.99504    
                7.696E+03        120.693E-03        479.666E+06          1.07823E+09      584.838E+06          1.18764E+09      444.864E-03        667.882E-03         10.4187             8.37706            2.04165    
                7.704E+03        134.333E-03        490.834E+06          1.08153E+09      588.799E+06          1.19965E+09      453.835E-03        648.202E-03         10.4376             8.34577            2.0918     
                7.712E+03        149.003E-03        502.668E+06          1.08492E+09      592.802E+06          1.21229E+09      463.322E-03        628.185E-03         10.4593             8.3137             2.14564    
                7.72E+03         164.727E-03        515.147E+06          1.08822E+09      596.71E+06           1.2254E+09       473.385E-03        608.053E-03         10.4844             8.28109            2.20328    
                7.721E+03        166.722E-03        516.724E+06          1.08864E+09      597.197E+06          1.22706E+09      474.652E-03        605.53E-03          10.488              8.27732            2.21065    
                7.728E+03        181.448E-03        528.266E+06          1.09159E+09      600.563E+06          1.23915E+09      483.943E-03        588.32E-03          10.5133             8.24871            2.26461    
                7.736E+03        199.386E-03        542.26E+06           1.095E+09        604.118E+06          1.25395E+09      495.213E-03        571.373E-03         10.5461             8.21581            2.3303     
                7.744E+03        218.372E-03        555.426E+06          1.09835E+09      607.015E+06          1.26836E+09      505.691E-03        560.546E-03         10.5839             8.18394            2.40001    
                7.752E+03        238.557E-03        567.283E+06          1.10174E+09      609.336E+06          1.28201E+09      514.897E-03        555.876E-03         10.6273             8.15302            2.47431    
                7.76E+03         260.1E-03          578.673E+06          1.10517E+09      611.233E+06          1.29562E+09      523.605E-03        555.881E-03         10.6762             8.12251            2.55366    
                7.768E+03        283.138E-03        590.187E+06          1.10865E+09      612.854E+06          1.30967E+09      532.348E-03        559.013E-03         10.7308             8.09225            2.63853    
                7.776E+03        307.821E-03        602.22E+06           1.11218E+09      614.338E+06          1.32442E+09      541.477E-03        563.821E-03         10.7917             8.06226            2.72948    
                7.784E+03        334.308E-03        614.986E+06          1.11577E+09      615.773E+06          1.34001E+09      551.175E-03        569.39E-03          10.8598             8.03268            2.82712    
                7.792E+03        362.767E-03        628.615E+06          1.11944E+09      617.209E+06          1.35653E+09      561.544E-03        575.265E-03         10.9359             8.00371            2.93215    
                7.8E+03          393.371E-03        643.199E+06          1.12319E+09      618.661E+06          1.37407E+09      572.654E-03        581.346E-03         11.0208             7.97553            3.04526    
                7.808E+03        426.319E-03        658.845E+06          1.12703E+09      620.123E+06          1.39276E+09      584.585E-03        587.706E-03         11.1156             7.94833            3.16726    
                7.816E+03        461.839E-03        675.645E+06          1.13095E+09      621.577E+06          1.41268E+09      597.413E-03        594.443E-03         11.2213             7.92223            3.29906    
                7.824E+03        500.184E-03        693.594E+06          1.13499E+09      623.018E+06          1.43387E+09      611.1E-03          601.819E-03         11.3773             7.92683            3.45047    
                7.832E+03        541.635E-03        712.722E+06          1.13913E+09      624.41E+06           1.45637E+09      625.67E-03         609.999E-03         11.4827             7.99972            3.48295    
                7.84E+03         586.5E-03          733.076E+06          1.1434E+09       625.761E+06          1.48023E+09      641.135E-03        619.024E-03         11.6016             8.08408            3.51754    
                7.844E+03        609.952E-03        743.133E+06          1.14555E+09      626.37E+06           1.4921E+09       648.711E-03        624.143E-03         11.6689             8.13182            3.53711    
                7.848E+03        634.36E-03         753.691E+06          1.14774E+09      626.998E+06          1.50448E+09      656.675E-03        629.192E-03         11.7402             8.18241            3.55784    
                7.856E+03        687.133E-03        777.348E+06          1.15228E+09      628.443E+06          1.53181E+09      674.616E-03        638.3E-03           11.8902             8.2888             3.60142    
                7.864E+03        744.52E-03         802.075E+06          1.15698E+09      629.876E+06          1.56034E+09      693.245E-03        648.036E-03         12.0577             8.40759            3.65006    
                7.872E+03        807.022E-03        828.225E+06          1.16185E+09      631.405E+06          1.59037E+09      712.85E-03         657.471E-03         12.2435             8.53948            3.70403    
                7.88E+03         875.153E-03        855.735E+06          1.16689E+09      633.122E+06          1.6218E+09       733.344E-03        665.905E-03         12.4489             8.68527            3.76365    
                7.888E+03        949.482E-03        884.312E+06          1.17211E+09      635.13E+06           1.65427E+09      754.455E-03        672.546E-03         12.6747             8.84557            3.82916    
                7.896E+03          1.0307           913.331E+06          1.17753E+09      637.519E+06          1.68714E+09      775.627E-03        676.751E-03         12.9212             9.02057            3.90063    
                7.904E+03          1.11957          941.395E+06          1.18316E+09      640.326E+06          1.719E+09        795.652E-03        678.358E-03         13.1878             9.20991            3.97788    
                7.912E+03          1.21686          966.347E+06          1.18901E+09      643.522E+06          1.74771E+09      812.718E-03        677.614E-03         13.4719             9.41175            4.06016    
                7.92E+03           1.32191          984.72E+06           1.19501E+09      646.991E+06          1.76977E+09      824.015E-03        675.015E-03         13.7684             9.62241            4.14595    
                7.928E+03          1.43016          993.309E+06          1.20087E+09      650.634E+06          1.78173E+09      827.144E-03        670.108E-03         14.0671             9.83477            4.23235    
                7.936E+03          1.53541          992.071E+06          1.20631E+09      654.401E+06          1.78324E+09      822.399E-03        661.851E-03         14.353             10.038              4.31497    
                7.944E+03          1.63471          983.57E+06           1.21122E+09      658.154E+06          1.77679E+09      812.063E-03        650.766E-03         14.6099            10.2207             4.38916    
                7.952E+03          1.72703          970.752E+06          1.21562E+09      661.76E+06           1.76537E+09      798.609E-03        637.753E-03         14.8256            10.3742             4.45145    
                7.96E+03           1.81242          956.19E+06           1.21956E+09      665.166E+06          1.75163E+09      784.128E-03        623.393E-03         14.993             10.4933             4.49976    
                7.968E+03          1.89128          941.124E+06          1.22309E+09      668.333E+06          1.73694E+09      769.589E-03        608.376E-03         15.1087            10.5756             4.53313    
                7.976E+03          1.96432          926.572E+06          1.22627E+09      671.536E+06          1.72241E+09      755.771E-03        591.81E-03          15.1717            10.6204             4.55131    
                7.984E+03          2.03219          912.929E+06          1.22916E+09      674.69E+06           1.70853E+09      742.943E-03        574.334E-03         15.1844            10.6294             4.55497    
                7.992E+03          2.09552          900.338E+06          1.2318E+09       677.546E+06          1.69552E+09      731.177E-03        557.561E-03         15.1513            10.6059             4.54544    
                8.E+03             2.15485          888.812E+06          1.23423E+09      680.102E+06          1.68347E+09      720.449E-03        541.896E-03         15.0788            10.5543             4.52453    




