
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.3112717                8.72038937               1.59088457    
                   7.20554972E+03           0.                       7.23997164E+06          16.2362881E+06            8.91428185E+06          17.8283482E+06          445.916351E-03           600.611755E-03            10.3113527                8.72045708               1.59089398    
                   7.2111001E+03            0.                      14.4793205E+06           32.4728203E+06           17.8284321E+06           35.6564445E+06          445.894073E-03           600.698242E-03            10.3114271                8.72052002               1.59090579    
                   7.21665001E+03           0.                      21.7180557E+06           48.7095985E+06           26.7424564E+06           53.4842873E+06          445.871735E-03           600.784668E-03            10.3114958                8.72058296               1.5909158     
                   7.22220039E+03           0.                      28.9561844E+06           64.9466248E+06           35.6563492E+06           71.311882E+06           445.849457E-03           600.870972E-03            10.3115721                8.72064495               1.59092593    
                   7.22774982E+03           0.                      36.1936951E+06           81.1838913E+06           44.5701256E+06           89.1392212E+06          445.827179E-03           600.957336E-03            10.3116417                8.72070694               1.59093642    
                   7.23329973E+03           0.                      43.4305916E+06           97.4213791E+06           53.4837723E+06          106.966286E+06           445.804871E-03           601.043701E-03            10.3117132                8.72076607               1.59094656    
                   7.23885012E+03           0.                      50.6668701E+06          113.659134E+06            62.3972816E+06          124.793114E+06           445.782654E-03           601.129944E-03            10.3117838                8.7208252                1.59095597    
                   7.24440002E+03           0.                      57.902523E+06           129.897125E+06            71.3106537E+06          142.61972E+06            445.760376E-03           601.216187E-03            10.3118553                8.72088528               1.59096611    
                   7.24995041E+03           0.                      65.1375504E+06          146.135376E+06            80.2239075E+06          160.44603E+06            445.738129E-03           601.302429E-03            10.3119183                8.72094154               1.59097576    
                   7.25549984E+03           0.                      72.3720322E+06          162.373886E+06            89.1370239E+06          178.272095E+06           445.715881E-03           601.388794E-03            10.3119841                8.72100067               1.59098482    
                   7.26104975E+03           0.                      79.6058426E+06          178.61261E+06             98.0500488E+06          196.097931E+06           445.693604E-03           601.474854E-03            10.3120461                8.72105598               1.59099436    
                   7.26660013E+03           0.                      86.8390656E+06          194.851517E+06           106.962914E+06           213.923477E+06           445.671387E-03           601.561096E-03            10.3121128                8.72111034               1.59100318    
                   7.27215004E+03           0.                      94.0716858E+06          211.090744E+06           115.875664E+06           231.748856E+06           445.649109E-03           601.647461E-03            10.3121767                8.7211647                1.59101248    
                   7.27770042E+03           0.                     101.303635E+06           227.3302E+06             124.788269E+06           249.573868E+06           445.626862E-03           601.733215E-03            10.3122396                8.72121811               1.5910219     
                   7.28324986E+03           0.                     108.535019E+06           243.569839E+06           133.70076E+06            267.398682E+06           445.604675E-03           601.819458E-03            10.3122997                8.72127056               1.5910306     
                   7.28879976E+03           0.                     115.7658E+06             259.809937E+06           142.613129E+06           285.223328E+06           445.582428E-03           601.905334E-03            10.3123589                8.72132397               1.59103882    
                   7.29435015E+03           0.                     122.995995E+06           276.050079E+06           151.52536E+06            303.047607E+06           445.560272E-03           601.991455E-03            10.3124208                8.72137356               1.59104717    
                   7.29990005E+03           0.                     130.225433E+06           292.290466E+06           160.437439E+06           320.871613E+06           445.538025E-03           602.077515E-03            10.3124781                8.72142506               1.59105539    
                   7.30544996E+03           0.                     137.454407E+06           308.531158E+06           169.349411E+06           338.695557E+06           445.515778E-03           602.163513E-03            10.3125381                8.72147465               1.59106362    
                   7.31099987E+03           0.                     144.682785E+06           324.772125E+06           178.261276E+06           356.519135E+06           445.493622E-03           602.249451E-03            10.3125963                8.72152138               1.59107196    
                   7.31654978E+03           0.                     151.9104E+06             341.013153E+06           187.173035E+06           374.342377E+06           445.471466E-03           602.335327E-03            10.3126535                8.72157097               1.59108031    
                   7.32210016E+03           0.                     159.137589E+06           357.25473E+06            196.084595E+06           392.165314E+06           445.449341E-03           602.421204E-03            10.3127089                8.72161865               1.59108841    
                   7.32765007E+03           0.                     166.364044E+06           373.496307E+06           204.996094E+06           409.988281E+06           445.427155E-03           602.507141E-03            10.3127632                8.72166634               1.59109604    
                   7.33319998E+03           0.                     173.589951E+06           389.73822E+06            213.907394E+06           427.81073E+06            445.404846E-03           602.592834E-03            10.3128138                8.72171116               1.59110355    
                   7.33874989E+03           0.                     180.815338E+06           405.980347E+06           222.818649E+06           445.633057E+06           445.382843E-03           602.678711E-03            10.31287                  8.72175789               1.59111106    
                   7.34429979E+03           0.                     188.039886E+06           422.222717E+06           231.729721E+06           463.455139E+06           445.360748E-03           602.764465E-03            10.3129234                8.72180367               1.59111857    
                   7.34985018E+03           0.                     195.263962E+06           438.465363E+06           240.640701E+06           481.277008E+06           445.338501E-03           602.850159E-03            10.3129711                8.72184563               1.5911262     
                   7.35540009E+03           0.                     202.48732E+06            454.708313E+06           249.551498E+06           499.098572E+06           445.316406E-03           602.935974E-03            10.3130226                8.72188854               1.59113324    
                   7.36094999E+03           0.                     209.710312E+06           470.951385E+06           258.462189E+06           516.919922E+06           445.294128E-03           603.021606E-03            10.313076                 8.72193241               1.59114015    
                   7.3664999E+03            0.                     216.970154E+06           487.182678E+06           267.381683E+06           534.758728E+06           445.36026E-03            602.767639E-03            10.3131218                8.72197628               1.59114718    
                   7.37204981E+03           0.                     224.377792E+06           503.412201E+06           276.35379E+06            552.702881E+06           445.717499E-03           601.392822E-03            10.3131714                8.72201633               1.59115422    
                   7.37760019E+03           0.                     231.986511E+06           519.704773E+06           285.422882E+06           570.840698E+06           446.385071E-03           598.818909E-03            10.3132181                8.72205734               1.59116089    
                   7.3831501E+03            0.                     239.834579E+06           536.132935E+06           294.629944E+06           589.254639E+06           447.344818E-03           595.113159E-03            10.3132658                8.72209835               1.59116745    
                   7.38870001E+03           0.                     247.954788E+06           552.767578E+06           304.014038E+06           608.022461E+06           448.573242E-03           590.360291E-03            10.3133116                8.72213459               1.59117436    
                   7.39424992E+03           0.                     256.382751E+06           569.688599E+06           313.617767E+06           627.229492E+06           450.043427E-03           584.656738E-03            10.3133564                8.72217751               1.59118032    
                   7.39979982E+03           0.                     265.159546E+06           586.983582E+06           323.4888E+06             646.971191E+06           451.735931E-03           578.073303E-03            10.3133965                8.72221375               1.59118688    
                   7.40535021E+03           0.                     274.33255E+06            604.750793E+06           333.681152E+06           667.356262E+06           453.632751E-03           570.674744E-03            10.3134422                8.72224998               1.59119272    
                   7.41090012E+03           0.                     283.960327E+06           623.114075E+06           344.26178E+06            688.519714E+06           455.715607E-03           562.53241E-03             10.3134842                8.72228718               1.59119892    
                   7.41645002E+03           0.                     294.118561E+06           642.230164E+06           355.315979E+06           710.636414E+06           457.968292E-03           553.723999E-03            10.3135252                8.72232056               1.5912044     
                   7.42199993E+03           0.                     304.902313E+06           662.3078E+06             366.954346E+06           733.936157E+06           460.367615E-03           544.381287E-03            10.3135672                8.72235584               1.59121048    
                   7.42754984E+03           0.                     316.445801E+06           683.637634E+06           379.330322E+06           758.74469E+06            462.890045E-03           534.690063E-03            10.3136053                8.72238731               1.59121561    
                   7.43310022E+03           0.                     328.925262E+06           706.657349E+06           392.666138E+06           785.538818E+06           465.471832E-03           525.064636E-03            10.3136415                8.72241974               1.59122062    
                   7.43865013E+03           0.                     342.583466E+06           732.098267E+06           407.325592E+06           815.079468E+06           467.954651E-03           516.289185E-03            10.3136749                8.72244644               1.59122574    
                   7.44420004E+03           0.                     357.736847E+06           761.355164E+06           424.006348E+06           848.672119E+06           469.879059E-03           509.680511E-03            10.3137064                8.72247696               1.59123075    
                   7.44974995E+03           0.                     374.729401E+06           797.663147E+06           444.415985E+06           888.864136E+06           469.804657E-03           506.675781E-03            10.3137369                8.72250366               1.59123468    
                   7.45529985E+03           1.32412362E-06         393.961426E+06           850.159485E+06           473.655884E+06           941.94165E+06            463.450928E-03           506.780396E-03            10.3137398                8.72250175               1.59123993    
                   7.46085024E+03         264.706604E-06           407.747711E+06           872.124878E+06           485.231506E+06           970.615112E+06           467.533478E-03           516.321472E-03            10.31532                  8.7228651                1.59245336    
                   7.46639967E+03         684.284729E-06           413.851959E+06           876.00293E+06            487.674255E+06           978.913513E+06           472.432678E-03           512.289978E-03            10.3169661                8.72270679               1.59426272    
                   7.47195005E+03           1.1331172E-03          416.157928E+06           880.151367E+06           490.547302E+06           983.264832E+06           472.826111E-03           504.228577E-03            10.3184986                8.72233391               1.5961647     
                   7.47749996E+03           1.55329645E-03         417.440887E+06           884.035095E+06           492.817749E+06           986.928528E+06           472.200287E-03           502.699249E-03            10.3196869                8.72177792               1.59791017    
