
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.2339239                8.65406036               1.57986331    
                   7.20554972E+03           0.                       9.9704504E+06           29.5398483E+06           14.8100166E+06           29.6634502E+06          337.547852E-03           991.041748E-03            10.2339792                8.65410709               1.57987142    
                   7.2111001E+03            0.                      19.939558E+06            59.0759048E+06           29.6180935E+06           59.3230438E+06          337.546722E-03           991.046204E-03            10.2340565                8.65417576               1.57988262    
                   7.21665001E+03           0.                      29.90732E+06             88.6081696E+06           44.4242287E+06           88.978775E+06           337.545624E-03           991.050659E-03            10.2341566                8.65425968               1.57989657    
                   7.22220039E+03           0.                      39.873764E+06           118.136681E+06            59.228447E+06           118.630623E+06           337.544617E-03           991.055237E-03            10.234273                 8.65436077               1.57991338    
                   7.22774982E+03           0.                      49.8388596E+06          147.661362E+06            74.0307083E+06          148.278625E+06           337.543549E-03           991.059692E-03            10.2344055                8.65447426               1.57993209    
                   7.23329973E+03           0.                      59.8026009E+06          177.182281E+06            88.8310471E+06          177.92276E+06            337.54248E-03            991.064087E-03            10.2345505                8.65459824               1.57995284    
                   7.23885012E+03           0.                      69.765007E+06           206.699417E+06           103.62944E+06            207.563049E+06           337.541382E-03           991.068665E-03            10.2347088                8.65473366               1.57997525    
                   7.24440002E+03           0.                      79.7261047E+06          236.212784E+06           118.425911E+06           237.199478E+06           337.540405E-03           991.072998E-03            10.2348776                8.65487862               1.57999933    
                   7.24995041E+03           0.                      89.6858826E+06          265.722382E+06           133.220444E+06           266.832092E+06           337.539307E-03           991.077515E-03            10.2350559                8.6550312                1.58002472    
                   7.25549984E+03           0.                      99.6442642E+06          295.228149E+06           148.013046E+06           296.460846E+06           337.538208E-03           991.082031E-03            10.2352438                8.65519333               1.58005154    
                   7.26104975E+03           0.                     109.601311E+06           324.730286E+06           162.803696E+06           326.085724E+06           337.537201E-03           991.086548E-03            10.2354383                8.65536118               1.58007944    
                   7.26660013E+03           0.                     119.55706E+06            354.228546E+06           177.592468E+06           355.706726E+06           337.536194E-03           991.091003E-03            10.2356434                8.65553474               1.58010828    
                   7.27215004E+03           0.                     129.511459E+06           383.723022E+06           192.379288E+06           385.323944E+06           337.535065E-03           991.095337E-03            10.2358503                8.65571213               1.58013809    
                   7.27770042E+03           0.                     139.464569E+06           413.213745E+06           207.164154E+06           414.937256E+06           337.533997E-03           991.099976E-03            10.2360659                8.65589809               1.5801686     
                   7.28324986E+03           0.                     149.416245E+06           442.700775E+06           221.947159E+06           444.546783E+06           337.532959E-03           991.104431E-03            10.2362871                8.65608788               1.58020008    
                   7.28879976E+03           0.                     159.366684E+06           472.18399E+06            236.72818E+06            474.152466E+06           337.531891E-03           991.108826E-03            10.2365122                8.65627956               1.58023202    
                   7.29435015E+03           0.                     169.315735E+06           501.663513E+06           251.507294E+06           503.754333E+06           337.530823E-03           991.113281E-03            10.236742                 8.65647602               1.58026493    
                   7.29990005E+03           0.                     179.263474E+06           531.13916E+06            266.284485E+06           533.352295E+06           337.529816E-03           991.117676E-03            10.2369757                8.65667915               1.5802983     
                   7.30544996E+03           0.                     189.209885E+06           560.611206E+06           281.059753E+06           562.946411E+06           337.528748E-03           991.122192E-03            10.237215                 8.65688229               1.58033204    
                   7.31099987E+03           0.                     199.155045E+06           590.079468E+06           295.833099E+06           592.536804E+06           337.527618E-03           991.126587E-03            10.2374563                8.65708923               1.58036649    
                   7.31654978E+03           0.                     209.098831E+06           619.543762E+06           310.604523E+06           622.123413E+06           337.526611E-03           991.13092E-03             10.2377014                8.65729904               1.58040154    
                   7.32210016E+03           0.                     219.041168E+06           649.004517E+06           325.374054E+06           651.706116E+06           337.525574E-03           991.135498E-03            10.2379513                8.65751266               1.58043718    
                   7.32765007E+03           0.                     228.982361E+06           678.461365E+06           340.141693E+06           681.284851E+06           337.524506E-03           991.139954E-03            10.2382021                8.65772915               1.58047271    
                   7.33319998E+03           0.                     238.922241E+06           707.914612E+06           354.907379E+06           710.859924E+06           337.523407E-03           991.144287E-03            10.2384539                8.65794468               1.58050907    
                   7.33874989E+03           0.                     248.860565E+06           737.364197E+06           369.671173E+06           740.431213E+06           337.522461E-03           991.148743E-03            10.2387114                8.65816498               1.58054566    
                   7.34429979E+03           0.                     258.797699E+06           766.809998E+06           384.432983E+06           769.998596E+06           337.521332E-03           991.153198E-03            10.2389708                8.65838814               1.58058226    
                   7.34985018E+03           0.                     268.733551E+06           796.251892E+06           399.192932E+06           799.562195E+06           337.520264E-03           991.157593E-03            10.2392321                8.65861034               1.58061945    
                   7.35540009E+03           0.                     278.668091E+06           825.690125E+06           413.950897E+06           829.122192E+06           337.519257E-03           991.162048E-03            10.2394943                8.65883732               1.58065701    
                   7.36094999E+03           0.                     288.601227E+06           855.124695E+06           428.707031E+06           858.677856E+06           337.518188E-03           991.166443E-03            10.2397594                8.65906429               1.58069479    
                   7.3664999E+03           65.901535E-06           296.062897E+06           873.796875E+06           437.534241E+06           878.591919E+06           338.824127E-03           995.289307E-03            10.2402916                8.65927601               1.5810163     
                   7.37204981E+03         213.103394E-06           299.55069E+06            879.605347E+06           440.115845E+06           885.953796E+06           340.551544E-03           998.049316E-03            10.2410069                8.6593399                1.58166659    
                   7.37760019E+03         387.4216E-06             301.58075E+06            884.00116E+06            442.501862E+06           890.913391E+06           341.15448E-03            996.774597E-03            10.2413206                8.65895844               1.58236051    
                   7.3831501E+03          582.360413E-06           302.587585E+06           888.062622E+06           444.526794E+06           894.628296E+06           340.727997E-03           996.951599E-03            10.2413635                8.65826893               1.58309269    
                   7.38870001E+03         793.013245E-06           303.012146E+06           891.948181E+06           446.544037E+06           897.642639E+06           339.719727E-03           996.43158E-03             10.241375                 8.65749454               1.58387876    
                   7.39424992E+03           1.0186522E-03          303.143524E+06           895.723633E+06           448.754211E+06           900.288208E+06           338.434418E-03           994.072388E-03            10.2413816                8.65666103               1.58472013    
                   7.39979982E+03           1.25891387E-03         303.201233E+06           899.250977E+06           451.059906E+06           902.691101E+06           337.171021E-03           989.742554E-03            10.2414045                8.65578365               1.58561718    
                   7.40535021E+03           1.50978994E-03         303.389618E+06           902.912354E+06           453.416565E+06           905.312561E+06           336.012451E-03           985.78064E-03             10.2414455                8.65488625               1.58655703    
                   7.41090012E+03           1.77000606E-03         303.804932E+06           906.710022E+06           455.753052E+06           908.250977E+06           335.063019E-03           982.545532E-03            10.2415295                8.6539917                1.58753729    
                   7.41645002E+03           2.03941584E-03         304.46167E+06            910.554993E+06           458.000061E+06           911.463928E+06           334.369446E-03           980.185852E-03            10.241683                 8.65312004               1.58856165    
                   7.42199993E+03           2.32168412E-03         305.240906E+06           914.073608E+06           459.966339E+06           914.583862E+06           333.934845E-03           978.7099E-03              10.24193                  8.65228081               1.58964705    
                   7.42754984E+03           2.61327863E-03         306.175568E+06           917.70575E+06            461.928253E+06           917.936401E+06           333.631531E-03           977.700867E-03            10.2422581                8.65147781               1.59077847    
                   7.43310022E+03           2.91378403E-03         307.263184E+06           921.448853E+06           463.886658E+06           921.517395E+06           333.456726E-03           977.137634E-03            10.2426729                8.65071583               1.59195542    
                   7.43865013E+03           3.22566676E-03         308.434784E+06           925.035767E+06           465.700531E+06           925.079712E+06           333.430176E-03           977.061829E-03            10.2431879                8.64999676               1.59318829    
                   7.44420004E+03           3.54923511E-03         309.672211E+06           928.638611E+06           467.491516E+06           928.71991E+06            333.469025E-03           977.215332E-03            10.2437954                8.64931583               1.59447861    
                   7.44974995E+03           3.88404942E-03         310.994232E+06           932.367065E+06           469.324249E+06           932.528687E+06           333.553528E-03           977.523193E-03            10.2444906                8.64866638               1.5958221     
                   7.45529985E+03           4.23358154E-03         312.367188E+06           936.025635E+06           471.087494E+06           936.342651E+06           333.716705E-03           978.079224E-03            10.2452812                8.64804554               1.59723449    
                   7.46085024E+03           4.60061789E-03         313.778931E+06           939.745483E+06           472.872772E+06           940.236572E+06           333.897827E-03           978.695129E-03            10.246172                 8.64744473               1.59872591    
                   7.46639967E+03           4.9881444E-03          315.257477E+06           943.658813E+06           474.755798E+06           944.326111E+06           334.080048E-03           979.304688E-03            10.2471609                8.64685249               1.60030746    
                   7.47195005E+03           5.40709591E-03         316.767731E+06           947.583252E+06           476.632538E+06           948.4552E+06             334.290222E-03           979.994324E-03            10.2482767                8.64625263               1.60202372    
                   7.47749996E+03           5.88965321E-03         318.427704E+06           952.075684E+06           478.817169E+06           953.111938E+06           334.456299E-03           980.52301E-03             10.2495937                8.64558697               1.6040051     
                   7.48304987E+03           6.99405527E-03         322.04657E+06            961.634888E+06           483.431091E+06           963.107544E+06           334.89502E-03            981.888733E-03            10.2524281                8.64391422               1.6085124     
                   7.48860025E+03           8.43318939E-03         325.890625E+06           972.880127E+06           489.034088E+06           974.448914E+06           334.975159E-03           982.242981E-03            10.2561817                8.64178848               1.61439216    
                   7.49414968E+03           9.91967678E-03         329.509705E+06           983.419617E+06           494.264893E+06           985.095825E+06           335.065247E-03           982.698914E-03            10.2601843                8.63970184               1.62048113    
                   7.49970007E+03          11.4635744E-03          332.02951E+06            991.074585E+06           498.127411E+06           992.718201E+06           335.019806E-03           982.59259E-03             10.2644539                8.63763428               1.62681937    
                   7.50524998E+03          13.0727758E-03          334.175781E+06           998.882141E+06           502.268341E+06             1.00006461E+09         334.549805E-03           981.126465E-03            10.2689505                8.63551998               1.63342929    
                   7.51079988E+03          14.7127171E-03          336.692688E+06             1.0068388E+09          506.322418E+06             1.00788462E+09         334.405914E-03           980.764343E-03            10.273612                 8.63343716               1.64017463    
                   7.51635027E+03          16.3879929E-03          339.513E+06                1.01496696E+09         510.343964E+06             1.01612484E+09         334.506561E-03           981.197449E-03            10.2784786                8.63140106               1.64707756    
                   7.5218997E+03           18.086916E-03           342.516296E+06             1.02320981E+09         514.353455E+06             1.02462626E+09         334.746979E-03           982.083862E-03            10.2835293                8.62943745               1.65409219    
                   7.52745008E+03          19.8115158E-03          345.596527E+06             1.03157723E+09         518.41095E+06              1.03328764E+09         335.017639E-03           983.052185E-03            10.288763                 8.62753677               1.66122615    
                   7.53299999E+03          21.6211491E-03          347.654083E+06             1.03670192E+09         520.831055E+06             1.03876483E+09         335.346375E-03           984.058228E-03            10.2943163                8.62559891               1.6687181     
                   7.5385499E+03           23.5197983E-03          348.825867E+06             1.04163289E+09         523.550171E+06             1.04321885E+09         334.88382E-03            982.497864E-03            10.3001156                8.62354374               1.67657113    
                   7.54410028E+03          25.4679985E-03          350.10022E+06              1.04669237E+09         526.296997E+06             1.04786134E+09         334.482513E-03           981.18927E-03             10.3060703                8.62144184               1.68462634    
                   7.54964972E+03          27.4517136E-03          351.681824E+06             1.05184436E+09         528.946411E+06             1.052876E+09           334.347931E-03           980.812439E-03            10.3121796                8.61934376               1.69283235    
                   7.5552001E+03           29.4786568E-03          353.371246E+06             1.05710852E+09         531.615112E+06             1.05807412E+09         334.281128E-03           980.678467E-03            10.3184824                8.61725903               1.70122313    
