
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                       0.                      10.0735245                8.51651287               1.55701017    
                   7.20554972E+03           0.                       6.75910378E+06          14.8450241E+06            8.19956589E+06          16.3992004E+06          455.311188E-03           564.155273E-03            10.0744114                8.51727962               1.55713654    
                   7.2111001E+03            0.                      13.5176964E+06           29.6902142E+06           16.3990154E+06           32.7981796E+06          455.291351E-03           564.232971E-03            10.0752974                8.51803589               1.55726278    
                   7.21665001E+03           0.                      20.2757759E+06           44.5355797E+06           24.5983562E+06           49.1969414E+06          455.271576E-03           564.310669E-03            10.0761824                8.51879311               1.55738854    
                   7.22220039E+03           0.                      27.0333462E+06           59.3810883E+06           32.7975883E+06           65.5954666E+06          455.25177E-03            564.388367E-03            10.0770559                8.51954174               1.557513      
                   7.22774982E+03           0.                      33.7904015E+06           74.2267914E+06           40.9967079E+06           81.9937897E+06          455.232147E-03           564.466248E-03            10.0779276                8.52029228               1.55763733    
                   7.23329973E+03           0.                      40.5469475E+06           89.0726318E+06           49.195713E+06            98.3918839E+06          455.212372E-03           564.543762E-03            10.0787992                8.52103806               1.55776155    
                   7.23885012E+03           0.                      47.3030167E+06          103.918671E+06            57.3946266E+06          114.78978E+06            455.192566E-03           564.621399E-03            10.0796604                8.5217762                1.5578841     
                   7.24440002E+03           0.                      54.0585251E+06          118.764862E+06            65.593399E+06           131.187439E+06           455.172943E-03           564.699158E-03            10.0805206                8.52251434               1.558007      
                   7.24995041E+03           0.                      60.8135643E+06          133.611221E+06            73.7920761E+06          147.584854E+06           455.153168E-03           564.776733E-03            10.0813751                8.52324677               1.55812848    
                   7.25549984E+03           0.                      67.5680923E+06          148.457748E+06            81.9906464E+06          163.982117E+06           455.133423E-03           564.854309E-03            10.0822268                8.52397442               1.55824983    
                   7.26104975E+03           0.                      74.3220596E+06          163.304428E+06            90.1890869E+06          180.379074E+06           455.1138E-03             564.931946E-03            10.0830698                8.52469826               1.5583694     
                   7.26660013E+03           0.                      81.0755997E+06          178.15126E+06             98.3874512E+06          196.775894E+06           455.094025E-03           565.009399E-03            10.0839109                8.52542019               1.55848956    
                   7.27215004E+03           0.                      87.8285522E+06          192.99826E+06            106.58567E+06            213.172409E+06           455.07428E-03            565.086975E-03            10.0847473                8.52613831               1.55860877    
                   7.27770042E+03           0.                      94.5810242E+06          207.84549E+06            114.783783E+06           229.568787E+06           455.054657E-03           565.164551E-03            10.085578                 8.5268507                1.55872774    
                   7.28324986E+03           0.                     101.332993E+06           222.692856E+06           122.981789E+06           245.964859E+06           455.034973E-03           565.241943E-03            10.0864067                8.5275631                1.55884564    
                   7.28879976E+03           0.                     108.08448E+06            237.540344E+06           131.179718E+06           262.360779E+06           455.015198E-03           565.319336E-03            10.0872335                8.52827072               1.55896306    
                   7.29435015E+03           0.                     114.835434E+06           252.388046E+06           139.377518E+06           278.7565E+06             454.995575E-03           565.396851E-03            10.0880527                8.52896976               1.55907989    
                   7.29990005E+03           0.                     121.585907E+06           267.23587E+06            147.57515E+06            295.151947E+06           454.975861E-03           565.474304E-03            10.0888681                8.52967072               1.55919564    
                   7.30544996E+03           0.                     128.335815E+06           282.083893E+06           155.772736E+06           311.54715E+06            454.956116E-03           565.551758E-03            10.0896797                8.53036594               1.55931199    
                   7.31099987E+03           0.                     135.085251E+06           296.932129E+06           163.970184E+06           327.9422E+06             454.936523E-03           565.629089E-03            10.0904846                8.53105736               1.55942631    
                   7.31654978E+03           0.                     141.834167E+06           311.780457E+06           172.167542E+06           344.337067E+06           454.916809E-03           565.70636E-03             10.0912886                8.53174591               1.55954075    
                   7.32210016E+03           0.                     148.582581E+06           326.628998E+06           180.364761E+06           360.731628E+06           454.897217E-03           565.783691E-03            10.0920868                8.53243351               1.55965459    
                   7.32765007E+03           0.                     155.330536E+06           341.477631E+06           188.56192E+06            377.125977E+06           454.877563E-03           565.861023E-03            10.0928802                8.53311253               1.5597676     
                   7.33319998E+03           0.                     162.077896E+06           356.326599E+06           196.758942E+06           393.520142E+06           454.857819E-03           565.938293E-03            10.0936699                8.53378963               1.55988097    
                   7.33874989E+03           0.                     168.824814E+06           371.175568E+06           204.955872E+06           409.914062E+06           454.838257E-03           566.015564E-03            10.0944548                8.53446388               1.55999231    
                   7.34429979E+03           0.                     175.571243E+06           386.024719E+06           213.152618E+06           426.3078E+06             454.818542E-03           566.092773E-03            10.0952406                8.53513622               1.56010425    
                   7.34985018E+03           0.                     182.317062E+06           400.874146E+06           221.349365E+06           442.701263E+06           454.79895E-03            566.170044E-03            10.0960188                8.53580189               1.560215      
                   7.35540009E+03           0.                     189.062531E+06           415.723633E+06           229.545883E+06           459.094604E+06           454.779327E-03           566.247253E-03            10.0967913                8.53646851               1.56032515    
                   7.36094999E+03           0.                     195.807312E+06           430.573334E+06           237.742371E+06           475.487671E+06           454.759613E-03           566.324463E-03            10.0975628                8.53712845               1.56043458    
                   7.3664999E+03            0.                     202.567688E+06           445.420105E+06           245.943085E+06           491.889191E+06           454.77887E-03            566.249329E-03            10.0983315                8.53778267               1.56054425    
                   7.37204981E+03           0.                     209.396103E+06           460.265045E+06           254.166489E+06           508.336151E+06           454.946899E-03           565.591797E-03            10.0990906                8.53843784               1.56065309    
                   7.37760019E+03           0.                     216.324951E+06           475.125183E+06           262.430634E+06           524.864624E+06           455.300812E-03           564.204834E-03            10.0998516                8.5390873                1.56076062    
                   7.3831501E+03            0.                     223.380493E+06           490.024261E+06           270.753723E+06           541.511108E+06           455.856079E-03           562.026917E-03            10.100606                 8.53973675               1.56086779    
                   7.38870001E+03           0.                     230.583649E+06           504.989014E+06           279.153198E+06           558.31012E+06            456.611145E-03           559.061462E-03            10.1013527                8.54037762               1.56097543    
                   7.39424992E+03           0.                     237.954437E+06           520.046753E+06           287.646362E+06           575.296936E+06           457.563416E-03           555.31543E-03             10.1020975                8.54101753               1.56108165    
                   7.39979982E+03           0.                     245.513107E+06           535.228638E+06           296.251923E+06           592.508362E+06           458.707001E-03           550.80719E-03             10.1028433                8.54165649               1.56118727    
                   7.40535021E+03           0.                     253.282318E+06           550.568237E+06           304.990387E+06           609.985718E+06           460.038147E-03           545.546875E-03            10.1035814                8.54229069               1.56129241    
                   7.41090012E+03           0.                     261.285248E+06           566.103577E+06           313.883728E+06           627.772583E+06           461.550323E-03           539.554565E-03            10.1043148                8.54292011               1.56139743    
                   7.41645002E+03           0.                     269.548431E+06           581.877563E+06           322.957031E+06           645.919739E+06           463.239014E-03           532.840759E-03            10.1050444                8.54354668               1.56150103    
                   7.42199993E+03           0.                     278.104767E+06           597.939392E+06           332.239807E+06           664.485962E+06           465.105316E-03           525.395264E-03            10.1057739                8.54416943               1.5616051     
                   7.42754984E+03           0.                     286.992859E+06           614.347961E+06           341.767212E+06           683.541321E+06           467.150391E-03           517.203369E-03            10.1064968                8.54479027               1.56170821    
                   7.43310022E+03           0.                     296.260162E+06           631.175964E+06           351.582367E+06           703.172424E+06           469.378174E-03           508.240295E-03            10.1072206                8.5454073                1.56181073    
                   7.43865013E+03           0.                     305.965942E+06           648.514709E+06           361.739594E+06           723.487366E+06           471.79483E-03            498.46994E-03             10.1079311                8.54602146               1.56191254    
                   7.44420004E+03           0.                     316.187988E+06           666.483459E+06           372.309784E+06           744.628967E+06           474.412445E-03           487.830688E-03            10.1086464                8.54663181               1.56201434    
                   7.44974995E+03           0.                     327.029358E+06           685.244324E+06           383.389099E+06           766.788452E+06           477.244843E-03           476.250397E-03            10.109355                 8.54724026               1.56211483    
                   7.45529985E+03           0.                     338.633026E+06           705.031494E+06           395.114594E+06           790.240356E+06           480.309113E-03           463.640198E-03            10.1100607                8.54784489               1.56221557    
                   7.46085024E+03           0.                     351.210144E+06           726.203735E+06           407.694641E+06           815.40155E+06            483.624786E-03           449.895111E-03            10.1107607                8.54844475               1.56231511    
                   7.46639967E+03           0.                     365.090698E+06           749.372314E+06           421.477783E+06           842.967834E+06           487.195251E-03           434.972687E-03            10.1114597                8.5490427                1.56241453    
                   7.47195005E+03           0.                     380.84967E+06            775.749023E+06           437.134613E+06           874.28363E+06            490.94455E-03            419.176453E-03            10.1121531                8.54963779               1.56251335    
                   7.47749996E+03           0.                     399.620483E+06           808.221375E+06           456.19696E+06            912.45929E+06            494.444427E-03           404.559357E-03            10.1128426                8.55023003               1.5626117     
                   7.48304987E+03           0.                     420.036987E+06           844.166809E+06           477.074768E+06           954.670166E+06           497.575623E-03           393.441742E-03            10.1135302                8.5508194                1.56270981    
                   7.48860025E+03         176.213028E-06           436.924438E+06           878.417542E+06           496.566406E+06           993.009888E+06           497.399567E-03           390.944427E-03            10.1142063                8.55075455               1.56345487    
                   7.49414968E+03         877.50708E-06            445.717743E+06           893.403931E+06           505.38324E+06              1.0106678E+09          498.898438E-03           384.608124E-03            10.1148987                8.54876709               1.5661341     
                   7.49970007E+03           1.69591916E-03         452.842743E+06           905.628845E+06           512.527893E+06             1.02510059E+09         500.031342E-03           380.3992E-03              10.1156311                8.5463829                1.56924784    
                   7.50524998E+03           2.57754421E-03         459.323456E+06           917.260742E+06           519.248352E+06             1.03867435E+09         500.755798E-03           377.884125E-03            10.116395                 8.54379749               1.57259715    
                   7.51079988E+03           3.50901842E-03         465.332214E+06           928.190857E+06           525.546021E+06             1.05137861E+09         501.332397E-03           375.881683E-03            10.1171904                8.54105854               1.57613194    
                   7.51635027E+03           4.484869E-03           471.039734E+06           938.57251E+06            531.533386E+06             1.06343257E+09         501.868317E-03           373.903656E-03            10.1180019                8.53817368               1.57982993    
                   7.5218997E+03            5.52173615E-03         476.523987E+06           948.650452E+06           537.34491E+06              1.07507765E+09         502.317657E-03           372.033936E-03            10.1188316                8.53507996               1.58375168    
                   7.52745008E+03           6.62822485E-03         481.888397E+06           958.504883E+06           543.033875E+06             1.08645308E+09         502.750031E-03           370.119507E-03            10.1196747                8.53174591               1.58792734    
                   7.53299999E+03           7.8181448E-03          487.193085E+06           968.222351E+06           548.649353E+06             1.09767246E+09         503.183075E-03           368.161774E-03            10.1205235                8.52811623               1.59240627    
                   7.5385499E+03            9.1166296E-03          492.569031E+06           977.882385E+06           554.251343E+06             1.10888672E+09         503.709778E-03           365.892181E-03            10.1213903                8.52411079               1.59728122    
                   7.54410028E+03          10.6703863E-03          498.900787E+06           987.226257E+06           559.754883E+06             1.1206944E+09          505.356323E-03           362.221924E-03            10.1223068                8.51921558               1.60309124    
                   7.54964972E+03          12.3941679E-03          503.090698E+06           995.589539E+06           564.414795E+06             1.13031626E+09         505.319427E-03           363.667084E-03            10.1233711                8.51383305               1.60953653    
                   7.5552001E+03           14.0051861E-03          505.752838E+06             1.00340605E+09         568.575684E+06             1.13843644E+09         504.03595E-03            368.344452E-03            10.1244431                8.50887775               1.61556506    
                   7.56075001E+03          15.5343914E-03          508.32135E+06              1.0108254E+09          572.565491E+06             1.14609957E+09         502.877533E-03           371.987701E-03            10.1254559                8.50417519               1.62128043    
                   7.56629992E+03          17.015377E-03           511.342529E+06             1.01801097E+09         576.577881E+06             1.15376544E+09         502.295898E-03           372.955261E-03            10.126399                 8.49959469               1.62680423    
                   7.5718503E+03           18.5115547E-03          515.260132E+06             1.02526999E+09         580.878479E+06             1.16189861E+09         502.560486E-03           369.795807E-03            10.1272697                8.49490261               1.63236642    
                   7.57739973E+03          20.2434521E-03          521.443298E+06             1.03312385E+09         585.994751E+06             1.17170787E+09         504.725037E-03           358.534637E-03            10.1281338                8.48935795               1.63877678    
                   7.58295012E+03          22.8089485E-03          530.472168E+06             1.03978658E+09         590.644348E+06             1.18309712E+09         510.174225E-03           343.379486E-03            10.129096                 8.48088551               1.64820921    
                   7.58850002E+03          25.4960804E-03          535.841248E+06             1.04676521E+09         594.951721E+06             1.19208896E+09         511.901978E-03           337.260223E-03            10.1303272                8.47222233               1.65810418    
                   7.59404993E+03          28.1892929E-03          540.092896E+06             1.05375981E+09         599.117371E+06             1.20029747E+09         512.538879E-03           333.844543E-03            10.1315718                8.46356869               1.6680038     
                   7.59960032E+03          31.2668419E-03          546.230408E+06             1.06034315E+09         603.464783E+06             1.20915425E+09         515.145081E-03           322.82196E-03             10.1328325                8.4535656                1.67926741    
                   7.60200024E+03          32.9692917E-03          550.440063E+06             1.06287098E+09         605.318481E+06             1.2139374E+09          517.880249E-03           315.048859E-03            10.1349802                8.44926739               1.68571115    
                   7.60514975E+03          35.3898277E-03          555.061646E+06             1.0664649E+09          607.842773E+06             1.21959913E+09         520.468811E-03           305.897888E-03            10.1358757                8.44134712               1.6945281     
                   7.60599995E+03          36.0584908E-03          556.152954E+06             1.06745768E+09         608.513184E+06             1.2210381E+09          521.007019E-03           303.856232E-03            10.1362057                8.43923092               1.69697344    
                   7.61070013E+03          39.895607E-03           561.485962E+06             1.07315493E+09         612.214722E+06             1.2287159E+09          523.210571E-03           294.896942E-03            10.1376715                8.42675209               1.71091866    
                   7.61625004E+03          45.776371E-03           571.221985E+06             1.07860911E+09         616.27478E+06              1.23915112E+09         529.591187E-03           275.339905E-03            10.1396246                8.4074564                1.73216844    
                   7.62179995E+03          53.0667419E-03          581.169495E+06             1.08438575E+09         620.47052E+06              1.24987578E+09         535.943726E-03           255.622452E-03            10.1420717                8.38368511               1.75838649    
                   7.62735033E+03          62.5373344E-03          593.631226E+06             1.089849E+09           624.631226E+06             1.26207542E+09         544.691223E-03           230.894913E-03            10.1449404                8.35275745               1.79218423    
                   7.63289976E+03          74.2246246E-03          607.827393E+06             1.09482443E+09         628.496521E+06             1.27521574E+09         555.182556E-03           203.917694E-03            10.1487074                8.31510448               1.83360302    
                   7.63845015E+03          88.278801E-03           623.864014E+06             1.09952772E+09         632.133911E+06             1.28962302E+09         567.392456E-03           175.458527E-03            10.1535454                8.27055168               1.88299406    
                   7.64400005E+03         104.770073E-03           641.142395E+06             1.10396087E+09         635.451904E+06             1.30511928E+09         580.765381E-03           148.182693E-03            10.1597204                8.21932125               1.94039941    
                   7.64954996E+03         123.710152E-03           659.255676E+06             1.10846388E+09         638.637756E+06             1.32170856E+09         594.747131E-03           123.170105E-03            10.1674404                8.16182518               2.00561547    
                   7.65399981E+03         140.4505E-03             673.927612E+06             1.11190999E+09         640.983215E+06             1.33531773E+09         606.099121E-03           105.189156E-03            10.1747942                8.11215305               2.06264114    
                   7.65509987E+03         144.75029E-03            677.699829E+06             1.11278343E+09         641.569275E+06             1.33880532E+09         609.013245E-03           100.616486E-03            10.1773586                8.10004711               2.07731152    
                   7.66064978E+03         168.21431E-03            696.016602E+06             1.11713076E+09         644.368958E+06             1.35644698E+09         623.039673E-03            82.3773117E-03           10.1886778                8.03255844               2.15611863    
                   7.66620016E+03         193.800354E-03           714.672119E+06             1.12141335E+09         647.044861E+06             1.37477088E+09         637.295715E-03            66.6813202E-03           10.201931                 7.96108866               2.24084258    
                   7.67175007E+03         221.478058E-03           733.732971E+06             1.12562466E+09         649.614258E+06             1.39384556E+09         651.845337E-03            53.4110832E-03           10.2174158                7.88625813               2.33115768    
                   7.67729998E+03         251.266861E-03           753.30249E+06              1.12975931E+09         652.091187E+06             1.41375816E+09         666.781555E-03            42.3834114E-03           10.235405                 7.80850697               2.42690039    
                   7.68284988E+03         283.219177E-03           773.619507E+06             1.13380253E+09         654.481079E+06             1.43472672E+09         682.323059E-03            33.4375916E-03           10.2562742                7.72824764               2.52802944    
                   7.68839979E+03         317.512634E-03           794.906006E+06             1.13781905E+09         656.831116E+06             1.45695984E+09         698.62262E-03             26.2412243E-03           10.2803888                7.64552259               2.63486505    
                   7.69395018E+03         354.371429E-03           817.387573E+06             1.14181411E+09         659.150635E+06             1.48065495E+09         715.867554E-03            20.5833664E-03           10.3083954                7.56049395               2.74790287    
                   7.69950008E+03         394.070251E-03           841.253235E+06             1.1457957E+09          661.447449E+06             1.50597405E+09         734.209106E-03            16.274786E-03            10.3409939                7.47323847               2.86775446    
                   7.70504999E+03         436.946594E-03           866.704895E+06             1.14979124E+09         663.737915E+06             1.53308499E+09         753.793152E-03            13.0504274E-03           10.378994                 7.38380337               2.99518943    
                   7.7105999E+03          483.403442E-03           893.961365E+06             1.15382624E+09         666.033386E+06             1.56219029E+09         774.779968E-03            10.7542524E-03           10.4233704                7.29223347               3.13113832    
                   7.71614981E+03         533.877075E-03           923.229431E+06             1.15791106E+09         668.331909E+06             1.59346449E+09         797.323364E-03             9.2233448E-03           10.4858742                7.29315376               3.19271898    
                   7.72170019E+03         588.856812E-03           954.645203E+06             1.16206336E+09         670.628174E+06             1.62701726E+09         821.509033E-03             8.34423637E-03          10.4899368                7.29603338               3.1939044     
                   7.7272501E+03          648.829041E-03           988.258057E+06             1.16628671E+09         672.898376E+06             1.66286898E+09         847.354858E-03             8.07078934E-03          10.5303879                7.32469416               3.20569468    
                   7.73280001E+03         714.323669E-03             1.02388287E+09           1.17060065E+09         675.106812E+06             1.7008208E+09          874.665466E-03             8.48757744E-03          10.5760975                7.35707998               3.21901703    
                   7.73834991E+03         785.727173E-03             1.06069648E+09           1.17499626E+09         677.194519E+06             1.73997772E+09         902.725342E-03             9.51355743E-03          10.6288795                7.39448023               3.23439837    
                   7.74389982E+03         863.277893E-03             1.09726048E+09           1.17946196E+09         679.0578E+06               1.77885616E+09         930.309265E-03            11.3886023E-03           10.6902809                7.43799067               3.25229025    
                   7.74945021E+03         946.565308E-03             1.13090861E+09           1.18394554E+09         680.612061E+06             1.81464648E+09         955.208496E-03            13.8355417E-03           10.7620068                7.48881912               3.27318573    
                   7.75500011E+03           1.03399539               1.15897977E+09           1.18835521E+09         681.689453E+06             1.84453487E+09         975.288391E-03            16.9511433E-03           10.8457661                7.54818439               3.2975843     




