
                  X            AVERAGE_UVARM1     AVERAGE_UVARM2     AVERAGE_UVARM3     AVERAGE_UVARM4     AVERAGE_UVARM5     AVERAGE_UVARM6     AVERAGE_UVARM7     AVERAGE_UVARM8     AVERAGE_UVARM9    AVERAGE_UVARM10 

                7.2E+03            0.                 0.                 0.                 0.                 0.                 0.                 0.                10.2104             8.63387            1.57651    
                7.20885E+03        0.                21.5802E+06        72.673E+06         37.7965E+06        69.8845E+06       296.888E-03        855.717E-03         10.2107             8.63414            1.57655    
                7.2177E+03         0.                43.3183E+06       145.631E+06         75.7151E+06       140.122E+06        297.391E-03        857.086E-03         10.2109             8.63435            1.57659    
                7.22655E+03        0.                65.2139E+06       218.874E+06        113.756E+06        210.711E+06        297.89E-03         858.445E-03         10.2112             8.63457            1.57662    
                7.2354E+03         0.                86.941E+06        291.068E+06        151.281E+06        280.429E+06        298.637E-03        858.372E-03         10.2115             8.63479            1.57666    
                7.24425E+03        0.               106.256E+06        354.392E+06        184.466E+06        341.783E+06        299.776E-03        852.588E-03         10.2118             8.63506            1.57671    
                7.2531E+03         0.               121.382E+06        404.565E+06        210.99E+06         390.165E+06        300.E-03           844.856E-03         10.2122             8.6354             1.57676    
                7.26195E+03        0.               132.626E+06        443.5E+06          231.665E+06        427.188E+06        299.031E-03        838.357E-03         10.2127             8.63583            1.57683    
                7.2708E+03         0.               141.089E+06        474.476E+06        248.068E+06        456.167E+06        297.365E-03        834.624E-03         10.2133             8.63638            1.57693    
                7.27965E+03        0.               147.796E+06        500.246E+06        261.495E+06        479.989E+06        295.468E-03        835.217E-03         10.2141             8.63704            1.57704    
                7.2885E+03         0.               153.419E+06        522.656E+06        272.889E+06        500.558E+06        293.572E-03        839.826E-03         10.215              8.63782            1.57716    
                7.29735E+03        0.               159.678E+06        546.08E+06         284.396E+06        522.524E+06        292.455E-03        849.827E-03         10.216              8.63868            1.57731    
                7.3062E+03         0.               176.06E+06         588.201E+06        304.219E+06        567.279E+06        299.366E-03        876.534E-03         10.2171             8.63961            1.57746    
                7.31505E+03        0.               199.734E+06        647.256E+06        331.108E+06        630.748E+06        308.581E-03        917.28E-03          10.2185             8.64081            1.57766    
                7.3239E+03         0.               225.56E+06         723.116E+06        366.665E+06        707.41E+06         311.832E-03        948.812E-03         10.2206             8.6426             1.57796    
                7.33275E+03        5.23416E-06      263.188E+06        823.074E+06        418.918E+06        811.408E+06        319.492E-03        936.979E-03         10.2234             8.64501            1.57838    
                7.3416E+03       750.778E-06        324.71E+06         887.923E+06        452.496E+06        916.243E+06        365.345E-03        934.68E-03          10.2509             8.66585            1.58509    
                7.35045E+03        2.47203E-03      386.684E+06        915.456E+06        471.868E+06        995.43E+06         422.113E-03        892.041E-03         10.351              8.74514            1.60585    
                7.3593E+03         4.5699E-03       432.015E+06        938.888E+06        495.8E+06            1.05354E+09      459.882E-03        792.261E-03         10.5031             8.86744            1.63566    
                7.36815E+03        6.95871E-03      469.347E+06        960.626E+06        515.541E+06          1.10215E+09      488.38E-03         718.326E-03         10.6538             8.98723            1.66659    
                7.377E+03          9.63862E-03      500.414E+06        979.886E+06        531.681E+06          1.14295E+09      510.555E-03        663.211E-03         10.7954             9.09787            1.69757    
                7.38585E+03       12.566E-03        524.234E+06        996.261E+06        544.592E+06          1.17502E+09      526.135E-03        623.269E-03         10.9256             9.19749            1.72806    
                7.3947E+03        15.8177E-03       544.903E+06          1.01212E+09      556.486E+06          1.20374E+09      538.355E-03        590.105E-03         11.04               9.2822             1.75775    
                7.40355E+03       19.4061E-03       563.033E+06          1.02717E+09      567.405E+06          1.22947E+09      548.154E-03        561.656E-03         11.1426             9.35536            1.78724    
                7.406E+03         20.4585E-03       567.652E+06          1.03121E+09      570.338E+06          1.23609E+09      550.491E-03        553.909E-03         11.1688             9.37343            1.79534    




