
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                      10.3157949                8.72426701               1.59152806               1.31603432               1.11299539             203.038666E-03            10.0000038E+09          924.220581E-03           176.719238E-03  
                   7.20674992E+03           0.                       8.19469929E+06          19.9761486E+06           21.383255E+06           410.224304E-03           734.086365E-03            10.3158102                8.72428131               1.59153008               1.31603622               1.11299682             203.038895E-03            10.0000038E+09          924.220642E-03           176.719208E-03  
                   7.21350002E+03           0.                      16.3887825E+06           39.9525909E+06           42.7662163E+06          410.20578E-03            734.153748E-03            10.3158255                8.72429276               1.59153199               1.31603801               1.11299825             203.039276E-03            10.0000038E+09          924.220764E-03           176.719147E-03  
                   7.22025013E+03           0.                      24.5822449E+06           59.9293175E+06           64.14888E+06            410.187317E-03           734.220764E-03            10.3158398                8.7243042                1.59153414               1.31603992               1.11300004             203.039505E-03            10.0000038E+09          924.220825E-03           176.718994E-03  
                   7.22700024E+03           0.                      32.7750854E+06           79.9063492E+06           85.5312653E+06          410.168762E-03           734.288208E-03            10.3158512                8.72431755               1.59153605               1.31604147               1.1130017              203.039749E-03            10.0000038E+09          924.220825E-03           176.718979E-03  
                   7.23374987E+03           0.                      40.9673271E+06           99.8836594E+06          106.91333E+06            410.150391E-03           734.355286E-03            10.3158665                8.72432804               1.59153795               1.31604326               1.11300313             203.039993E-03            10.0000038E+09          924.220825E-03           176.718918E-03  
                   7.24049997E+03           0.                      49.1589432E+06          119.861275E+06           128.295105E+06           410.131897E-03           734.422546E-03            10.315877                 8.72433949               1.59153986               1.31604505               1.11300445             203.040253E-03            10.0000038E+09          924.220886E-03           176.718811E-03  
                   7.24725008E+03           0.                      57.3499374E+06          139.839188E+06           149.676605E+06           410.113403E-03           734.489563E-03            10.3158922                8.72434998               1.59154177               1.31604648               1.11300588             203.040497E-03            10.0000038E+09          924.221008E-03           176.718735E-03  
                   7.25400019E+03           0.                      65.5402908E+06          159.817352E+06           171.057816E+06           410.09494E-03            734.556824E-03            10.3159027                8.72436333               1.59154367               1.31604791               1.11300755             203.040741E-03            10.0000038E+09          924.221069E-03           176.718719E-03  
