DECK_FWD_OS_1, DECK_FWD, Glass-Epoxy, 0.75, <Layup>, 0, 3
DECK_FWD_OS_2, DECK_FWD, Glass-Epoxy, 0.75, <Layup>, 45, 3
DECK_FWD_OS_3, DECK_FWD, Glass-Epoxy, 0.75, <Layup>, -45, 3
DECK_FWD_OS_4, DECK_FWD, Glass-Epoxy, 0.75, <Layup>, 90, 3
DECK_FWD_CORE, DECK_FWD, Core, 25, <Layup>, 0, 3
DECK_FWD_IS_1, DECK_FWD, Glass-Epoxy, 0.75, <Layup>, 90, 3
DECK_FWD_IS_2, DECK_FWD, Glass-Epoxy, 0.75, <Layup>, -45, 3
DECK_FWD_IS_3, DECK_FWD, Glass-Epoxy, 0.75, <Layup>, 45, 3
DECK_FWD_IS_4, DECK_FWD, Glass-Epoxy, 0.75, <Layup>, 0, 3
L1_IS_1, L1, Glass-Epoxy, 0.125, Datum csys-1.3, 0, 3
L1_IS_2, L1, Glass-Epoxy, 0.125, Datum csys-1.3, 45, 3
L1_IS_3, L1, Glass-Epoxy, 0.125, Datum csys-1.3, -45, 3
L1_IS_4, L1, Glass-Epoxy, 0.125, Datum csys-1.3, 90, 3
L1_Core, L1, Core, 8, Datum csys-1.3, 0, 3
L1_OS_1, L1, Glass-Epoxy, 0.125, Datum csys-1.3, 90, 3
L1_OS_2, L1, Glass-Epoxy, 0.125, Datum csys-1.3, -45, 3
L1_OS_3, L1, Glass-Epoxy, 0.125, Datum csys-1.3, 45, 3
L1_OS_4, L1, Glass-Epoxy, 0.125, Datum csys-1.3, 0, 3
L2_IS_1, L2, Glass-Epoxy, 0.25, Datum csys-1.3, 0, 3
L2_IS_2, L2, Glass-Epoxy, 0.25, Datum csys-1.3, 45, 3
L2_IS_3, L2, Glass-Epoxy, 0.25, Datum csys-1.3, -45, 3
L2_IS_4, L2, Glass-Epoxy, 0.25, Datum csys-1.3, 90, 3
L2_Core, L2, Core, 15, Datum csys-1.3, 0, 3
L2_OS_1, L2, Glass-Epoxy, 0.25, Datum csys-1.3, 90, 3
